article_id,published_date,extracted_date,iso3,country,disease_code,disease_mention,relevance_score,is_epidemiological_event,host_mention,language,source_outlet,title,data_realism
PADI-0000013,2020-01-08,2020-01-09,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.734,True,Meleagris gallopavo (domestic),en,outlet_27,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0000014,2020-01-08,2020-01-09,MDA,Moldova,HPAI,High pathogenicity avian influenza,0.38,False,Anas platyrhynchos (domestic),en,outlet_32,[SYNTHETIC] Reports of HPAI activity in Moldova,synthetic
PADI-0000015,2020-01-09,2020-01-10,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.701,True,Anas platyrhynchos (domestic),fr,outlet_44,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000016,2020-01-11,2020-01-12,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.721,True,Meleagris gallopavo (domestic),en,outlet_30,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000017,2020-01-12,2020-01-13,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.242,False,Larus spp. (wild),en,outlet_24,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000018,2020-01-08,2020-01-09,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.656,True,Cygnus olor (wild),en,outlet_35,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000019,2020-01-06,2020-01-07,GEO,Georgia,HPAI,High pathogenicity avian influenza,0.554,True,Meleagris gallopavo (domestic),en,outlet_17,[SYNTHETIC] Reports of HPAI activity in Georgia,synthetic
PADI-0000020,2020-01-10,2020-01-11,EGY,Egypt,HPAI,High pathogenicity avian influenza,0.548,True,Gallus gallus (domestic),en,outlet_34,[SYNTHETIC] Reports of HPAI activity in Egypt,synthetic
PADI-0000021,2020-01-10,2020-01-11,TUN,Tunisia,HPAI,High pathogenicity avian influenza,0.335,False,Meleagris gallopavo (domestic),ru,outlet_12,[SYNTHETIC] Reports of HPAI activity in Tunisia,synthetic
PADI-0000022,2020-01-06,2020-01-07,TUN,Tunisia,HPAI,High pathogenicity avian influenza,0.901,True,Meleagris gallopavo (domestic),en,outlet_09,[SYNTHETIC] Reports of HPAI activity in Tunisia,synthetic
PADI-0000023,2020-01-06,2020-01-07,TUN,Tunisia,HPAI,High pathogenicity avian influenza,0.636,True,Meleagris gallopavo (domestic),en,outlet_24,[SYNTHETIC] Reports of HPAI activity in Tunisia,synthetic
PADI-0000024,2020-01-06,2020-01-07,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.462,True,Larus spp. (wild),en,outlet_05,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0000025,2020-01-19,2020-01-20,FRA,France,HPAI,High pathogenicity avian influenza,0.38,False,Larus spp. (wild),en,outlet_27,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0000026,2020-01-18,2020-01-19,FRA,France,HPAI,High pathogenicity avian influenza,0.712,True,Anas platyrhynchos (domestic),en,outlet_02,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0000027,2020-01-14,2020-01-15,BEL,Belgium,HPAI,High pathogenicity avian influenza,0.565,True,Meleagris gallopavo (domestic),en,outlet_43,[SYNTHETIC] Reports of HPAI activity in Belgium,synthetic
PADI-0000028,2020-01-17,2020-01-18,ITA,Italy,HPAI,High pathogenicity avian influenza,0.685,True,Anas platyrhynchos (domestic),en,outlet_02,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0000029,2020-01-13,2020-01-14,ITA,Italy,HPAI,High pathogenicity avian influenza,0.712,True,Anas platyrhynchos (domestic),fr,outlet_13,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0000030,2020-01-18,2020-01-19,ROU,Romania,HPAI,High pathogenicity avian influenza,0.551,True,Larus spp. (wild),en,outlet_45,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0000031,2020-01-18,2020-01-19,ROU,Romania,HPAI,High pathogenicity avian influenza,0.57,True,Meleagris gallopavo (domestic),fr,outlet_30,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0000032,2020-01-13,2020-01-14,BGR,Bulgaria,HPAI,High pathogenicity avian influenza,0.824,True,Gallus gallus (domestic),en,outlet_34,[SYNTHETIC] Reports of HPAI activity in Bulgaria,synthetic
PADI-0000033,2020-01-14,2020-01-15,BGR,Bulgaria,HPAI,High pathogenicity avian influenza,0.935,True,Meleagris gallopavo (domestic),es,outlet_01,[SYNTHETIC] Reports of HPAI activity in Bulgaria,synthetic
PADI-0000034,2020-01-13,2020-01-14,SRB,Serbia,HPAI,High pathogenicity avian influenza,0.86,True,Larus spp. (wild),es,outlet_45,[SYNTHETIC] Reports of HPAI activity in Serbia,synthetic
PADI-0000035,2020-01-18,2020-01-19,SRB,Serbia,HPAI,High pathogenicity avian influenza,0.529,True,Anas platyrhynchos (domestic),en,outlet_29,[SYNTHETIC] Reports of HPAI activity in Serbia,synthetic
PADI-0000036,2020-01-18,2020-01-19,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.736,True,Larus spp. (wild),en,outlet_01,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0000037,2020-01-14,2020-01-15,MDA,Moldova,HPAI,High pathogenicity avian influenza,0.394,False,Cygnus olor (wild),es,outlet_08,[SYNTHETIC] Reports of HPAI activity in Moldova,synthetic
PADI-0000038,2020-01-17,2020-01-18,MDA,Moldova,HPAI,High pathogenicity avian influenza,0.767,True,Gallus gallus (domestic),en,outlet_14,[SYNTHETIC] Reports of HPAI activity in Moldova,synthetic
PADI-0000039,2020-01-15,2020-01-16,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.374,False,Anas platyrhynchos (domestic),en,outlet_04,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000040,2020-01-14,2020-01-15,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.832,True,Cygnus olor (wild),en,outlet_14,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000041,2020-01-15,2020-01-16,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.105,False,Cygnus olor (wild),en,outlet_46,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0000042,2020-01-14,2020-01-15,GEO,Georgia,HPAI,High pathogenicity avian influenza,0.535,True,Larus spp. (wild),ru,outlet_47,[SYNTHETIC] Reports of HPAI activity in Georgia,synthetic
PADI-0000043,2020-01-16,2020-01-17,ISR,Israel,HPAI,High pathogenicity avian influenza,0.657,True,Gallus gallus (domestic),es,outlet_41,[SYNTHETIC] Reports of HPAI activity in Israel,synthetic
PADI-0000044,2020-01-17,2020-01-18,EGY,Egypt,HPAI,High pathogenicity avian influenza,0.583,True,Anas platyrhynchos (domestic),en,outlet_26,[SYNTHETIC] Reports of HPAI activity in Egypt,synthetic
PADI-0000045,2020-01-15,2020-01-16,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.732,True,Gallus gallus (domestic),fr,outlet_26,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0000046,2020-01-22,2020-01-23,FRA,France,HPAI,High pathogenicity avian influenza,0.436,False,Anas platyrhynchos (domestic),es,outlet_28,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0000047,2020-01-25,2020-01-26,FRA,France,HPAI,High pathogenicity avian influenza,0.366,False,Meleagris gallopavo (domestic),es,outlet_29,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0000048,2020-01-20,2020-01-21,DEU,Germany,HPAI,High pathogenicity avian influenza,0.813,True,Meleagris gallopavo (domestic),en,outlet_46,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0000049,2020-01-20,2020-01-21,DEU,Germany,HPAI,High pathogenicity avian influenza,0.791,True,Gallus gallus (domestic),en,outlet_23,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0000050,2020-01-26,2020-01-27,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.387,False,Meleagris gallopavo (domestic),en,outlet_35,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0000051,2020-01-23,2020-01-24,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.644,True,Meleagris gallopavo (domestic),fr,outlet_19,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0000052,2020-01-26,2020-01-27,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.624,True,Gallus gallus (domestic),en,outlet_44,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0000053,2020-01-26,2020-01-27,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.683,True,Meleagris gallopavo (domestic),ru,outlet_07,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0000054,2020-01-21,2020-01-22,BEL,Belgium,HPAI,High pathogenicity avian influenza,0.956,True,Anas platyrhynchos (domestic),es,outlet_32,[SYNTHETIC] Reports of HPAI activity in Belgium,synthetic
PADI-0000055,2020-01-23,2020-01-24,ITA,Italy,HPAI,High pathogenicity avian influenza,0.488,True,Larus spp. (wild),en,outlet_24,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0000056,2020-01-23,2020-01-24,ITA,Italy,HPAI,High pathogenicity avian influenza,0.483,True,Meleagris gallopavo (domestic),en,outlet_14,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0000057,2020-01-23,2020-01-24,ESP,Spain,HPAI,High pathogenicity avian influenza,0.808,True,Gallus gallus (domestic),es,outlet_05,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0000058,2020-01-21,2020-01-22,ESP,Spain,HPAI,High pathogenicity avian influenza,0.855,True,Meleagris gallopavo (domestic),en,outlet_06,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0000059,2020-01-22,2020-01-23,POL,Poland,HPAI,High pathogenicity avian influenza,0.618,True,Meleagris gallopavo (domestic),en,outlet_23,[SYNTHETIC] Reports of HPAI activity in Poland,synthetic
PADI-0000060,2020-01-23,2020-01-24,HUN,Hungary,HPAI,High pathogenicity avian influenza,0.748,True,Meleagris gallopavo (domestic),fr,outlet_45,[SYNTHETIC] Reports of HPAI activity in Hungary,synthetic
PADI-0000061,2020-01-22,2020-01-23,HUN,Hungary,HPAI,High pathogenicity avian influenza,0.517,True,Cygnus olor (wild),en,outlet_05,[SYNTHETIC] Reports of HPAI activity in Hungary,synthetic
PADI-0000062,2020-01-22,2020-01-23,ROU,Romania,HPAI,High pathogenicity avian influenza,0.671,True,Larus spp. (wild),en,outlet_39,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0000063,2020-01-23,2020-01-24,BGR,Bulgaria,HPAI,High pathogenicity avian influenza,0.779,True,Meleagris gallopavo (domestic),fr,outlet_42,[SYNTHETIC] Reports of HPAI activity in Bulgaria,synthetic
PADI-0000064,2020-01-20,2020-01-21,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.757,True,Meleagris gallopavo (domestic),en,outlet_47,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0000065,2020-01-21,2020-01-22,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.487,True,Anas platyrhynchos (domestic),ru,outlet_08,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000066,2020-01-26,2020-01-27,GEO,Georgia,HPAI,High pathogenicity avian influenza,0.817,True,Meleagris gallopavo (domestic),en,outlet_09,[SYNTHETIC] Reports of HPAI activity in Georgia,synthetic
PADI-0000067,2020-01-26,2020-01-27,GEO,Georgia,HPAI,High pathogenicity avian influenza,0.64,True,Meleagris gallopavo (domestic),fr,outlet_01,[SYNTHETIC] Reports of HPAI activity in Georgia,synthetic
PADI-0000068,2020-01-23,2020-01-24,GEO,Georgia,HPAI,High pathogenicity avian influenza,0.601,True,Gallus gallus (domestic),en,outlet_26,[SYNTHETIC] Reports of HPAI activity in Georgia,synthetic
PADI-0000069,2020-01-25,2020-01-26,EGY,Egypt,HPAI,High pathogenicity avian influenza,0.758,True,Meleagris gallopavo (domestic),en,outlet_38,[SYNTHETIC] Reports of HPAI activity in Egypt,synthetic
PADI-0000070,2020-01-24,2020-01-25,EGY,Egypt,HPAI,High pathogenicity avian influenza,0.627,True,Cygnus olor (wild),en,outlet_46,[SYNTHETIC] Reports of HPAI activity in Egypt,synthetic
PADI-0000071,2020-01-25,2020-01-26,EGY,Egypt,HPAI,High pathogenicity avian influenza,0.768,True,Meleagris gallopavo (domestic),fr,outlet_05,[SYNTHETIC] Reports of HPAI activity in Egypt,synthetic
PADI-0000072,2020-01-21,2020-01-22,EGY,Egypt,HPAI,High pathogenicity avian influenza,0.468,True,Anas platyrhynchos (domestic),en,outlet_09,[SYNTHETIC] Reports of HPAI activity in Egypt,synthetic
PADI-0000073,2020-01-20,2020-01-21,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.759,True,Larus spp. (wild),en,outlet_45,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0000074,2020-01-30,2020-01-31,FRA,France,HPAI,High pathogenicity avian influenza,0.81,True,Larus spp. (wild),en,outlet_08,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0000075,2020-01-30,2020-01-31,DEU,Germany,HPAI,High pathogenicity avian influenza,0.526,True,Larus spp. (wild),en,outlet_41,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0000076,2020-01-27,2020-01-28,DEU,Germany,HPAI,High pathogenicity avian influenza,0.788,True,Gallus gallus (domestic),en,outlet_28,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0000077,2020-01-28,2020-01-29,DEU,Germany,HPAI,High pathogenicity avian influenza,0.931,True,Larus spp. (wild),en,outlet_10,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0000078,2020-01-29,2020-01-30,DEU,Germany,HPAI,High pathogenicity avian influenza,0.752,True,Gallus gallus (domestic),en,outlet_46,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0000079,2020-01-29,2020-01-30,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.784,True,Cygnus olor (wild),fr,outlet_36,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0000080,2020-02-01,2020-02-02,BEL,Belgium,HPAI,High pathogenicity avian influenza,0.649,True,Anas platyrhynchos (domestic),fr,outlet_08,[SYNTHETIC] Reports of HPAI activity in Belgium,synthetic
PADI-0000081,2020-01-29,2020-01-30,BEL,Belgium,HPAI,High pathogenicity avian influenza,0.626,True,Larus spp. (wild),en,outlet_28,[SYNTHETIC] Reports of HPAI activity in Belgium,synthetic
PADI-0000082,2020-01-27,2020-01-28,ITA,Italy,HPAI,High pathogenicity avian influenza,0.678,True,Gallus gallus (domestic),fr,outlet_27,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0000083,2020-01-29,2020-01-30,ITA,Italy,HPAI,High pathogenicity avian influenza,0.394,False,Gallus gallus (domestic),fr,outlet_12,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0000084,2020-01-29,2020-01-30,ITA,Italy,HPAI,High pathogenicity avian influenza,0.764,True,Meleagris gallopavo (domestic),en,outlet_11,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0000085,2020-02-01,2020-02-02,ITA,Italy,HPAI,High pathogenicity avian influenza,0.636,True,Cygnus olor (wild),en,outlet_12,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0000086,2020-01-30,2020-01-31,ESP,Spain,HPAI,High pathogenicity avian influenza,0.719,True,Anas platyrhynchos (domestic),es,outlet_29,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0000087,2020-02-02,2020-02-03,ESP,Spain,HPAI,High pathogenicity avian influenza,0.779,True,Larus spp. (wild),en,outlet_10,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0000088,2020-01-31,2020-02-01,POL,Poland,HPAI,High pathogenicity avian influenza,0.503,True,Anas platyrhynchos (domestic),fr,outlet_42,[SYNTHETIC] Reports of HPAI activity in Poland,synthetic
PADI-0000089,2020-01-29,2020-01-30,POL,Poland,HPAI,High pathogenicity avian influenza,0.842,True,Cygnus olor (wild),en,outlet_46,[SYNTHETIC] Reports of HPAI activity in Poland,synthetic
PADI-0000090,2020-01-29,2020-01-30,HUN,Hungary,HPAI,High pathogenicity avian influenza,0.722,True,Larus spp. (wild),en,outlet_05,[SYNTHETIC] Reports of HPAI activity in Hungary,synthetic
PADI-0000091,2020-02-01,2020-02-02,ROU,Romania,HPAI,High pathogenicity avian influenza,0.551,True,Anas platyrhynchos (domestic),en,outlet_37,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0000092,2020-02-02,2020-02-03,SRB,Serbia,HPAI,High pathogenicity avian influenza,0.435,False,Larus spp. (wild),ru,outlet_25,[SYNTHETIC] Reports of HPAI activity in Serbia,synthetic
PADI-0000093,2020-02-01,2020-02-02,SRB,Serbia,HPAI,High pathogenicity avian influenza,0.906,True,Larus spp. (wild),en,outlet_20,[SYNTHETIC] Reports of HPAI activity in Serbia,synthetic
PADI-0000094,2020-01-27,2020-01-28,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.554,True,Cygnus olor (wild),ru,outlet_11,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0000095,2020-02-01,2020-02-02,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.522,True,Anas platyrhynchos (domestic),es,outlet_23,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0000096,2020-01-28,2020-01-29,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.949,True,Anas platyrhynchos (domestic),ru,outlet_08,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0000097,2020-02-01,2020-02-02,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.866,True,Anas platyrhynchos (domestic),en,outlet_09,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0000098,2020-01-28,2020-01-29,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.915,True,Anas platyrhynchos (domestic),en,outlet_02,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000099,2020-01-29,2020-01-30,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.841,True,Meleagris gallopavo (domestic),en,outlet_01,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000100,2020-02-01,2020-02-02,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.662,True,Meleagris gallopavo (domestic),en,outlet_24,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000101,2020-01-29,2020-01-30,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.433,False,Larus spp. (wild),en,outlet_45,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000102,2020-01-29,2020-01-30,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.638,True,Anas platyrhynchos (domestic),es,outlet_37,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000103,2020-01-27,2020-01-28,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.825,True,Cygnus olor (wild),en,outlet_07,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000104,2020-02-01,2020-02-02,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.58,True,Gallus gallus (domestic),es,outlet_18,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000105,2020-01-30,2020-01-31,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.371,False,Anas platyrhynchos (domestic),en,outlet_46,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000106,2020-01-27,2020-01-28,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.564,True,Cygnus olor (wild),en,outlet_24,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0000107,2020-02-02,2020-02-03,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.849,True,Anas platyrhynchos (domestic),en,outlet_07,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0000108,2020-02-01,2020-02-02,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.843,True,Cygnus olor (wild),ru,outlet_28,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0000109,2020-02-02,2020-02-03,ISR,Israel,HPAI,High pathogenicity avian influenza,0.677,True,Cygnus olor (wild),en,outlet_18,[SYNTHETIC] Reports of HPAI activity in Israel,synthetic
PADI-0000110,2020-01-31,2020-02-01,ISR,Israel,HPAI,High pathogenicity avian influenza,0.426,False,Anas platyrhynchos (domestic),en,outlet_06,[SYNTHETIC] Reports of HPAI activity in Israel,synthetic
PADI-0000111,2020-02-01,2020-02-02,ISR,Israel,HPAI,High pathogenicity avian influenza,0.76,True,Cygnus olor (wild),fr,outlet_33,[SYNTHETIC] Reports of HPAI activity in Israel,synthetic
PADI-0000112,2020-02-02,2020-02-03,ISR,Israel,HPAI,High pathogenicity avian influenza,0.884,True,Cygnus olor (wild),en,outlet_10,[SYNTHETIC] Reports of HPAI activity in Israel,synthetic
PADI-0000113,2020-02-01,2020-02-02,TUN,Tunisia,HPAI,High pathogenicity avian influenza,0.843,True,Gallus gallus (domestic),fr,outlet_46,[SYNTHETIC] Reports of HPAI activity in Tunisia,synthetic
PADI-0000114,2020-02-01,2020-02-02,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.51,True,Gallus gallus (domestic),en,outlet_31,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0000115,2020-01-28,2020-01-29,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.66,True,Larus spp. (wild),en,outlet_20,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0000116,2020-02-02,2020-02-03,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.537,True,Larus spp. (wild),es,outlet_07,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0000117,2020-01-29,2020-01-30,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.689,True,Anas platyrhynchos (domestic),en,outlet_04,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0000118,2020-02-02,2020-02-03,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.512,True,Anas platyrhynchos (domestic),ru,outlet_25,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0000119,2020-02-04,2020-02-05,FRA,France,HPAI,High pathogenicity avian influenza,0.688,True,Larus spp. (wild),en,outlet_09,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0000120,2020-02-07,2020-02-08,FRA,France,HPAI,High pathogenicity avian influenza,0.57,True,Meleagris gallopavo (domestic),en,outlet_43,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0000121,2020-02-08,2020-02-09,DEU,Germany,HPAI,High pathogenicity avian influenza,0.398,False,Gallus gallus (domestic),en,outlet_03,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0000122,2020-02-04,2020-02-05,DEU,Germany,HPAI,High pathogenicity avian influenza,0.592,True,Cygnus olor (wild),en,outlet_11,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0000123,2020-02-09,2020-02-10,BEL,Belgium,HPAI,High pathogenicity avian influenza,0.935,True,Larus spp. (wild),fr,outlet_31,[SYNTHETIC] Reports of HPAI activity in Belgium,synthetic
PADI-0000124,2020-02-05,2020-02-06,ITA,Italy,HPAI,High pathogenicity avian influenza,0.571,True,Larus spp. (wild),en,outlet_29,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0000125,2020-02-08,2020-02-09,ITA,Italy,HPAI,High pathogenicity avian influenza,0.76,True,Anas platyrhynchos (domestic),es,outlet_03,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0000126,2020-02-03,2020-02-04,ESP,Spain,HPAI,High pathogenicity avian influenza,0.468,True,Meleagris gallopavo (domestic),es,outlet_08,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0000127,2020-02-06,2020-02-07,ESP,Spain,HPAI,High pathogenicity avian influenza,0.66,True,Anas platyrhynchos (domestic),fr,outlet_17,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0000128,2020-02-05,2020-02-06,ESP,Spain,HPAI,High pathogenicity avian influenza,0.519,True,Anas platyrhynchos (domestic),en,outlet_20,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0000129,2020-02-09,2020-02-10,ESP,Spain,HPAI,High pathogenicity avian influenza,0.292,False,Larus spp. (wild),fr,outlet_08,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
