empresi_id,source_reference,upstream_source,disease,disease_code,country,iso3,latitude,longitude,observation_date,report_date,published_date,species,cases,deaths,status,data_realism
EMPRESI-HPAI-0000015,WAHIS-HPAI-SRB-2020-02-03-00,WAHIS,High pathogenicity avian influenza,HPAI,Serbia,SRB,43.8866,20.1558,2020-02-08,2020-02-22,2020-03-01,Anas platyrhynchos (domestic),7213,3974,confirmed,synthetic
EMPRESI-HPAI-0000008,WAHIS-HPAI-ITA-2020-01-20-00,WAHIS,High pathogenicity avian influenza,HPAI,Italy,ITA,43.96,15.3786,2020-01-24,2020-02-24,2020-03-01,Gallus gallus (domestic),2823,1512,confirmed,synthetic
EMPRESI-HPAI-0000016,WAHIS-HPAI-ISR-2020-02-03-00,WAHIS,High pathogenicity avian influenza,HPAI,Israel,ISR,32.004,34.7936,2020-02-08,2020-02-21,2020-03-02,Larus spp. (wild),1430,779,confirmed,synthetic
EMPRESI-HPAI-0000006,WAHIS-HPAI-ISR-2020-01-13-00,WAHIS,High pathogenicity avian influenza,HPAI,Israel,ISR,31.0349,34.3162,2020-01-17,2020-02-23,2020-03-07,Gallus gallus (domestic),2447,1354,confirmed,synthetic
EMPRESI-HPAI-0000019,WAHIS-HPAI-ISR-2020-02-10-01,WAHIS,High pathogenicity avian influenza,HPAI,Israel,ISR,31.3368,35.0688,2020-02-15,2020-02-28,2020-03-07,Cygnus olor (wild),677,381,confirmed,synthetic
EMPRESI-HPAI-0000024,WAHIS-HPAI-BGR-2020-02-24-00,WAHIS,High pathogenicity avian influenza,HPAI,Bulgaria,BGR,42.9446,23.9093,2020-02-28,2020-03-11,2020-03-18,Larus spp. (wild),2901,1649,confirmed,synthetic
EMPRESI-HPAI-0000027,WAHIS-HPAI-ITA-2020-03-02-00,WAHIS,High pathogenicity avian influenza,HPAI,Italy,ITA,42.9725,14.4552,2020-03-03,2020-03-10,2020-03-19,Meleagris gallopavo (domestic),2408,1302,confirmed,synthetic
EMPRESI-HPAI-0000030,WAHIS-HPAI-HUN-2020-03-02-01,WAHIS,High pathogenicity avian influenza,HPAI,Hungary,HUN,47.2365,17.4886,2020-03-05,2020-03-11,2020-03-20,Meleagris gallopavo (domestic),2571,1416,confirmed,synthetic
EMPRESI-HPAI-0000039,WAHIS-HPAI-ITA-2020-03-16-01,WAHIS,High pathogenicity avian influenza,HPAI,Italy,ITA,44.9956,14.0426,2020-03-16,2020-03-22,2020-03-25,Meleagris gallopavo (domestic),5398,2997,confirmed,synthetic
EMPRESI-HPAI-0000025,WAHIS-HPAI-SRB-2020-02-24-00,WAHIS,High pathogenicity avian influenza,HPAI,Serbia,SRB,45.2282,21.7843,2020-02-29,2020-03-17,2020-03-25,Larus spp. (wild),2350,1303,confirmed,synthetic
EMPRESI-HPAI-0000032,WAHIS-HPAI-FRA-2020-03-09-00,WAHIS,High pathogenicity avian influenza,HPAI,France,FRA,47.7521,2.529,2020-03-10,2020-03-20,2020-04-01,Cygnus olor (wild),1497,827,confirmed,synthetic
EMPRESI-HPAI-0000034,WAHIS-HPAI-ITA-2020-03-09-00,WAHIS,High pathogenicity avian influenza,HPAI,Italy,ITA,42.4572,15.2509,2020-03-12,2020-03-22,2020-04-01,Anas platyrhynchos (domestic),887,503,confirmed,synthetic
EMPRESI-HPAI-0000041,WAHIS-HPAI-ESP-2020-03-16-00,WAHIS,High pathogenicity avian influenza,HPAI,Spain,ESP,42.905,-5.4641,2020-03-19,2020-03-24,2020-04-02,Larus spp. (wild),3569,1958,confirmed,synthetic
EMPRESI-HPAI-0000036,WAHIS-HPAI-MAR-2020-03-09-00,WAHIS,High pathogenicity avian influenza,HPAI,Morocco,MAR,29.3103,-7.1412,2020-03-13,2020-03-28,2020-04-03,Gallus gallus (domestic),3718,2028,confirmed,synthetic
EMPRESI-HPAI-0000023,WAHIS-HPAI-HUN-2020-02-24-00,WAHIS,High pathogenicity avian influenza,HPAI,Hungary,HUN,47.0487,18.9099,2020-03-01,2020-03-21,2020-04-04,Gallus gallus (domestic),9406,5176,confirmed,synthetic
EMPRESI-HPAI-0000049,WAHIS-HPAI-HUN-2020-03-23-00,WAHIS,High pathogenicity avian influenza,HPAI,Hungary,HUN,45.7968,19.2996,2020-03-23,2020-03-29,2020-04-06,Larus spp. (wild),3847,2102,confirmed,synthetic
EMPRESI-HPAI-0000028,WAHIS-HPAI-ITA-2020-03-02-01,WAHIS,High pathogenicity avian influenza,HPAI,Italy,ITA,43.6779,10.9569,2020-03-08,2020-03-30,2020-04-07,Anas platyrhynchos (domestic),2312,1257,confirmed,synthetic
EMPRESI-HPAI-0000051,WAHIS-HPAI-SRB-2020-03-23-00,WAHIS,High pathogenicity avian influenza,HPAI,Serbia,SRB,43.2168,21.5125,2020-03-24,2020-03-29,2020-04-08,Larus spp. (wild),2662,1417,confirmed,synthetic
EMPRESI-HPAI-0000029,WAHIS-HPAI-HUN-2020-03-02-00,WAHIS,High pathogenicity avian influenza,HPAI,Hungary,HUN,46.9304,18.0301,2020-03-02,2020-04-01,2020-04-10,Anas platyrhynchos (domestic),4492,2461,confirmed,synthetic
EMPRESI-HPAI-0000038,WAHIS-HPAI-ITA-2020-03-16-00,WAHIS,High pathogenicity avian influenza,HPAI,Italy,ITA,42.5967,11.0024,2020-03-22,2020-04-01,2020-04-10,Cygnus olor (wild),3054,1690,confirmed,synthetic
EMPRESI-HPAI-0000044,WAHIS-HPAI-SRB-2020-03-16-02,WAHIS,High pathogenicity avian influenza,HPAI,Serbia,SRB,44.6014,19.7305,2020-03-19,2020-04-03,2020-04-12,Cygnus olor (wild),862,480,confirmed,synthetic
EMPRESI-HPAI-0000056,WAHIS-HPAI-POL-2020-03-30-00,WAHIS,High pathogenicity avian influenza,HPAI,Poland,POL,50.3091,20.5231,2020-03-30,2020-04-08,2020-04-15,Cygnus olor (wild),1103,633,confirmed,synthetic
EMPRESI-HPAI-0000046,WAHIS-HPAI-FRA-2020-03-23-00,WAHIS,High pathogenicity avian influenza,HPAI,France,FRA,50.2521,2.8872,2020-03-27,2020-04-08,2020-04-15,Meleagris gallopavo (domestic),3514,1922,confirmed,synthetic
EMPRESI-HPAI-0000047,WAHIS-HPAI-DEU-2020-03-23-00,WAHIS,High pathogenicity avian influenza,HPAI,Germany,DEU,50.6577,11.9572,2020-03-25,2020-04-09,2020-04-15,Larus spp. (wild),3553,1914,confirmed,synthetic
EMPRESI-HPAI-0000068,WAHIS-HPAI-NLD-2020-04-06-01,WAHIS,High pathogenicity avian influenza,HPAI,Netherlands,NLD,52.866,5.1653,2020-04-07,2020-04-10,2020-04-16,Larus spp. (wild),2661,1504,confirmed,synthetic
EMPRESI-HPAI-0000052,WAHIS-HPAI-SRB-2020-03-23-01,WAHIS,High pathogenicity avian influenza,HPAI,Serbia,SRB,44.7814,22.5878,2020-03-27,2020-04-12,2020-04-17,Larus spp. (wild),8081,4480,confirmed,synthetic
EMPRESI-HPAI-0000050,WAHIS-HPAI-ROU-2020-03-23-00,WAHIS,High pathogenicity avian influenza,HPAI,Romania,ROU,46.2394,24.7457,2020-03-25,2020-04-09,2020-04-17,Anas platyrhynchos (domestic),12356,6816,confirmed,synthetic
EMPRESI-HPAI-0000042,WAHIS-HPAI-SRB-2020-03-16-00,WAHIS,High pathogenicity avian influenza,HPAI,Serbia,SRB,44.8344,21.0398,2020-03-17,2020-04-11,2020-04-17,Larus spp. (wild),2870,1578,confirmed,synthetic
EMPRESI-HPAI-0000063,WAHIS-HPAI-MAR-2020-03-30-00,WAHIS,High pathogenicity avian influenza,HPAI,Morocco,MAR,29.8382,-7.9016,2020-04-03,2020-04-15,2020-04-22,Larus spp. (wild),6771,3757,confirmed,synthetic
EMPRESI-HPAI-0000069,WAHIS-HPAI-BEL-2020-04-06-00,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,50.2184,5.4732,2020-04-08,2020-04-15,2020-04-23,Cygnus olor (wild),7609,4209,confirmed,synthetic
EMPRESI-HPAI-0000054,WAHIS-HPAI-TUN-2020-03-23-01,WAHIS,High pathogenicity avian influenza,HPAI,Tunisia,TUN,32.6486,9.3844,2020-03-26,2020-04-18,2020-04-24,Meleagris gallopavo (domestic),4847,2635,confirmed,synthetic
EMPRESI-HPAI-0000058,WAHIS-HPAI-HUN-2020-03-30-01,WAHIS,High pathogenicity avian influenza,HPAI,Hungary,HUN,46.9046,19.9301,2020-03-30,2020-04-18,2020-04-24,Anas platyrhynchos (domestic),3796,2084,confirmed,synthetic
EMPRESI-HPAI-0000070,WAHIS-HPAI-BEL-2020-04-06-01,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,50.0798,5.3353,2020-04-11,2020-04-15,2020-04-24,Gallus gallus (domestic),2637,1394,confirmed,synthetic
EMPRESI-HPAI-0000053,WAHIS-HPAI-TUN-2020-03-23-00,WAHIS,High pathogenicity avian influenza,HPAI,Tunisia,TUN,33.8493,11.3237,2020-03-28,2020-04-14,2020-04-25,Meleagris gallopavo (domestic),2841,1583,confirmed,synthetic
EMPRESI-HPAI-0000065,WAHIS-HPAI-FRA-2020-04-06-01,WAHIS,High pathogenicity avian influenza,HPAI,France,FRA,46.9533,7.1642,2020-04-09,2020-04-20,2020-04-26,Meleagris gallopavo (domestic),1641,869,confirmed,synthetic
EMPRESI-HPAI-0000088,WAHIS-HPAI-BEL-2020-04-13-00,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,50.9714,5.0039,2020-04-14,2020-04-22,2020-04-28,Gallus gallus (domestic),8962,4874,confirmed,synthetic
EMPRESI-HPAI-0000075,WAHIS-HPAI-SRB-2020-04-06-00,WAHIS,High pathogenicity avian influenza,HPAI,Serbia,SRB,45.0981,21.5484,2020-04-06,2020-04-21,2020-04-28,Meleagris gallopavo (domestic),9733,5281,confirmed,synthetic
EMPRESI-HPAI-0000095,WAHIS-HPAI-POL-2020-04-13-03,WAHIS,High pathogenicity avian influenza,HPAI,Poland,POL,51.6066,21.9979,2020-04-13,2020-04-18,2020-04-28,Cygnus olor (wild),2572,1432,confirmed,synthetic
EMPRESI-HPAI-0000064,WAHIS-HPAI-FRA-2020-04-06-00,WAHIS,High pathogenicity avian influenza,HPAI,France,FRA,49.9886,0.5231,2020-04-08,2020-04-16,2020-04-29,Anas platyrhynchos (domestic),3720,2078,confirmed,synthetic
EMPRESI-HPAI-0000084,WAHIS-HPAI-DEU-2020-04-13-02,WAHIS,High pathogenicity avian influenza,HPAI,Germany,DEU,53.3373,10.9509,2020-04-15,2020-04-22,2020-04-29,Meleagris gallopavo (domestic),2479,1339,confirmed,synthetic
EMPRESI-HPAI-0000081,WAHIS-HPAI-FRA-2020-04-13-03,WAHIS,High pathogenicity avian influenza,HPAI,France,FRA,44.4152,2.1282,2020-04-13,2020-04-22,2020-04-29,Cygnus olor (wild),5157,2821,confirmed,synthetic
EMPRESI-HPAI-0000076,WAHIS-HPAI-RUS-2020-04-06-00,WAHIS,High pathogenicity avian influenza,HPAI,Russian Federation,RUS,54.2135,42.1708,2020-04-11,2020-04-21,2020-04-29,Gallus gallus (domestic),1033,570,confirmed,synthetic
EMPRESI-HPAI-0000066,WAHIS-HPAI-DEU-2020-04-06-00,WAHIS,High pathogenicity avian influenza,HPAI,Germany,DEU,48.3197,10.7134,2020-04-11,2020-04-22,2020-04-29,Gallus gallus (domestic),6479,3629,confirmed,synthetic
EMPRESI-HPAI-0000101,WAHIS-HPAI-TUR-2020-04-13-00,WAHIS,High pathogenicity avian influenza,HPAI,Türkiye,TUR,40.3567,30.9398,2020-04-15,2020-04-22,2020-05-01,Meleagris gallopavo (domestic),2611,1421,confirmed,synthetic
EMPRESI-HPAI-0000087,WAHIS-HPAI-NLD-2020-04-13-01,WAHIS,High pathogenicity avian influenza,HPAI,Netherlands,NLD,52.6801,5.4384,2020-04-14,2020-04-21,2020-05-01,Larus spp. (wild),6155,3342,confirmed,synthetic
EMPRESI-HPAI-0000086,WAHIS-HPAI-NLD-2020-04-13-00,WAHIS,High pathogenicity avian influenza,HPAI,Netherlands,NLD,52.5464,6.4068,2020-04-15,2020-04-25,2020-05-01,Meleagris gallopavo (domestic),1558,839,confirmed,synthetic
EMPRESI-HPAI-0000085,WAHIS-HPAI-DEU-2020-04-13-03,WAHIS,High pathogenicity avian influenza,HPAI,Germany,DEU,50.9134,12.7098,2020-04-17,2020-04-22,2020-05-02,Anas platyrhynchos (domestic),6905,3889,confirmed,synthetic
EMPRESI-HPAI-0000067,WAHIS-HPAI-NLD-2020-04-06-00,WAHIS,High pathogenicity avian influenza,HPAI,Netherlands,NLD,51.4985,6.5414,2020-04-08,2020-04-25,2020-05-02,Gallus gallus (domestic),2047,1167,confirmed,synthetic
EMPRESI-HPAI-0000090,WAHIS-HPAI-ITA-2020-04-13-00,WAHIS,High pathogenicity avian influenza,HPAI,Italy,ITA,43.7855,12.4559,2020-04-16,2020-04-24,2020-05-02,Cygnus olor (wild),3419,1882,confirmed,synthetic
EMPRESI-HPAI-0000072,WAHIS-HPAI-POL-2020-04-06-01,WAHIS,High pathogenicity avian influenza,HPAI,Poland,POL,50.7685,15.3883,2020-04-09,2020-04-22,2020-05-02,Meleagris gallopavo (domestic),4950,2676,confirmed,synthetic
EMPRESI-HPAI-0000083,WAHIS-HPAI-DEU-2020-04-13-01,WAHIS,High pathogenicity avian influenza,HPAI,Germany,DEU,48.9303,12.2394,2020-04-17,2020-04-26,2020-05-03,Anas platyrhynchos (domestic),2991,1651,confirmed,synthetic
EMPRESI-HPAI-0000089,WAHIS-HPAI-BEL-2020-04-13-01,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,51.2519,4.2183,2020-04-15,2020-04-28,2020-05-03,Meleagris gallopavo (domestic),7490,4118,confirmed,synthetic
EMPRESI-HPAI-0000078,WAHIS-HPAI-FRA-2020-04-13-00,WAHIS,High pathogenicity avian influenza,HPAI,France,FRA,46.4127,-0.9211,2020-04-18,2020-04-23,2020-05-03,Anas platyrhynchos (domestic),2772,1537,confirmed,synthetic
EMPRESI-HPAI-0000097,WAHIS-HPAI-ROU-2020-04-13-00,WAHIS,High pathogenicity avian influenza,HPAI,Romania,ROU,46.1124,23.5978,2020-04-16,2020-04-20,2020-05-03,Meleagris gallopavo (domestic),3952,2206,confirmed,synthetic
EMPRESI-HPAI-0000059,WAHIS-HPAI-SRB-2020-03-30-00,WAHIS,High pathogenicity avian influenza,HPAI,Serbia,SRB,43.3891,21.6777,2020-03-31,2020-04-29,2020-05-04,Gallus gallus (domestic),1226,668,confirmed,synthetic
EMPRESI-HPAI-0000060,WAHIS-HPAI-GEO-2020-03-30-00,WAHIS,High pathogenicity avian influenza,HPAI,Georgia,GEO,41.8591,42.1614,2020-04-05,2020-04-29,2020-05-04,Larus spp. (wild),3919,2142,confirmed,synthetic
EMPRESI-HPAI-0000043,WAHIS-HPAI-SRB-2020-03-16-01,WAHIS,High pathogenicity avian influenza,HPAI,Serbia,SRB,44.5237,21.6852,2020-03-17,2020-04-27,2020-05-05,Meleagris gallopavo (domestic),9888,5528,confirmed,synthetic
EMPRESI-HPAI-0000119,WAHIS-HPAI-MAR-2020-04-20-00,WAHIS,High pathogenicity avian influenza,HPAI,Morocco,MAR,31.2396,-9.693,2020-04-20,2020-05-02,2020-05-06,Anas platyrhynchos (domestic),1414,779,confirmed,synthetic
EMPRESI-HPAI-0000082,WAHIS-HPAI-DEU-2020-04-13-00,WAHIS,High pathogenicity avian influenza,HPAI,Germany,DEU,52.8159,14.0341,2020-04-15,2020-04-25,2020-05-06,Meleagris gallopavo (domestic),979,541,confirmed,synthetic
EMPRESI-HPAI-0000098,WAHIS-HPAI-BGR-2020-04-13-00,WAHIS,High pathogenicity avian influenza,HPAI,Bulgaria,BGR,42.8449,23.7813,2020-04-13,2020-04-29,2020-05-07,Cygnus olor (wild),5836,3282,confirmed,synthetic
EMPRESI-ASF-0000002,WAHIS-ASF-POL-2020-04-13-00,WAHIS,African swine fever,ASF,Poland,POL,49.9415,18.0769,2020-04-16,2020-04-29,2020-05-07,Sus scrofa (wild boar),60,53,confirmed,synthetic
EMPRESI-HPAI-0000092,WAHIS-HPAI-POL-2020-04-13-00,WAHIS,High pathogenicity avian influenza,HPAI,Poland,POL,50.4213,17.3358,2020-04-16,2020-04-30,2020-05-07,Anas platyrhynchos (domestic),6984,3817,confirmed,synthetic
EMPRESI-HPAI-0000105,WAHIS-HPAI-DEU-2020-04-20-01,WAHIS,High pathogenicity avian influenza,HPAI,Germany,DEU,52.2084,11.6825,2020-04-22,2020-04-25,2020-05-08,Anas platyrhynchos (domestic),3177,1729,confirmed,synthetic
EMPRESI-HPAI-0000115,WAHIS-HPAI-RUS-2020-04-20-00,WAHIS,High pathogenicity avian influenza,HPAI,Russian Federation,RUS,55.9104,50.8829,2020-04-23,2020-04-29,2020-05-08,Meleagris gallopavo (domestic),10929,6045,confirmed,synthetic
EMPRESI-HPAI-0000080,WAHIS-HPAI-FRA-2020-04-13-02,WAHIS,High pathogenicity avian influenza,HPAI,France,FRA,46.3148,7.4009,2020-04-18,2020-04-30,2020-05-09,Cygnus olor (wild),5149,2833,confirmed,synthetic
EMPRESI-HPAI-0000127,WAHIS-HPAI-BEL-2020-04-27-01,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,50.4527,4.075,2020-04-27,2020-05-05,2020-05-10,Larus spp. (wild),3128,1725,confirmed,synthetic
EMPRESI-HPAI-0000077,WAHIS-HPAI-TUR-2020-04-06-00,WAHIS,High pathogenicity avian influenza,HPAI,Türkiye,TUR,42.9701,34.3584,2020-04-09,2020-05-05,2020-05-11,Gallus gallus (domestic),609,335,confirmed,synthetic
EMPRESI-HPAI-0000137,WAHIS-HPAI-ESP-2020-04-27-01,WAHIS,High pathogenicity avian influenza,HPAI,Spain,ESP,40.0446,-0.615,2020-05-01,2020-05-03,2020-05-11,Cygnus olor (wild),7851,4258,confirmed,synthetic
EMPRESI-HPAI-0000116,WAHIS-HPAI-RUS-2020-04-20-01,WAHIS,High pathogenicity avian influenza,HPAI,Russian Federation,RUS,54.8793,49.6071,2020-04-22,2020-04-27,2020-05-11,Gallus gallus (domestic),1687,924,confirmed,synthetic
EMPRESI-HPAI-0000146,WAHIS-HPAI-TUR-2020-04-27-01,WAHIS,High pathogenicity avian influenza,HPAI,Türkiye,TUR,36.6678,39.6942,2020-04-27,2020-05-04,2020-05-12,Meleagris gallopavo (domestic),8062,4468,confirmed,synthetic
EMPRESI-HPAI-0000136,WAHIS-HPAI-ESP-2020-04-27-00,WAHIS,High pathogenicity avian influenza,HPAI,Spain,ESP,40.0237,-5.309,2020-04-30,2020-05-06,2020-05-13,Anas platyrhynchos (domestic),2236,1259,confirmed,synthetic
EMPRESI-HPAI-0000096,WAHIS-HPAI-POL-2020-04-13-04,WAHIS,High pathogenicity avian influenza,HPAI,Poland,POL,51.1879,17.5564,2020-04-16,2020-05-05,2020-05-14,Meleagris gallopavo (domestic),5631,3125,confirmed,synthetic
EMPRESI-HPAI-0000109,WAHIS-HPAI-BEL-2020-04-20-00,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,50.2164,5.141,2020-04-21,2020-05-02,2020-05-15,Gallus gallus (domestic),4731,2610,confirmed,synthetic
EMPRESI-HPAI-0000125,WAHIS-HPAI-NLD-2020-04-27-01,WAHIS,High pathogenicity avian influenza,HPAI,Netherlands,NLD,53.0949,6.3747,2020-04-28,2020-05-08,2020-05-15,Cygnus olor (wild),3868,2148,confirmed,synthetic
EMPRESI-HPAI-0000131,WAHIS-HPAI-BEL-2020-04-27-05,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,51.0059,3.8795,2020-04-27,2020-05-05,2020-05-15,Meleagris gallopavo (domestic),1482,814,confirmed,synthetic
EMPRESI-HPAI-0000140,WAHIS-HPAI-POL-2020-04-27-01,WAHIS,High pathogenicity avian influenza,HPAI,Poland,POL,52.4926,17.0551,2020-04-30,2020-05-06,2020-05-15,Meleagris gallopavo (domestic),6443,3602,confirmed,synthetic
EMPRESI-HPAI-0000110,WAHIS-HPAI-BEL-2020-04-20-01,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,50.4335,4.7962,2020-04-24,2020-05-01,2020-05-15,Cygnus olor (wild),4722,2542,confirmed,synthetic
EMPRESI-HPAI-0000121,WAHIS-HPAI-FRA-2020-04-27-01,WAHIS,High pathogenicity avian influenza,HPAI,France,FRA,48.8889,4.9343,2020-04-28,2020-05-04,2020-05-15,Meleagris gallopavo (domestic),11990,6666,confirmed,synthetic
EMPRESI-HPAI-0000133,WAHIS-HPAI-BEL-2020-04-27-07,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,49.9685,5.5588,2020-05-02,2020-05-10,2020-05-16,Anas platyrhynchos (domestic),2159,1170,confirmed,synthetic
EMPRESI-HPAI-0000099,WAHIS-HPAI-SRB-2020-04-13-00,WAHIS,High pathogenicity avian influenza,HPAI,Serbia,SRB,44.4127,20.016,2020-04-15,2020-05-13,2020-05-16,Gallus gallus (domestic),248,139,confirmed,synthetic
EMPRESI-HPAI-0000164,WAHIS-HPAI-BEL-2020-05-04-00,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,50.2221,4.047,2020-05-07,2020-05-10,2020-05-17,Cygnus olor (wild),13693,7555,confirmed,synthetic
EMPRESI-HPAI-0000155,WAHIS-HPAI-DEU-2020-05-04-05,WAHIS,High pathogenicity avian influenza,HPAI,Germany,DEU,49.9883,10.4235,2020-05-05,2020-05-08,2020-05-17,Cygnus olor (wild),3920,2174,confirmed,synthetic
EMPRESI-HPAI-0000162,WAHIS-HPAI-NLD-2020-05-04-06,WAHIS,High pathogenicity avian influenza,HPAI,Netherlands,NLD,52.722,4.7655,2020-05-04,2020-05-11,2020-05-17,Cygnus olor (wild),1788,989,confirmed,synthetic
EMPRESI-HPAI-0000057,WAHIS-HPAI-HUN-2020-03-30-00,WAHIS,High pathogenicity avian influenza,HPAI,Hungary,HUN,47.6209,19.6174,2020-04-03,2020-05-09,2020-05-17,Larus spp. (wild),5205,2867,confirmed,synthetic
EMPRESI-HPAI-0000161,WAHIS-HPAI-NLD-2020-05-04-05,WAHIS,High pathogenicity avian influenza,HPAI,Netherlands,NLD,52.4271,6.1263,2020-05-08,2020-05-10,2020-05-18,Meleagris gallopavo (domestic),2873,1567,confirmed,synthetic
EMPRESI-ASF-0000004,WAHIS-ASF-HUN-2020-04-20-00,WAHIS,African swine fever,ASF,Hungary,HUN,47.7182,18.4202,2020-04-25,2020-05-14,2020-05-19,Sus scrofa domesticus,97,86,confirmed,synthetic
EMPRESI-HPAI-0000117,WAHIS-HPAI-RUS-2020-04-20-02,WAHIS,High pathogenicity avian influenza,HPAI,Russian Federation,RUS,57.3407,43.226,2020-04-26,2020-05-12,2020-05-19,Meleagris gallopavo (domestic),2423,1303,confirmed,synthetic
EMPRESI-HPAI-0000102,WAHIS-HPAI-FRA-2020-04-20-00,WAHIS,High pathogenicity avian influenza,HPAI,France,FRA,48.0467,2.4616,2020-04-24,2020-05-09,2020-05-19,Larus spp. (wild),925,500,confirmed,synthetic
EMPRESI-HPAI-0000165,WAHIS-HPAI-BEL-2020-05-04-01,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,51.0701,4.49,2020-05-05,2020-05-11,2020-05-19,Larus spp. (wild),3678,1999,confirmed,synthetic
EMPRESI-HPAI-0000128,WAHIS-HPAI-BEL-2020-04-27-02,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,50.1247,3.9372,2020-04-28,2020-05-10,2020-05-19,Larus spp. (wild),5267,2869,confirmed,synthetic
EMPRESI-HPAI-0000130,WAHIS-HPAI-BEL-2020-04-27-04,WAHIS,High pathogenicity avian influenza,HPAI,Belgium,BEL,50.6197,4.9159,2020-04-30,2020-05-08,2020-05-20,Meleagris gallopavo (domestic),4561,2510,confirmed,synthetic
EMPRESI-ASF-0000003,WAHIS-ASF-DEU-2020-04-20-00,WAHIS,African swine fever,ASF,Germany,DEU,49.1317,12.754,2020-04-20,2020-05-08,2020-05-20,Sus scrofa domesticus,29,26,confirmed,synthetic
EMPRESI-HPAI-0000151,WAHIS-HPAI-DEU-2020-05-04-01,WAHIS,High pathogenicity avian influenza,HPAI,Germany,DEU,48.8326,7.4336,2020-05-10,2020-05-14,2020-05-20,Larus spp. (wild),8996,4951,confirmed,synthetic
EMPRESI-HPAI-0000144,WAHIS-HPAI-RUS-2020-04-27-00,WAHIS,High pathogenicity avian influenza,HPAI,Russian Federation,RUS,55.417,47.5091,2020-05-02,2020-05-16,2020-05-20,Anas platyrhynchos (domestic),2380,1314,confirmed,synthetic
EMPRESI-HPAI-0000157,WAHIS-HPAI-NLD-2020-05-04-01,WAHIS,High pathogenicity avian influenza,HPAI,Netherlands,NLD,51.3199,5.2282,2020-05-05,2020-05-11,2020-05-21,Meleagris gallopavo (domestic),2269,1230,confirmed,synthetic
