iso3,month,tavg_c,tmin_c,tmax_c,prec_mm,reference_period,data_realism
BEL,10,10.97,5.77,16.57,94.36,1970-2000 (synthetic analogue),synthetic
BEL,11,2.225,-2.975,7.825,121.83,1970-2000 (synthetic analogue),synthetic
BEL,12,-5.041,-10.241,0.559,151.39,1970-2000 (synthetic analogue),synthetic
ITA,1,-3.386,-8.586,2.214,169.37,1970-2000 (synthetic analogue),synthetic
ITA,2,-2.894,-8.094,2.706,180.48,1970-2000 (synthetic analogue),synthetic
ITA,3,1.228,-3.972,6.828,177.18,1970-2000 (synthetic analogue),synthetic
ITA,4,7.96,2.76,13.56,160.35,1970-2000 (synthetic analogue),synthetic
ITA,5,15.521,10.321,21.121,134.06,1970-2000 (synthetic analogue),synthetic
ITA,6,21.984,16.784,27.584,104.95,1970-2000 (synthetic analogue),synthetic
ITA,7,25.388,20.188,30.988,81.79,1970-2000 (synthetic analogue),synthetic
ITA,8,24.908,19.708,30.508,70.15,1970-2000 (synthetic analogue),synthetic
ITA,9,20.62,15.42,26.22,73.64,1970-2000 (synthetic analogue),synthetic
ITA,10,13.807,8.607,19.407,91.0,1970-2000 (synthetic analogue),synthetic
ITA,11,6.253,1.053,11.853,117.49,1970-2000 (synthetic analogue),synthetic
ITA,12,-0.023,-5.223,5.577,145.99,1970-2000 (synthetic analogue),synthetic
ESP,1,-1.608,-6.808,3.992,164.6,1970-2000 (synthetic analogue),synthetic
ESP,2,-1.141,-6.341,4.459,175.39,1970-2000 (synthetic analogue),synthetic
ESP,3,2.773,-2.427,8.373,172.18,1970-2000 (synthetic analogue),synthetic
ESP,4,9.165,3.965,14.765,155.83,1970-2000 (synthetic analogue),synthetic
ESP,5,16.343,11.143,21.943,130.28,1970-2000 (synthetic analogue),synthetic
ESP,6,22.48,17.28,28.08,101.99,1970-2000 (synthetic analogue),synthetic
ESP,7,25.712,20.512,31.312,79.48,1970-2000 (synthetic analogue),synthetic
ESP,8,25.256,20.056,30.856,68.17,1970-2000 (synthetic analogue),synthetic
ESP,9,21.185,15.985,26.785,71.57,1970-2000 (synthetic analogue),synthetic
ESP,10,14.717,9.517,20.317,88.44,1970-2000 (synthetic analogue),synthetic
ESP,11,7.544,2.344,13.144,114.17,1970-2000 (synthetic analogue),synthetic
ESP,12,1.585,-3.615,7.185,141.88,1970-2000 (synthetic analogue),synthetic
POL,1,-10.001,-15.201,-4.401,175.12,1970-2000 (synthetic analogue),synthetic
POL,2,-9.417,-14.617,-3.817,186.61,1970-2000 (synthetic analogue),synthetic
POL,3,-4.52,-9.72,1.08,183.19,1970-2000 (synthetic analogue),synthetic
POL,4,3.478,-1.722,9.078,165.79,1970-2000 (synthetic analogue),synthetic
POL,5,12.46,7.26,18.06,138.6,1970-2000 (synthetic analogue),synthetic
POL,6,20.138,14.938,25.738,108.51,1970-2000 (synthetic analogue),synthetic
POL,7,24.182,18.982,29.782,84.56,1970-2000 (synthetic analogue),synthetic
POL,8,23.612,18.412,29.212,72.53,1970-2000 (synthetic analogue),synthetic
POL,9,18.518,13.318,24.118,76.14,1970-2000 (synthetic analogue),synthetic
POL,10,10.425,5.225,16.025,94.09,1970-2000 (synthetic analogue),synthetic
POL,11,1.45,-3.75,7.05,121.47,1970-2000 (synthetic analogue),synthetic
POL,12,-6.006,-11.206,-0.406,150.95,1970-2000 (synthetic analogue),synthetic
HUN,1,-6.516,-11.716,-0.916,174.69,1970-2000 (synthetic analogue),synthetic
HUN,2,-5.98,-11.18,-0.38,186.15,1970-2000 (synthetic analogue),synthetic
HUN,3,-1.491,-6.691,4.109,182.74,1970-2000 (synthetic analogue),synthetic
HUN,4,5.839,0.639,11.439,165.38,1970-2000 (synthetic analogue),synthetic
HUN,5,14.072,8.872,19.672,138.26,1970-2000 (synthetic analogue),synthetic
HUN,6,21.111,15.911,26.711,108.24,1970-2000 (synthetic analogue),synthetic
HUN,7,24.817,19.617,30.417,84.35,1970-2000 (synthetic analogue),synthetic
HUN,8,24.295,19.095,29.895,72.35,1970-2000 (synthetic analogue),synthetic
HUN,9,19.625,14.425,25.225,75.95,1970-2000 (synthetic analogue),synthetic
HUN,10,12.207,7.007,17.807,93.86,1970-2000 (synthetic analogue),synthetic
HUN,11,3.981,-1.219,9.581,121.17,1970-2000 (synthetic analogue),synthetic
HUN,12,-2.853,-8.053,2.747,150.58,1970-2000 (synthetic analogue),synthetic
ROU,1,-5.591,-10.791,0.009,173.58,1970-2000 (synthetic analogue),synthetic
ROU,2,-5.069,-10.269,0.531,184.96,1970-2000 (synthetic analogue),synthetic
ROU,3,-0.688,-5.888,4.912,181.58,1970-2000 (synthetic analogue),synthetic
ROU,4,6.466,1.266,12.066,164.33,1970-2000 (synthetic analogue),synthetic
ROU,5,14.5,9.3,20.1,137.38,1970-2000 (synthetic analogue),synthetic
ROU,6,21.369,16.169,26.969,107.55,1970-2000 (synthetic analogue),synthetic
ROU,7,24.986,19.786,30.586,83.82,1970-2000 (synthetic analogue),synthetic
ROU,8,24.476,19.276,30.076,71.89,1970-2000 (synthetic analogue),synthetic
ROU,9,19.919,14.719,25.519,75.47,1970-2000 (synthetic analogue),synthetic
ROU,10,12.68,7.48,18.28,93.26,1970-2000 (synthetic analogue),synthetic
ROU,11,4.652,-0.548,10.252,120.4,1970-2000 (synthetic analogue),synthetic
ROU,12,-2.017,-7.217,3.583,149.62,1970-2000 (synthetic analogue),synthetic
BGR,1,-3.315,-8.515,2.285,169.2,1970-2000 (synthetic analogue),synthetic
BGR,2,-2.824,-8.024,2.776,180.3,1970-2000 (synthetic analogue),synthetic
BGR,3,1.29,-3.91,6.89,177.0,1970-2000 (synthetic analogue),synthetic
BGR,4,8.008,2.808,13.608,160.19,1970-2000 (synthetic analogue),synthetic
BGR,5,15.553,10.353,21.153,133.92,1970-2000 (synthetic analogue),synthetic
BGR,6,22.004,16.804,27.604,104.84,1970-2000 (synthetic analogue),synthetic
BGR,7,25.401,20.201,31.001,81.7,1970-2000 (synthetic analogue),synthetic
BGR,8,24.922,19.722,30.522,70.08,1970-2000 (synthetic analogue),synthetic
BGR,9,20.642,15.442,26.242,73.57,1970-2000 (synthetic analogue),synthetic
BGR,10,13.844,8.644,19.444,90.91,1970-2000 (synthetic analogue),synthetic
BGR,11,6.305,1.105,11.905,117.37,1970-2000 (synthetic analogue),synthetic
BGR,12,0.041,-5.159,5.641,145.85,1970-2000 (synthetic analogue),synthetic
SRB,1,-4.24,-9.44,1.36,171.24,1970-2000 (synthetic analogue),synthetic
SRB,2,-3.736,-8.936,1.864,182.48,1970-2000 (synthetic analogue),synthetic
SRB,3,0.486,-4.714,6.086,179.14,1970-2000 (synthetic analogue),synthetic
SRB,4,7.381,2.181,12.981,162.12,1970-2000 (synthetic analogue),synthetic
SRB,5,15.126,9.926,20.726,135.54,1970-2000 (synthetic analogue),synthetic
SRB,6,21.746,16.546,27.346,106.11,1970-2000 (synthetic analogue),synthetic
SRB,7,25.232,20.032,30.832,82.69,1970-2000 (synthetic analogue),synthetic
SRB,8,24.741,19.541,30.341,70.92,1970-2000 (synthetic analogue),synthetic
SRB,9,20.349,15.149,25.949,74.46,1970-2000 (synthetic analogue),synthetic
SRB,10,13.371,8.171,18.971,92.01,1970-2000 (synthetic analogue),synthetic
SRB,11,5.634,0.434,11.234,118.78,1970-2000 (synthetic analogue),synthetic
SRB,12,-0.795,-5.995,4.805,147.61,1970-2000 (synthetic analogue),synthetic
UKR,1,-7.725,-12.925,-2.125,175.52,1970-2000 (synthetic analogue),synthetic
UKR,2,-7.173,-12.373,-1.573,187.03,1970-2000 (synthetic analogue),synthetic
UKR,3,-2.542,-7.742,3.058,183.61,1970-2000 (synthetic analogue),synthetic
UKR,4,5.02,-0.18,10.62,166.17,1970-2000 (synthetic analogue),synthetic
UKR,5,13.513,8.313,19.113,138.92,1970-2000 (synthetic analogue),synthetic
UKR,6,20.773,15.573,26.373,108.76,1970-2000 (synthetic analogue),synthetic
UKR,7,24.597,19.397,30.197,84.76,1970-2000 (synthetic analogue),synthetic
UKR,8,24.058,18.858,29.658,72.69,1970-2000 (synthetic analogue),synthetic
UKR,9,19.241,14.041,24.841,76.32,1970-2000 (synthetic analogue),synthetic
UKR,10,11.589,6.389,17.189,94.31,1970-2000 (synthetic analogue),synthetic
UKR,11,3.103,-2.097,8.703,121.75,1970-2000 (synthetic analogue),synthetic
UKR,12,-3.947,-9.147,1.653,151.3,1970-2000 (synthetic analogue),synthetic
MDA,1,-6.516,-11.716,-0.916,174.69,1970-2000 (synthetic analogue),synthetic
MDA,2,-5.98,-11.18,-0.38,186.15,1970-2000 (synthetic analogue),synthetic
MDA,3,-1.491,-6.691,4.109,182.74,1970-2000 (synthetic analogue),synthetic
MDA,4,5.839,0.639,11.439,165.38,1970-2000 (synthetic analogue),synthetic
MDA,5,14.072,8.872,19.672,138.26,1970-2000 (synthetic analogue),synthetic
MDA,6,21.111,15.911,26.711,108.24,1970-2000 (synthetic analogue),synthetic
MDA,7,24.817,19.617,30.417,84.35,1970-2000 (synthetic analogue),synthetic
MDA,8,24.295,19.095,29.895,72.35,1970-2000 (synthetic analogue),synthetic
MDA,9,19.625,14.425,25.225,75.95,1970-2000 (synthetic analogue),synthetic
MDA,10,12.207,7.007,17.807,93.86,1970-2000 (synthetic analogue),synthetic
MDA,11,3.981,-1.219,9.581,121.17,1970-2000 (synthetic analogue),synthetic
MDA,12,-2.853,-8.053,2.747,150.58,1970-2000 (synthetic analogue),synthetic
RUS,1,-12.633,-17.833,-7.033,171.53,1970-2000 (synthetic analogue),synthetic
RUS,2,-12.012,-17.212,-6.412,182.78,1970-2000 (synthetic analogue),synthetic
RUS,3,-6.806,-12.006,-1.206,179.44,1970-2000 (synthetic analogue),synthetic
RUS,4,1.694,-3.506,7.294,162.39,1970-2000 (synthetic analogue),synthetic
RUS,5,11.242,6.042,16.842,135.76,1970-2000 (synthetic analogue),synthetic
RUS,6,19.404,14.204,25.004,106.29,1970-2000 (synthetic analogue),synthetic
RUS,7,23.702,18.502,29.302,82.83,1970-2000 (synthetic analogue),synthetic
RUS,8,23.097,17.897,28.697,71.04,1970-2000 (synthetic analogue),synthetic
RUS,9,17.682,12.482,23.282,74.58,1970-2000 (synthetic analogue),synthetic
RUS,10,9.079,3.879,14.679,92.16,1970-2000 (synthetic analogue),synthetic
RUS,11,-0.46,-5.66,5.14,118.98,1970-2000 (synthetic analogue),synthetic
RUS,12,-8.386,-13.586,-2.786,147.85,1970-2000 (synthetic analogue),synthetic
TUR,1,-0.683,-5.883,4.917,161.71,1970-2000 (synthetic analogue),synthetic
TUR,2,-0.229,-5.429,5.371,172.32,1970-2000 (synthetic analogue),synthetic
TUR,3,3.577,-1.623,9.177,169.17,1970-2000 (synthetic analogue),synthetic
TUR,4,9.791,4.591,15.391,153.1,1970-2000 (synthetic analogue),synthetic
TUR,5,16.771,11.571,22.371,127.99,1970-2000 (synthetic analogue),synthetic
TUR,6,22.738,17.538,28.338,100.2,1970-2000 (synthetic analogue),synthetic
TUR,7,25.88,20.68,31.48,78.09,1970-2000 (synthetic analogue),synthetic
TUR,8,25.438,20.238,31.038,66.97,1970-2000 (synthetic analogue),synthetic
TUR,9,21.479,16.279,27.079,70.31,1970-2000 (synthetic analogue),synthetic
TUR,10,15.19,9.99,20.79,86.89,1970-2000 (synthetic analogue),synthetic
TUR,11,8.216,3.016,13.816,112.17,1970-2000 (synthetic analogue),synthetic
TUR,12,2.422,-2.778,8.022,139.39,1970-2000 (synthetic analogue),synthetic
GEO,1,-2.817,-8.017,2.783,167.97,1970-2000 (synthetic analogue),synthetic
GEO,2,-2.333,-7.533,3.267,178.98,1970-2000 (synthetic analogue),synthetic
GEO,3,1.722,-3.478,7.322,175.71,1970-2000 (synthetic analogue),synthetic
GEO,4,8.345,3.145,13.945,159.02,1970-2000 (synthetic analogue),synthetic
GEO,5,15.784,10.584,21.384,132.94,1970-2000 (synthetic analogue),synthetic
GEO,6,22.143,16.943,27.743,104.08,1970-2000 (synthetic analogue),synthetic
GEO,7,25.491,20.291,31.091,81.11,1970-2000 (synthetic analogue),synthetic
GEO,8,25.02,19.82,30.62,69.56,1970-2000 (synthetic analogue),synthetic
GEO,9,20.801,15.601,26.401,73.03,1970-2000 (synthetic analogue),synthetic
GEO,10,14.098,8.898,19.698,90.25,1970-2000 (synthetic analogue),synthetic
GEO,11,6.666,1.466,12.266,116.51,1970-2000 (synthetic analogue),synthetic
GEO,12,0.492,-4.708,6.092,144.78,1970-2000 (synthetic analogue),synthetic
ISR,1,4.723,-0.477,10.323,141.76,1970-2000 (synthetic analogue),synthetic
ISR,2,5.101,-0.099,10.701,151.06,1970-2000 (synthetic analogue),synthetic
ISR,3,8.274,3.074,13.874,148.3,1970-2000 (synthetic analogue),synthetic
ISR,4,13.454,8.254,19.054,134.21,1970-2000 (synthetic analogue),synthetic
ISR,5,19.272,14.072,24.872,112.2,1970-2000 (synthetic analogue),synthetic
ISR,6,24.246,19.046,29.846,87.84,1970-2000 (synthetic analogue),synthetic
ISR,7,26.865,21.665,32.465,68.45,1970-2000 (synthetic analogue),synthetic
ISR,8,26.496,21.296,32.096,58.71,1970-2000 (synthetic analogue),synthetic
ISR,9,23.196,17.996,28.796,61.64,1970-2000 (synthetic analogue),synthetic
ISR,10,17.954,12.754,23.554,76.17,1970-2000 (synthetic analogue),synthetic
ISR,11,12.141,6.941,17.741,98.33,1970-2000 (synthetic analogue),synthetic
ISR,12,7.311,2.111,12.911,122.19,1970-2000 (synthetic analogue),synthetic
EGY,1,7.995,2.795,13.595,129.42,1970-2000 (synthetic analogue),synthetic
EGY,2,8.328,3.128,13.928,137.91,1970-2000 (synthetic analogue),synthetic
EGY,3,11.117,5.917,16.717,135.39,1970-2000 (synthetic analogue),synthetic
EGY,4,15.671,10.471,21.271,122.53,1970-2000 (synthetic analogue),synthetic
EGY,5,20.786,15.586,26.386,102.43,1970-2000 (synthetic analogue),synthetic
EGY,6,25.159,19.959,30.759,80.19,1970-2000 (synthetic analogue),synthetic
EGY,7,27.462,22.262,33.062,62.49,1970-2000 (synthetic analogue),synthetic
EGY,8,27.137,21.937,32.737,53.6,1970-2000 (synthetic analogue),synthetic
EGY,9,24.236,19.036,29.836,56.27,1970-2000 (synthetic analogue),synthetic
EGY,10,19.627,14.427,25.227,69.54,1970-2000 (synthetic analogue),synthetic
EGY,11,14.516,9.316,20.116,89.77,1970-2000 (synthetic analogue),synthetic
EGY,12,10.27,5.07,15.87,111.56,1970-2000 (synthetic analogue),synthetic
TUN,1,2.873,-2.327,8.473,148.92,1970-2000 (synthetic analogue),synthetic
TUN,2,3.278,-1.922,8.878,158.69,1970-2000 (synthetic analogue),synthetic
TUN,3,6.667,1.467,12.267,155.79,1970-2000 (synthetic analogue),synthetic
TUN,4,12.201,7.001,17.801,140.99,1970-2000 (synthetic analogue),synthetic
TUN,5,18.417,13.217,24.017,117.87,1970-2000 (synthetic analogue),synthetic
TUN,6,23.73,18.53,29.33,92.28,1970-2000 (synthetic analogue),synthetic
TUN,7,26.528,21.328,32.128,71.91,1970-2000 (synthetic analogue),synthetic
TUN,8,26.134,20.934,31.734,61.68,1970-2000 (synthetic analogue),synthetic
TUN,9,22.609,17.409,28.209,64.75,1970-2000 (synthetic analogue),synthetic
TUN,10,17.008,11.808,22.608,80.01,1970-2000 (synthetic analogue),synthetic
TUN,11,10.798,5.598,16.398,103.3,1970-2000 (synthetic analogue),synthetic
TUN,12,5.638,0.438,11.238,128.36,1970-2000 (synthetic analogue),synthetic
MAR,1,4.438,-0.762,10.038,142.87,1970-2000 (synthetic analogue),synthetic
MAR,2,4.821,-0.379,10.421,152.24,1970-2000 (synthetic analogue),synthetic
MAR,3,8.026,2.826,13.626,149.45,1970-2000 (synthetic analogue),synthetic
MAR,4,13.261,8.061,18.861,135.26,1970-2000 (synthetic analogue),synthetic
MAR,5,19.141,13.941,24.741,113.08,1970-2000 (synthetic analogue),synthetic
MAR,6,24.167,18.967,29.767,88.52,1970-2000 (synthetic analogue),synthetic
MAR,7,26.814,21.614,32.414,68.99,1970-2000 (synthetic analogue),synthetic
MAR,8,26.441,21.241,32.041,59.17,1970-2000 (synthetic analogue),synthetic
MAR,9,23.106,17.906,28.706,62.12,1970-2000 (synthetic analogue),synthetic
MAR,10,17.808,12.608,23.408,76.76,1970-2000 (synthetic analogue),synthetic
MAR,11,11.934,6.734,17.534,99.1,1970-2000 (synthetic analogue),synthetic
MAR,12,7.054,1.854,12.654,123.15,1970-2000 (synthetic analogue),synthetic
