iso3,country,year,item,element,unit,value,release_date,data_realism
HUN,Hungary,2023,pigs,Stocks,1000 head,2756.7,2024-07-15,synthetic
HUN,Hungary,2023,cattle,Stocks,1000 head,888.3,2024-07-15,synthetic
HUN,Hungary,2024,chickens,Stocks,1000 head,33725.9,2025-07-15,synthetic
HUN,Hungary,2024,pigs,Stocks,1000 head,2845.6,2025-07-15,synthetic
HUN,Hungary,2024,cattle,Stocks,1000 head,916.9,2025-07-15,synthetic
HUN,Hungary,2025,chickens,Stocks,1000 head,34773.2,2026-07-15,synthetic
HUN,Hungary,2025,pigs,Stocks,1000 head,2934.0,2026-07-15,synthetic
HUN,Hungary,2025,cattle,Stocks,1000 head,945.4,2026-07-15,synthetic
ROU,Romania,2020,chickens,Stocks,1000 head,66870.9,2021-07-15,synthetic
ROU,Romania,2020,pigs,Stocks,1000 head,3779.7,2021-07-15,synthetic
ROU,Romania,2020,cattle,Stocks,1000 head,1841.4,2021-07-15,synthetic
ROU,Romania,2021,chickens,Stocks,1000 head,67665.8,2022-07-15,synthetic
ROU,Romania,2021,pigs,Stocks,1000 head,3824.6,2022-07-15,synthetic
ROU,Romania,2021,cattle,Stocks,1000 head,1863.3,2022-07-15,synthetic
ROU,Romania,2022,chickens,Stocks,1000 head,68958.7,2023-07-15,synthetic
ROU,Romania,2022,pigs,Stocks,1000 head,3897.7,2023-07-15,synthetic
ROU,Romania,2022,cattle,Stocks,1000 head,1898.9,2023-07-15,synthetic
ROU,Romania,2023,chickens,Stocks,1000 head,72491.9,2024-07-15,synthetic
ROU,Romania,2023,pigs,Stocks,1000 head,4097.4,2024-07-15,synthetic
ROU,Romania,2023,cattle,Stocks,1000 head,1996.2,2024-07-15,synthetic
ROU,Romania,2024,chickens,Stocks,1000 head,68480.7,2025-07-15,synthetic
ROU,Romania,2024,pigs,Stocks,1000 head,3870.6,2025-07-15,synthetic
ROU,Romania,2024,cattle,Stocks,1000 head,1885.7,2025-07-15,synthetic
ROU,Romania,2025,chickens,Stocks,1000 head,73001.4,2026-07-15,synthetic
ROU,Romania,2025,pigs,Stocks,1000 head,4126.2,2026-07-15,synthetic
ROU,Romania,2025,cattle,Stocks,1000 head,2010.2,2026-07-15,synthetic
BGR,Bulgaria,2020,chickens,Stocks,1000 head,13977.9,2021-07-15,synthetic
BGR,Bulgaria,2020,pigs,Stocks,1000 head,652.3,2021-07-15,synthetic
BGR,Bulgaria,2020,cattle,Stocks,1000 head,512.5,2021-07-15,synthetic
BGR,Bulgaria,2021,chickens,Stocks,1000 head,15122.0,2022-07-15,synthetic
BGR,Bulgaria,2021,pigs,Stocks,1000 head,705.7,2022-07-15,synthetic
BGR,Bulgaria,2021,cattle,Stocks,1000 head,554.5,2022-07-15,synthetic
BGR,Bulgaria,2022,chickens,Stocks,1000 head,14864.0,2023-07-15,synthetic
BGR,Bulgaria,2022,pigs,Stocks,1000 head,693.7,2023-07-15,synthetic
BGR,Bulgaria,2022,cattle,Stocks,1000 head,545.0,2023-07-15,synthetic
BGR,Bulgaria,2023,chickens,Stocks,1000 head,15252.9,2024-07-15,synthetic
BGR,Bulgaria,2023,pigs,Stocks,1000 head,711.8,2024-07-15,synthetic
BGR,Bulgaria,2023,cattle,Stocks,1000 head,559.3,2024-07-15,synthetic
BGR,Bulgaria,2024,chickens,Stocks,1000 head,16214.7,2025-07-15,synthetic
BGR,Bulgaria,2024,pigs,Stocks,1000 head,756.7,2025-07-15,synthetic
BGR,Bulgaria,2024,cattle,Stocks,1000 head,594.5,2025-07-15,synthetic
BGR,Bulgaria,2025,chickens,Stocks,1000 head,16274.5,2026-07-15,synthetic
BGR,Bulgaria,2025,pigs,Stocks,1000 head,759.5,2026-07-15,synthetic
BGR,Bulgaria,2025,cattle,Stocks,1000 head,596.7,2026-07-15,synthetic
SRB,Serbia,2020,chickens,Stocks,1000 head,16169.4,2021-07-15,synthetic
SRB,Serbia,2020,pigs,Stocks,1000 head,2758.3,2021-07-15,synthetic
SRB,Serbia,2020,cattle,Stocks,1000 head,827.5,2021-07-15,synthetic
SRB,Serbia,2021,chickens,Stocks,1000 head,16927.1,2022-07-15,synthetic
SRB,Serbia,2021,pigs,Stocks,1000 head,2887.6,2022-07-15,synthetic
SRB,Serbia,2021,cattle,Stocks,1000 head,866.3,2022-07-15,synthetic
SRB,Serbia,2022,chickens,Stocks,1000 head,16288.3,2023-07-15,synthetic
SRB,Serbia,2022,pigs,Stocks,1000 head,2778.6,2023-07-15,synthetic
SRB,Serbia,2022,cattle,Stocks,1000 head,833.6,2023-07-15,synthetic
SRB,Serbia,2023,chickens,Stocks,1000 head,16843.9,2024-07-15,synthetic
SRB,Serbia,2023,pigs,Stocks,1000 head,2873.4,2024-07-15,synthetic
SRB,Serbia,2023,cattle,Stocks,1000 head,862.0,2024-07-15,synthetic
SRB,Serbia,2024,chickens,Stocks,1000 head,18832.5,2025-07-15,synthetic
SRB,Serbia,2024,pigs,Stocks,1000 head,3212.6,2025-07-15,synthetic
SRB,Serbia,2024,cattle,Stocks,1000 head,963.8,2025-07-15,synthetic
SRB,Serbia,2025,chickens,Stocks,1000 head,18071.9,2026-07-15,synthetic
SRB,Serbia,2025,pigs,Stocks,1000 head,3082.9,2026-07-15,synthetic
SRB,Serbia,2025,cattle,Stocks,1000 head,924.9,2026-07-15,synthetic
UKR,Ukraine,2020,chickens,Stocks,1000 head,212788.7,2021-07-15,synthetic
UKR,Ukraine,2020,pigs,Stocks,1000 head,5916.6,2021-07-15,synthetic
UKR,Ukraine,2020,cattle,Stocks,1000 head,3010.2,2021-07-15,synthetic
UKR,Ukraine,2021,chickens,Stocks,1000 head,201331.0,2022-07-15,synthetic
UKR,Ukraine,2021,pigs,Stocks,1000 head,5598.0,2022-07-15,synthetic
UKR,Ukraine,2021,cattle,Stocks,1000 head,2848.1,2022-07-15,synthetic
UKR,Ukraine,2022,chickens,Stocks,1000 head,200548.7,2023-07-15,synthetic
UKR,Ukraine,2022,pigs,Stocks,1000 head,5576.2,2023-07-15,synthetic
UKR,Ukraine,2022,cattle,Stocks,1000 head,2837.0,2023-07-15,synthetic
UKR,Ukraine,2023,chickens,Stocks,1000 head,218560.6,2024-07-15,synthetic
UKR,Ukraine,2023,pigs,Stocks,1000 head,6077.1,2024-07-15,synthetic
UKR,Ukraine,2023,cattle,Stocks,1000 head,3091.8,2024-07-15,synthetic
UKR,Ukraine,2024,chickens,Stocks,1000 head,213705.1,2025-07-15,synthetic
UKR,Ukraine,2024,pigs,Stocks,1000 head,5942.0,2025-07-15,synthetic
UKR,Ukraine,2024,cattle,Stocks,1000 head,3023.1,2025-07-15,synthetic
UKR,Ukraine,2025,chickens,Stocks,1000 head,229870.6,2026-07-15,synthetic
UKR,Ukraine,2025,pigs,Stocks,1000 head,6391.5,2026-07-15,synthetic
UKR,Ukraine,2025,cattle,Stocks,1000 head,3251.8,2026-07-15,synthetic
MDA,Moldova,2020,chickens,Stocks,1000 head,4119.1,2021-07-15,synthetic
MDA,Moldova,2020,pigs,Stocks,1000 head,392.3,2021-07-15,synthetic
MDA,Moldova,2020,cattle,Stocks,1000 head,117.7,2021-07-15,synthetic
MDA,Moldova,2021,chickens,Stocks,1000 head,4152.6,2022-07-15,synthetic
MDA,Moldova,2021,pigs,Stocks,1000 head,395.5,2022-07-15,synthetic
MDA,Moldova,2021,cattle,Stocks,1000 head,118.6,2022-07-15,synthetic
MDA,Moldova,2022,chickens,Stocks,1000 head,4253.5,2023-07-15,synthetic
MDA,Moldova,2022,pigs,Stocks,1000 head,405.1,2023-07-15,synthetic
MDA,Moldova,2022,cattle,Stocks,1000 head,121.5,2023-07-15,synthetic
MDA,Moldova,2023,chickens,Stocks,1000 head,4206.1,2024-07-15,synthetic
MDA,Moldova,2023,pigs,Stocks,1000 head,400.6,2024-07-15,synthetic
MDA,Moldova,2023,cattle,Stocks,1000 head,120.2,2024-07-15,synthetic
MDA,Moldova,2024,chickens,Stocks,1000 head,4220.3,2025-07-15,synthetic
MDA,Moldova,2024,pigs,Stocks,1000 head,401.9,2025-07-15,synthetic
MDA,Moldova,2024,cattle,Stocks,1000 head,120.6,2025-07-15,synthetic
MDA,Moldova,2025,chickens,Stocks,1000 head,4644.8,2026-07-15,synthetic
MDA,Moldova,2025,pigs,Stocks,1000 head,442.4,2026-07-15,synthetic
MDA,Moldova,2025,cattle,Stocks,1000 head,132.7,2026-07-15,synthetic
RUS,Russian Federation,2020,chickens,Stocks,1000 head,557989.4,2021-07-15,synthetic
RUS,Russian Federation,2020,pigs,Stocks,1000 head,26619.7,2021-07-15,synthetic
RUS,Russian Federation,2020,cattle,Stocks,1000 head,18224.2,2021-07-15,synthetic
RUS,Russian Federation,2021,chickens,Stocks,1000 head,572577.7,2022-07-15,synthetic
RUS,Russian Federation,2021,pigs,Stocks,1000 head,27315.6,2022-07-15,synthetic
RUS,Russian Federation,2021,cattle,Stocks,1000 head,18700.7,2022-07-15,synthetic
RUS,Russian Federation,2022,chickens,Stocks,1000 head,544557.0,2023-07-15,synthetic
RUS,Russian Federation,2022,pigs,Stocks,1000 head,25978.9,2023-07-15,synthetic
RUS,Russian Federation,2022,cattle,Stocks,1000 head,17785.5,2023-07-15,synthetic
RUS,Russian Federation,2023,chickens,Stocks,1000 head,569636.6,2024-07-15,synthetic
RUS,Russian Federation,2023,pigs,Stocks,1000 head,27175.3,2024-07-15,synthetic
RUS,Russian Federation,2023,cattle,Stocks,1000 head,18604.6,2024-07-15,synthetic
RUS,Russian Federation,2024,chickens,Stocks,1000 head,612879.1,2025-07-15,synthetic
RUS,Russian Federation,2024,pigs,Stocks,1000 head,29238.3,2025-07-15,synthetic
RUS,Russian Federation,2024,cattle,Stocks,1000 head,20017.0,2025-07-15,synthetic
RUS,Russian Federation,2025,chickens,Stocks,1000 head,535749.6,2026-07-15,synthetic
RUS,Russian Federation,2025,pigs,Stocks,1000 head,25558.7,2026-07-15,synthetic
RUS,Russian Federation,2025,cattle,Stocks,1000 head,17497.9,2026-07-15,synthetic
TUR,Türkiye,2020,chickens,Stocks,1000 head,376553.2,2021-07-15,synthetic
TUR,Türkiye,2020,pigs,Stocks,1000 head,2.0,2021-07-15,synthetic
TUR,Türkiye,2020,cattle,Stocks,1000 head,16845.8,2021-07-15,synthetic
TUR,Türkiye,2021,chickens,Stocks,1000 head,375736.8,2022-07-15,synthetic
TUR,Türkiye,2021,pigs,Stocks,1000 head,2.0,2022-07-15,synthetic
TUR,Türkiye,2021,cattle,Stocks,1000 head,16809.3,2022-07-15,synthetic
TUR,Türkiye,2022,chickens,Stocks,1000 head,399961.8,2023-07-15,synthetic
TUR,Türkiye,2022,pigs,Stocks,1000 head,2.1,2023-07-15,synthetic
TUR,Türkiye,2022,cattle,Stocks,1000 head,17893.0,2023-07-15,synthetic
TUR,Türkiye,2023,chickens,Stocks,1000 head,372561.1,2024-07-15,synthetic
TUR,Türkiye,2023,pigs,Stocks,1000 head,2.0,2024-07-15,synthetic
TUR,Türkiye,2023,cattle,Stocks,1000 head,16667.2,2024-07-15,synthetic
TUR,Türkiye,2024,chickens,Stocks,1000 head,412911.2,2025-07-15,synthetic
TUR,Türkiye,2024,pigs,Stocks,1000 head,2.2,2025-07-15,synthetic
TUR,Türkiye,2024,cattle,Stocks,1000 head,18472.3,2025-07-15,synthetic
TUR,Türkiye,2025,chickens,Stocks,1000 head,415809.2,2026-07-15,synthetic
TUR,Türkiye,2025,pigs,Stocks,1000 head,2.2,2026-07-15,synthetic
TUR,Türkiye,2025,cattle,Stocks,1000 head,18602.0,2026-07-15,synthetic
GEO,Georgia,2020,chickens,Stocks,1000 head,9006.8,2021-07-15,synthetic
GEO,Georgia,2020,pigs,Stocks,1000 head,170.1,2021-07-15,synthetic
GEO,Georgia,2020,cattle,Stocks,1000 head,880.7,2021-07-15,synthetic
GEO,Georgia,2021,chickens,Stocks,1000 head,8849.7,2022-07-15,synthetic
GEO,Georgia,2021,pigs,Stocks,1000 head,167.2,2022-07-15,synthetic
GEO,Georgia,2021,cattle,Stocks,1000 head,865.3,2022-07-15,synthetic
GEO,Georgia,2022,chickens,Stocks,1000 head,9681.5,2023-07-15,synthetic
GEO,Georgia,2022,pigs,Stocks,1000 head,182.9,2023-07-15,synthetic
GEO,Georgia,2022,cattle,Stocks,1000 head,946.6,2023-07-15,synthetic
GEO,Georgia,2023,chickens,Stocks,1000 head,8999.5,2024-07-15,synthetic
GEO,Georgia,2023,pigs,Stocks,1000 head,170.0,2024-07-15,synthetic
GEO,Georgia,2023,cattle,Stocks,1000 head,880.0,2024-07-15,synthetic
GEO,Georgia,2024,chickens,Stocks,1000 head,9634.1,2025-07-15,synthetic
GEO,Georgia,2024,pigs,Stocks,1000 head,182.0,2025-07-15,synthetic
GEO,Georgia,2024,cattle,Stocks,1000 head,942.0,2025-07-15,synthetic
GEO,Georgia,2025,chickens,Stocks,1000 head,9337.6,2026-07-15,synthetic
GEO,Georgia,2025,pigs,Stocks,1000 head,176.4,2026-07-15,synthetic
GEO,Georgia,2025,cattle,Stocks,1000 head,913.0,2026-07-15,synthetic
ISR,Israel,2020,chickens,Stocks,1000 head,47373.7,2021-07-15,synthetic
ISR,Israel,2020,pigs,Stocks,1000 head,181.4,2021-07-15,synthetic
ISR,Israel,2020,cattle,Stocks,1000 head,473.7,2021-07-15,synthetic
ISR,Israel,2021,chickens,Stocks,1000 head,45269.8,2022-07-15,synthetic
ISR,Israel,2021,pigs,Stocks,1000 head,173.4,2022-07-15,synthetic
ISR,Israel,2021,cattle,Stocks,1000 head,452.7,2022-07-15,synthetic
ISR,Israel,2022,chickens,Stocks,1000 head,49649.5,2023-07-15,synthetic
ISR,Israel,2022,pigs,Stocks,1000 head,190.1,2023-07-15,synthetic
ISR,Israel,2022,cattle,Stocks,1000 head,496.5,2023-07-15,synthetic
ISR,Israel,2023,chickens,Stocks,1000 head,50269.0,2024-07-15,synthetic
ISR,Israel,2023,pigs,Stocks,1000 head,192.5,2024-07-15,synthetic
ISR,Israel,2023,cattle,Stocks,1000 head,502.7,2024-07-15,synthetic
ISR,Israel,2024,chickens,Stocks,1000 head,51494.8,2025-07-15,synthetic
ISR,Israel,2024,pigs,Stocks,1000 head,197.2,2025-07-15,synthetic
ISR,Israel,2024,cattle,Stocks,1000 head,514.9,2025-07-15,synthetic
ISR,Israel,2025,chickens,Stocks,1000 head,50392.8,2026-07-15,synthetic
ISR,Israel,2025,pigs,Stocks,1000 head,193.0,2026-07-15,synthetic
ISR,Israel,2025,cattle,Stocks,1000 head,503.9,2026-07-15,synthetic
EGY,Egypt,2020,chickens,Stocks,1000 head,148728.7,2021-07-15,synthetic
EGY,Egypt,2020,pigs,Stocks,1000 head,30.8,2021-07-15,synthetic
EGY,Egypt,2020,cattle,Stocks,1000 head,4308.0,2021-07-15,synthetic
EGY,Egypt,2021,chickens,Stocks,1000 head,153208.7,2022-07-15,synthetic
EGY,Egypt,2021,pigs,Stocks,1000 head,31.7,2022-07-15,synthetic
EGY,Egypt,2021,cattle,Stocks,1000 head,4437.8,2022-07-15,synthetic
EGY,Egypt,2022,chickens,Stocks,1000 head,162324.1,2023-07-15,synthetic
EGY,Egypt,2022,pigs,Stocks,1000 head,33.6,2023-07-15,synthetic
EGY,Egypt,2022,cattle,Stocks,1000 head,4701.8,2023-07-15,synthetic
EGY,Egypt,2023,chickens,Stocks,1000 head,149768.4,2024-07-15,synthetic
EGY,Egypt,2023,pigs,Stocks,1000 head,31.0,2024-07-15,synthetic
EGY,Egypt,2023,cattle,Stocks,1000 head,4338.1,2024-07-15,synthetic
EGY,Egypt,2024,chickens,Stocks,1000 head,151637.0,2025-07-15,synthetic
EGY,Egypt,2024,pigs,Stocks,1000 head,31.4,2025-07-15,synthetic
EGY,Egypt,2024,cattle,Stocks,1000 head,4392.2,2025-07-15,synthetic
EGY,Egypt,2025,chickens,Stocks,1000 head,160301.9,2026-07-15,synthetic
EGY,Egypt,2025,pigs,Stocks,1000 head,33.2,2026-07-15,synthetic
EGY,Egypt,2025,cattle,Stocks,1000 head,4643.2,2026-07-15,synthetic
TUN,Tunisia,2020,chickens,Stocks,1000 head,35573.1,2021-07-15,synthetic
TUN,Tunisia,2020,pigs,Stocks,1000 head,5.9,2021-07-15,synthetic
TUN,Tunisia,2020,cattle,Stocks,1000 head,632.4,2021-07-15,synthetic
