item_id,board,first_seen_date,iso3,country,disease_code,n_articles_in_cluster,relevance,triage_state,data_realism
EIOS-MOCK-000043,Animal Health,2020-04-09,TUR,Türkiye,HPAI,1,0.061,new,mock
EIOS-MOCK-000044,Animal Health,2020-04-06,EGY,Egypt,HPAI,3,0.585,new,mock
EIOS-MOCK-000045,Animal Health,2020-04-17,SRB,Serbia,HPAI,1,0.286,dismissed,mock
EIOS-MOCK-000046,Animal Health,2020-04-13,MDA,Moldova,HPAI,4,0.707,under_review,mock
EIOS-MOCK-000047,Animal Health,2020-04-23,BEL,Belgium,HPAI,2,0.534,new,mock
EIOS-MOCK-000048,Animal Health,2020-04-26,ITA,Italy,HPAI,6,0.488,under_review,mock
EIOS-MOCK-000049,Animal Health,2020-04-26,POL,Poland,HPAI,3,0.182,under_review,mock
EIOS-MOCK-000050,Animal Health,2020-04-24,EGY,Egypt,HPAI,4,0.358,new,mock
EIOS-MOCK-000051,Animal Health,2020-04-28,DEU,Germany,HPAI,1,0.536,dismissed,mock
EIOS-MOCK-000052,Animal Health,2020-04-28,ESP,Spain,HPAI,3,0.155,dismissed,mock
EIOS-MOCK-000053,Animal Health,2020-04-30,ISR,Israel,HPAI,3,0.565,new,mock
EIOS-MOCK-000054,Animal Health,2020-05-09,BGR,Bulgaria,HPAI,3,0.666,new,mock
EIOS-MOCK-000055,Animal Health,2020-05-05,GEO,Georgia,HPAI,3,0.888,under_review,mock
EIOS-MOCK-000056,Animal Health,2020-05-14,ITA,Italy,HPAI,2,0.633,under_review,mock
EIOS-MOCK-000057,Animal Health,2020-05-13,HUN,Hungary,HPAI,3,0.649,new,mock
EIOS-MOCK-000058,Animal Health,2020-05-16,SRB,Serbia,HPAI,2,0.655,new,mock
EIOS-MOCK-000059,Animal Health,2020-05-13,TUR,Türkiye,HPAI,3,0.46,under_review,mock
EIOS-MOCK-000060,Animal Health,2020-05-15,EGY,Egypt,HPAI,3,0.555,under_review,mock
EIOS-MOCK-000061,Animal Health,2020-05-16,TUN,Tunisia,HPAI,5,0.519,under_review,mock
EIOS-MOCK-000062,Animal Health,2020-05-22,FRA,France,HPAI,3,0.243,dismissed,mock
EIOS-MOCK-000063,Animal Health,2020-05-28,TUR,Türkiye,HPAI,3,0.099,under_review,mock
EIOS-MOCK-000064,Animal Health,2020-05-25,MAR,Morocco,HPAI,5,0.378,under_review,mock
EIOS-MOCK-000065,Animal Health,2020-06-02,TUR,Türkiye,HPAI,5,0.589,dismissed,mock
EIOS-MOCK-000066,Animal Health,2020-06-03,ISR,Israel,HPAI,2,0.584,new,mock
EIOS-MOCK-000067,Animal Health,2020-06-05,TUN,Tunisia,HPAI,6,0.3,under_review,mock
EIOS-MOCK-000068,Animal Health,2020-06-13,ROU,Romania,HPAI,2,0.6,under_review,mock
EIOS-MOCK-000069,Animal Health,2020-06-13,RUS,Russian Federation,HPAI,6,0.34,new,mock
EIOS-MOCK-000070,Animal Health,2020-06-14,TUN,Tunisia,HPAI,4,0.49,under_review,mock
EIOS-MOCK-000071,Animal Health,2020-06-16,SRB,Serbia,HPAI,6,0.566,new,mock
EIOS-MOCK-000072,Animal Health,2020-06-21,UKR,Ukraine,HPAI,5,0.6,new,mock
EIOS-MOCK-000073,Animal Health,2020-06-20,TUN,Tunisia,HPAI,2,0.751,new,mock
EIOS-MOCK-000074,Animal Health,2020-06-23,HUN,Hungary,HPAI,4,0.339,new,mock
EIOS-MOCK-000075,Animal Health,2020-06-22,RUS,Russian Federation,HPAI,4,0.73,new,mock
EIOS-MOCK-000076,Animal Health,2020-07-05,NLD,Netherlands,HPAI,3,0.515,new,mock
EIOS-MOCK-000077,Animal Health,2020-06-30,BEL,Belgium,HPAI,3,0.565,under_review,mock
EIOS-MOCK-000078,Animal Health,2020-06-29,ESP,Spain,HPAI,7,0.318,under_review,mock
EIOS-MOCK-000079,Animal Health,2020-07-04,HUN,Hungary,HPAI,2,0.775,new,mock
EIOS-MOCK-000080,Animal Health,2020-07-02,MAR,Morocco,HPAI,4,0.219,new,mock
EIOS-MOCK-000081,Animal Health,2020-07-10,HUN,Hungary,HPAI,5,0.083,new,mock
EIOS-MOCK-000082,Animal Health,2020-07-07,SRB,Serbia,HPAI,4,0.596,new,mock
EIOS-MOCK-000083,Animal Health,2020-07-18,DEU,Germany,HPAI,5,0.338,new,mock
EIOS-MOCK-000084,Animal Health,2020-07-13,ESP,Spain,HPAI,4,0.942,under_review,mock
EIOS-MOCK-000085,Animal Health,2020-07-17,POL,Poland,HPAI,5,0.578,under_review,mock
EIOS-MOCK-000086,Animal Health,2020-07-26,FRA,France,HPAI,3,0.675,dismissed,mock
EIOS-MOCK-000087,Animal Health,2020-07-26,ESP,Spain,HPAI,3,0.341,dismissed,mock
EIOS-MOCK-000088,Animal Health,2020-07-21,BGR,Bulgaria,HPAI,5,0.602,new,mock
EIOS-MOCK-000089,Animal Health,2020-08-02,BEL,Belgium,HPAI,5,0.272,new,mock
EIOS-MOCK-000090,Animal Health,2020-07-27,ITA,Italy,HPAI,3,0.398,new,mock
EIOS-MOCK-000091,Animal Health,2020-07-31,ESP,Spain,HPAI,6,0.812,dismissed,mock
EIOS-MOCK-000092,Animal Health,2020-08-01,SRB,Serbia,HPAI,5,0.548,dismissed,mock
EIOS-MOCK-000093,Animal Health,2020-08-09,BEL,Belgium,HPAI,3,0.675,under_review,mock
EIOS-MOCK-000094,Animal Health,2020-08-09,ITA,Italy,HPAI,5,0.393,new,mock
EIOS-MOCK-000095,Animal Health,2020-08-09,ESP,Spain,HPAI,4,0.707,dismissed,mock
EIOS-MOCK-000096,Animal Health,2020-08-03,SRB,Serbia,HPAI,2,0.448,under_review,mock
EIOS-MOCK-000097,Animal Health,2020-08-05,TUN,Tunisia,HPAI,7,0.662,dismissed,mock
EIOS-MOCK-000098,Animal Health,2020-08-03,MAR,Morocco,HPAI,2,0.655,under_review,mock
EIOS-MOCK-000099,Animal Health,2020-08-16,NLD,Netherlands,HPAI,2,0.628,new,mock
EIOS-MOCK-000100,Animal Health,2020-08-10,ITA,Italy,HPAI,5,0.607,new,mock
EIOS-MOCK-000101,Animal Health,2020-08-13,BGR,Bulgaria,HPAI,3,0.889,under_review,mock
EIOS-MOCK-000102,Animal Health,2020-08-20,NLD,Netherlands,HPAI,2,0.483,new,mock
EIOS-MOCK-000103,Animal Health,2020-08-18,BEL,Belgium,HPAI,5,0.661,under_review,mock
EIOS-MOCK-000104,Animal Health,2020-08-19,BGR,Bulgaria,HPAI,3,0.385,dismissed,mock
EIOS-MOCK-000105,Animal Health,2020-08-17,SRB,Serbia,HPAI,2,0.241,dismissed,mock
EIOS-MOCK-000106,Animal Health,2020-08-17,EGY,Egypt,HPAI,2,0.35,dismissed,mock
EIOS-MOCK-000107,Animal Health,2020-08-24,MDA,Moldova,HPAI,2,0.305,dismissed,mock
EIOS-MOCK-000108,Animal Health,2020-08-29,RUS,Russian Federation,HPAI,5,0.383,under_review,mock
EIOS-MOCK-000109,Animal Health,2020-08-24,TUN,Tunisia,HPAI,3,0.221,new,mock
EIOS-MOCK-000110,Animal Health,2020-09-01,NLD,Netherlands,HPAI,2,0.526,new,mock
EIOS-MOCK-000111,Animal Health,2020-09-04,POL,Poland,HPAI,2,0.229,under_review,mock
EIOS-MOCK-000112,Animal Health,2020-09-02,HUN,Hungary,HPAI,3,0.232,dismissed,mock
EIOS-MOCK-000113,Animal Health,2020-09-06,MAR,Morocco,HPAI,3,0.429,under_review,mock
EIOS-MOCK-000114,Animal Health,2020-09-08,FRA,France,HPAI,3,0.594,new,mock
EIOS-MOCK-000115,Animal Health,2020-09-10,DEU,Germany,HPAI,2,0.164,new,mock
EIOS-MOCK-000116,Animal Health,2020-09-09,BEL,Belgium,HPAI,3,0.19,new,mock
EIOS-MOCK-000117,Animal Health,2020-09-08,ESP,Spain,HPAI,6,0.883,new,mock
EIOS-MOCK-000118,Animal Health,2020-09-08,RUS,Russian Federation,HPAI,2,0.479,dismissed,mock
EIOS-MOCK-000119,Animal Health,2020-09-17,ESP,Spain,HPAI,1,0.828,under_review,mock
EIOS-MOCK-000120,Animal Health,2020-09-20,POL,Poland,HPAI,7,0.549,new,mock
EIOS-MOCK-000121,Animal Health,2020-09-21,ESP,Spain,HPAI,3,0.811,under_review,mock
EIOS-MOCK-000122,Animal Health,2020-09-27,RUS,Russian Federation,HPAI,5,0.657,dismissed,mock
EIOS-MOCK-000123,Animal Health,2020-09-21,EGY,Egypt,HPAI,2,0.371,under_review,mock
EIOS-MOCK-000124,Animal Health,2020-09-28,ESP,Spain,HPAI,1,0.747,new,mock
EIOS-MOCK-000125,Animal Health,2020-10-01,TUR,Türkiye,HPAI,2,0.37,new,mock
EIOS-MOCK-000126,Animal Health,2020-10-10,POL,Poland,HPAI,3,0.434,dismissed,mock
EIOS-MOCK-000127,Animal Health,2020-10-08,RUS,Russian Federation,HPAI,3,0.674,dismissed,mock
EIOS-MOCK-000128,Animal Health,2020-10-15,FRA,France,HPAI,5,0.507,new,mock
EIOS-MOCK-000129,Animal Health,2020-10-13,POL,Poland,HPAI,5,0.526,under_review,mock
EIOS-MOCK-000130,Animal Health,2020-10-17,EGY,Egypt,HPAI,3,0.919,new,mock
EIOS-MOCK-000131,Animal Health,2020-10-13,TUN,Tunisia,HPAI,3,0.626,new,mock
EIOS-MOCK-000132,Animal Health,2020-10-25,FRA,France,HPAI,4,0.768,new,mock
EIOS-MOCK-000133,Animal Health,2020-10-19,NLD,Netherlands,HPAI,3,0.356,new,mock
EIOS-MOCK-000134,Animal Health,2020-10-22,ITA,Italy,HPAI,1,0.772,dismissed,mock
EIOS-MOCK-000135,Animal Health,2020-10-24,UKR,Ukraine,HPAI,4,0.22,new,mock
EIOS-MOCK-000136,Animal Health,2020-10-23,EGY,Egypt,HPAI,6,0.356,new,mock
EIOS-MOCK-000137,Animal Health,2020-11-02,FRA,France,HPAI,5,0.197,dismissed,mock
EIOS-MOCK-000138,Animal Health,2020-11-03,ESP,Spain,HPAI,6,0.393,dismissed,mock
EIOS-MOCK-000139,Animal Health,2020-11-06,EGY,Egypt,HPAI,2,0.721,new,mock
EIOS-MOCK-000140,Animal Health,2020-11-02,TUN,Tunisia,HPAI,7,0.891,new,mock
EIOS-MOCK-000141,Animal Health,2020-11-10,DEU,Germany,HPAI,2,0.464,new,mock
EIOS-MOCK-000142,Animal Health,2020-11-21,ITA,Italy,HPAI,4,0.481,new,mock
EIOS-MOCK-000143,Animal Health,2020-11-21,POL,Poland,HPAI,3,0.243,under_review,mock
EIOS-MOCK-000144,Animal Health,2020-11-27,BEL,Belgium,HPAI,1,0.648,new,mock
EIOS-MOCK-000145,Animal Health,2020-11-23,MDA,Moldova,HPAI,3,0.288,under_review,mock
EIOS-MOCK-000146,Animal Health,2020-12-03,FRA,France,HPAI,5,0.264,new,mock
EIOS-MOCK-000147,Animal Health,2020-12-04,POL,Poland,HPAI,4,0.42,new,mock
EIOS-MOCK-000148,Animal Health,2020-12-01,ROU,Romania,HPAI,4,0.626,dismissed,mock
EIOS-MOCK-000149,Animal Health,2020-12-04,TUR,Türkiye,HPAI,3,0.831,under_review,mock
EIOS-MOCK-000150,Animal Health,2020-12-06,EGY,Egypt,HPAI,4,0.244,under_review,mock
EIOS-MOCK-000151,Animal Health,2020-12-10,UKR,Ukraine,HPAI,6,0.813,new,mock
EIOS-MOCK-000152,Animal Health,2020-12-19,FRA,France,HPAI,4,0.302,dismissed,mock
EIOS-MOCK-000153,Animal Health,2020-12-15,ESP,Spain,HPAI,2,0.859,under_review,mock
EIOS-MOCK-000154,Animal Health,2020-12-15,HUN,Hungary,HPAI,4,0.659,dismissed,mock
EIOS-MOCK-000155,Animal Health,2020-12-16,BGR,Bulgaria,HPAI,1,0.203,new,mock
EIOS-MOCK-000156,Animal Health,2020-12-15,SRB,Serbia,HPAI,4,0.248,new,mock
EIOS-MOCK-000157,Animal Health,2020-12-14,MDA,Moldova,HPAI,5,0.445,under_review,mock
EIOS-MOCK-000158,Animal Health,2020-12-19,RUS,Russian Federation,HPAI,2,0.502,new,mock
EIOS-MOCK-000159,Animal Health,2020-12-18,TUR,Türkiye,HPAI,2,0.543,dismissed,mock
EIOS-MOCK-000160,Animal Health,2020-12-25,DEU,Germany,HPAI,1,0.807,new,mock
EIOS-MOCK-000161,Animal Health,2020-12-23,NLD,Netherlands,HPAI,4,0.455,under_review,mock
EIOS-MOCK-000162,Animal Health,2020-12-26,BGR,Bulgaria,HPAI,4,0.734,under_review,mock
EIOS-MOCK-000163,Animal Health,2020-12-27,SRB,Serbia,HPAI,2,0.182,new,mock
EIOS-MOCK-000164,Animal Health,2020-12-27,GEO,Georgia,HPAI,2,0.328,new,mock
EIOS-MOCK-000165,Animal Health,2020-12-27,TUN,Tunisia,HPAI,1,0.172,new,mock
EIOS-MOCK-000166,Animal Health,2020-12-29,ESP,Spain,HPAI,6,0.4,under_review,mock
EIOS-MOCK-000167,Animal Health,2020-12-31,HUN,Hungary,HPAI,4,0.86,under_review,mock
EIOS-MOCK-000168,Animal Health,2021-01-01,BGR,Bulgaria,HPAI,9,0.732,new,mock
EIOS-MOCK-000169,Animal Health,2021-01-06,NLD,Netherlands,HPAI,3,0.621,new,mock
EIOS-MOCK-000170,Animal Health,2021-01-16,FRA,France,HPAI,5,0.256,under_review,mock
EIOS-MOCK-000171,Animal Health,2021-01-13,NLD,Netherlands,HPAI,4,0.898,new,mock
EIOS-MOCK-000172,Animal Health,2021-01-14,ITA,Italy,HPAI,3,0.167,new,mock
EIOS-MOCK-000173,Animal Health,2021-01-13,POL,Poland,HPAI,2,0.213,dismissed,mock
EIOS-MOCK-000174,Animal Health,2021-01-12,BGR,Bulgaria,HPAI,3,0.388,under_review,mock
EIOS-MOCK-000175,Animal Health,2021-01-22,DEU,Germany,HPAI,3,0.57,under_review,mock
EIOS-MOCK-000176,Animal Health,2021-01-24,BEL,Belgium,HPAI,4,0.463,new,mock
EIOS-MOCK-000177,Animal Health,2021-01-22,ESP,Spain,HPAI,1,0.564,dismissed,mock
EIOS-MOCK-000178,Animal Health,2021-01-23,BGR,Bulgaria,HPAI,5,0.692,new,mock
EIOS-MOCK-000179,Animal Health,2021-01-25,DEU,Germany,HPAI,5,0.14,under_review,mock
EIOS-MOCK-000180,Animal Health,2021-01-26,NLD,Netherlands,HPAI,1,0.546,new,mock
EIOS-MOCK-000181,Animal Health,2021-01-29,ITA,Italy,HPAI,2,0.525,under_review,mock
EIOS-MOCK-000182,Animal Health,2021-01-29,ISR,Israel,HPAI,4,0.541,under_review,mock
EIOS-MOCK-000183,Animal Health,2021-02-06,DEU,Germany,HPAI,4,0.143,dismissed,mock
EIOS-MOCK-000184,Animal Health,2021-02-06,ROU,Romania,HPAI,3,0.774,dismissed,mock
EIOS-MOCK-000185,Animal Health,2021-02-03,TUR,Türkiye,HPAI,3,0.41,dismissed,mock
EIOS-MOCK-000186,Animal Health,2021-02-04,GEO,Georgia,HPAI,3,0.839,new,mock
EIOS-MOCK-000187,Animal Health,2021-02-06,MAR,Morocco,HPAI,3,0.445,under_review,mock
EIOS-MOCK-000188,Animal Health,2021-02-08,ESP,Spain,HPAI,3,0.694,dismissed,mock
EIOS-MOCK-000189,Animal Health,2021-02-14,TUR,Türkiye,HPAI,3,0.519,under_review,mock
EIOS-MOCK-000190,Animal Health,2021-02-20,GEO,Georgia,HPAI,4,0.544,new,mock
EIOS-MOCK-000191,Animal Health,2021-02-27,FRA,France,HPAI,2,0.359,under_review,mock
EIOS-MOCK-000192,Animal Health,2021-03-04,ITA,Italy,HPAI,2,0.771,under_review,mock
EIOS-MOCK-000193,Animal Health,2021-03-07,ESP,Spain,HPAI,5,0.605,new,mock
EIOS-MOCK-000194,Animal Health,2021-03-04,TUR,Türkiye,HPAI,2,0.581,dismissed,mock
EIOS-MOCK-000195,Animal Health,2021-03-12,GEO,Georgia,HPAI,5,0.365,new,mock
EIOS-MOCK-000196,Animal Health,2021-03-10,MAR,Morocco,HPAI,5,0.215,new,mock
EIOS-MOCK-000197,Animal Health,2021-03-15,SRB,Serbia,HPAI,2,0.274,new,mock
EIOS-MOCK-000198,Animal Health,2021-03-15,MAR,Morocco,HPAI,2,0.184,under_review,mock
EIOS-MOCK-000199,Animal Health,2021-03-25,ITA,Italy,HPAI,6,0.364,new,mock
EIOS-MOCK-000200,Animal Health,2021-03-24,HUN,Hungary,HPAI,3,0.599,new,mock
EIOS-MOCK-000201,Animal Health,2021-03-28,MDA,Moldova,HPAI,3,0.528,dismissed,mock
EIOS-MOCK-000202,Animal Health,2021-03-24,TUR,Türkiye,HPAI,5,0.43,new,mock
EIOS-MOCK-000203,Animal Health,2021-03-31,HUN,Hungary,HPAI,4,0.199,under_review,mock
EIOS-MOCK-000204,Animal Health,2021-04-17,DEU,Germany,HPAI,3,0.582,new,mock
EIOS-MOCK-000205,Animal Health,2021-04-14,POL,Poland,HPAI,3,0.566,under_review,mock
EIOS-MOCK-000206,Animal Health,2021-04-12,EGY,Egypt,HPAI,3,0.773,new,mock
EIOS-MOCK-000207,Animal Health,2021-04-23,ESP,Spain,HPAI,3,0.244,dismissed,mock
EIOS-MOCK-000208,Animal Health,2021-04-19,TUR,Türkiye,HPAI,3,0.457,under_review,mock
EIOS-MOCK-000209,Animal Health,2021-05-03,POL,Poland,HPAI,5,0.811,under_review,mock
EIOS-MOCK-000210,Animal Health,2021-05-06,BGR,Bulgaria,HPAI,4,0.314,new,mock
EIOS-MOCK-000211,Animal Health,2021-05-07,SRB,Serbia,HPAI,3,0.512,new,mock
EIOS-MOCK-000212,Animal Health,2021-05-07,ISR,Israel,HPAI,4,0.264,under_review,mock
EIOS-MOCK-000213,Animal Health,2021-05-15,ROU,Romania,HPAI,4,0.17,under_review,mock
EIOS-MOCK-000214,Animal Health,2021-05-16,TUR,Türkiye,HPAI,5,0.682,new,mock
EIOS-MOCK-000215,Animal Health,2021-05-20,POL,Poland,HPAI,5,0.968,under_review,mock
EIOS-MOCK-000216,Animal Health,2021-05-20,ROU,Romania,HPAI,3,0.274,under_review,mock
EIOS-MOCK-000217,Animal Health,2021-05-25,BEL,Belgium,HPAI,2,0.361,new,mock
EIOS-MOCK-000218,Animal Health,2021-05-26,BGR,Bulgaria,HPAI,1,0.365,new,mock
EIOS-MOCK-000219,Animal Health,2021-06-02,NLD,Netherlands,HPAI,4,0.817,new,mock
EIOS-MOCK-000220,Animal Health,2021-05-31,SRB,Serbia,HPAI,6,0.456,under_review,mock
EIOS-MOCK-000221,Animal Health,2021-06-06,GEO,Georgia,HPAI,3,0.319,new,mock
EIOS-MOCK-000222,Animal Health,2021-06-04,TUN,Tunisia,HPAI,3,0.201,under_review,mock
EIOS-MOCK-000223,Animal Health,2021-06-09,TUN,Tunisia,HPAI,5,0.404,new,mock
EIOS-MOCK-000224,Animal Health,2021-06-11,MAR,Morocco,HPAI,5,0.065,new,mock
EIOS-MOCK-000225,Animal Health,2021-06-22,DEU,Germany,HPAI,3,0.471,new,mock
EIOS-MOCK-000226,Animal Health,2021-06-25,ESP,Spain,HPAI,4,0.373,new,mock
EIOS-MOCK-000227,Animal Health,2021-06-25,ROU,Romania,HPAI,3,0.54,new,mock
EIOS-MOCK-000228,Animal Health,2021-06-26,BGR,Bulgaria,HPAI,6,0.467,new,mock
EIOS-MOCK-000229,Animal Health,2021-06-22,RUS,Russian Federation,HPAI,4,0.721,under_review,mock
EIOS-MOCK-000230,Animal Health,2021-06-23,TUR,Türkiye,HPAI,2,0.608,dismissed,mock
EIOS-MOCK-000231,Animal Health,2021-07-02,ROU,Romania,HPAI,4,0.846,under_review,mock
EIOS-MOCK-000232,Animal Health,2021-07-01,MDA,Moldova,HPAI,3,0.738,under_review,mock
EIOS-MOCK-000233,Animal Health,2021-07-05,NLD,Netherlands,HPAI,3,0.446,dismissed,mock
EIOS-MOCK-000234,Animal Health,2021-07-05,ITA,Italy,HPAI,3,0.554,new,mock
EIOS-MOCK-000235,Animal Health,2021-07-07,BGR,Bulgaria,HPAI,3,0.438,dismissed,mock
EIOS-MOCK-000236,Animal Health,2021-07-09,TUN,Tunisia,HPAI,4,0.532,new,mock
EIOS-MOCK-000237,Animal Health,2021-07-12,ROU,Romania,HPAI,2,0.753,under_review,mock
EIOS-MOCK-000238,Animal Health,2021-07-14,EGY,Egypt,HPAI,5,0.319,new,mock
EIOS-MOCK-000239,Animal Health,2021-07-24,BEL,Belgium,HPAI,2,0.326,new,mock
EIOS-MOCK-000240,Animal Health,2021-07-23,POL,Poland,HPAI,2,0.644,new,mock
EIOS-MOCK-000241,Animal Health,2021-07-22,EGY,Egypt,HPAI,6,0.426,new,mock
EIOS-MOCK-000242,Animal Health,2021-07-24,TUN,Tunisia,HPAI,5,0.388,under_review,mock
EIOS-MOCK-000243,Animal Health,2021-07-31,SRB,Serbia,HPAI,6,0.54,new,mock
EIOS-MOCK-000244,Animal Health,2021-07-31,ISR,Israel,HPAI,4,0.305,new,mock
EIOS-MOCK-000245,Animal Health,2021-07-29,EGY,Egypt,HPAI,1,0.523,under_review,mock
EIOS-MOCK-000246,Animal Health,2021-07-30,MAR,Morocco,HPAI,2,0.166,new,mock
EIOS-MOCK-000247,Animal Health,2021-08-05,ROU,Romania,HPAI,1,0.55,under_review,mock
EIOS-MOCK-000248,Animal Health,2021-08-03,SRB,Serbia,HPAI,4,0.124,new,mock
EIOS-MOCK-000249,Animal Health,2021-08-08,UKR,Ukraine,HPAI,4,0.28,new,mock
EIOS-MOCK-000250,Animal Health,2021-08-03,MDA,Moldova,HPAI,3,0.565,under_review,mock
EIOS-MOCK-000251,Animal Health,2021-08-05,ISR,Israel,HPAI,4,0.308,dismissed,mock
EIOS-MOCK-000252,Animal Health,2021-08-06,TUN,Tunisia,HPAI,4,0.309,dismissed,mock
EIOS-MOCK-000253,Animal Health,2021-08-10,DEU,Germany,HPAI,5,0.783,new,mock
EIOS-MOCK-000254,Animal Health,2021-08-12,RUS,Russian Federation,HPAI,1,0.667,under_review,mock
EIOS-MOCK-000255,Animal Health,2021-08-16,FRA,France,HPAI,2,0.72,new,mock
EIOS-MOCK-000256,Animal Health,2021-08-18,UKR,Ukraine,HPAI,3,0.609,new,mock
EIOS-MOCK-000257,Animal Health,2021-08-18,MDA,Moldova,HPAI,5,0.178,new,mock
EIOS-MOCK-000258,Animal Health,2021-08-20,RUS,Russian Federation,HPAI,4,0.319,under_review,mock
EIOS-MOCK-000259,Animal Health,2021-08-18,ISR,Israel,HPAI,3,0.428,new,mock
EIOS-MOCK-000260,Animal Health,2021-08-27,DEU,Germany,HPAI,1,0.609,dismissed,mock
EIOS-MOCK-000261,Animal Health,2021-08-26,ROU,Romania,HPAI,4,0.186,under_review,mock
EIOS-MOCK-000262,Animal Health,2021-08-26,BGR,Bulgaria,HPAI,2,0.445,under_review,mock
EIOS-MOCK-000263,Animal Health,2021-08-27,SRB,Serbia,HPAI,3,0.796,new,mock
EIOS-MOCK-000264,Animal Health,2021-08-29,ISR,Israel,HPAI,7,0.333,dismissed,mock
EIOS-MOCK-000265,Animal Health,2021-08-24,MAR,Morocco,HPAI,1,0.554,under_review,mock
EIOS-MOCK-000266,Animal Health,2021-09-03,FRA,France,HPAI,4,0.633,new,mock
