post_id,archive_number,published_date,iso3,country,disease_code,subject,curator_comment_present,confidence,data_realism
PROMED-000043,2024000043.0043,2020-05-21,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",True,unverified,synthetic
PROMED-000044,2024000044.0044,2020-05-14,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",False,suspected,synthetic
PROMED-000045,2024000045.0045,2020-05-28,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,confirmed,synthetic
PROMED-000046,2024000046.0046,2020-06-03,MDA,Moldova,HPAI,"[SYNTHETIC] HPAI, animal - Moldova",True,unverified,synthetic
PROMED-000047,2024000047.0047,2020-06-10,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",True,suspected,synthetic
PROMED-000048,2024000048.0048,2020-10-04,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",False,suspected,synthetic
PROMED-000049,2024000049.0049,2020-10-22,HUN,Hungary,HPAI,"[SYNTHETIC] HPAI, animal - Hungary",True,confirmed,synthetic
PROMED-000050,2024000050.0050,2020-10-27,POL,Poland,HPAI,"[SYNTHETIC] HPAI, animal - Poland",True,confirmed,synthetic
PROMED-000051,2024000051.0051,2020-11-13,POL,Poland,HPAI,"[SYNTHETIC] HPAI, animal - Poland",True,suspected,synthetic
PROMED-000052,2024000052.0052,2020-11-09,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",True,unverified,synthetic
PROMED-000053,2024000053.0053,2020-11-12,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,unverified,synthetic
PROMED-000054,2024000054.0054,2020-11-12,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",True,suspected,synthetic
PROMED-000055,2024000055.0055,2020-11-23,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",False,confirmed,synthetic
PROMED-000056,2024000056.0056,2020-11-23,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",True,suspected,synthetic
PROMED-000057,2024000057.0057,2020-11-30,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",True,unverified,synthetic
PROMED-000058,2024000058.0058,2020-12-02,HUN,Hungary,HPAI,"[SYNTHETIC] HPAI, animal - Hungary",True,suspected,synthetic
PROMED-000059,2024000059.0059,2020-12-02,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",False,confirmed,synthetic
PROMED-000060,2024000060.0060,2020-12-05,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",False,suspected,synthetic
PROMED-000061,2024000061.0061,2020-12-06,POL,Poland,HPAI,"[SYNTHETIC] HPAI, animal - Poland",False,confirmed,synthetic
PROMED-000062,2024000062.0062,2020-12-02,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",False,confirmed,synthetic
PROMED-000063,2024000063.0063,2020-12-11,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",True,unverified,synthetic
PROMED-000064,2024000064.0064,2020-12-09,MDA,Moldova,HPAI,"[SYNTHETIC] HPAI, animal - Moldova",True,confirmed,synthetic
PROMED-000065,2024000065.0065,2020-12-04,ISR,Israel,HPAI,"[SYNTHETIC] HPAI, animal - Israel",True,suspected,synthetic
PROMED-000066,2024000066.0066,2020-12-10,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,confirmed,synthetic
PROMED-000067,2024000067.0067,2020-12-16,DEU,Germany,HPAI,"[SYNTHETIC] HPAI, animal - Germany",False,confirmed,synthetic
PROMED-000068,2024000068.0068,2020-12-12,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",True,confirmed,synthetic
PROMED-000069,2024000069.0069,2020-12-16,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",False,unverified,synthetic
PROMED-000070,2024000070.0070,2020-12-14,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",True,unverified,synthetic
PROMED-000071,2024000071.0071,2020-12-09,POL,Poland,HPAI,"[SYNTHETIC] HPAI, animal - Poland",False,suspected,synthetic
PROMED-000072,2024000072.0072,2020-12-16,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",False,unverified,synthetic
PROMED-000073,2024000073.0073,2020-12-11,SRB,Serbia,HPAI,"[SYNTHETIC] HPAI, animal - Serbia",True,suspected,synthetic
PROMED-000074,2024000074.0074,2020-12-12,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",True,unverified,synthetic
PROMED-000075,2024000075.0075,2020-12-14,EGY,Egypt,HPAI,"[SYNTHETIC] HPAI, animal - Egypt",True,suspected,synthetic
PROMED-000076,2024000076.0076,2020-12-25,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,confirmed,synthetic
PROMED-000077,2024000077.0077,2020-12-25,DEU,Germany,HPAI,"[SYNTHETIC] HPAI, animal - Germany",True,confirmed,synthetic
PROMED-000078,2024000078.0078,2020-12-25,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",True,unverified,synthetic
PROMED-000079,2024000079.0079,2020-12-25,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",True,confirmed,synthetic
PROMED-000080,2024000080.0080,2020-12-20,ITA,Italy,HPAI,"[SYNTHETIC] HPAI, animal - Italy",False,unverified,synthetic
PROMED-000081,2024000081.0081,2020-12-16,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",True,unverified,synthetic
PROMED-000082,2024000082.0082,2020-12-21,SRB,Serbia,HPAI,"[SYNTHETIC] HPAI, animal - Serbia",False,confirmed,synthetic
PROMED-000083,2024000083.0083,2020-12-22,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",True,confirmed,synthetic
PROMED-000084,2024000084.0084,2020-12-27,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,unverified,synthetic
PROMED-000085,2024000085.0085,2020-12-23,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",True,suspected,synthetic
PROMED-000086,2024000086.0086,2020-12-30,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",True,confirmed,synthetic
PROMED-000087,2024000087.0087,2020-12-26,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",True,suspected,synthetic
PROMED-000088,2024000088.0088,2020-12-23,MAR,Morocco,HPAI,"[SYNTHETIC] HPAI, animal - Morocco",True,suspected,synthetic
PROMED-000089,2024000089.0089,2020-12-30,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,confirmed,synthetic
PROMED-000090,2024000090.0090,2020-12-31,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",True,suspected,synthetic
PROMED-000091,2024000091.0091,2021-01-02,ITA,Italy,HPAI,"[SYNTHETIC] HPAI, animal - Italy",True,confirmed,synthetic
PROMED-000092,2024000092.0092,2021-01-07,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",True,unverified,synthetic
PROMED-000093,2024000093.0093,2021-01-02,HUN,Hungary,HPAI,"[SYNTHETIC] HPAI, animal - Hungary",True,unverified,synthetic
PROMED-000094,2024000094.0094,2021-01-03,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",False,suspected,synthetic
PROMED-000095,2024000095.0095,2021-01-02,BGR,Bulgaria,HPAI,"[SYNTHETIC] HPAI, animal - Bulgaria",False,suspected,synthetic
PROMED-000096,2024000096.0096,2021-01-03,SRB,Serbia,HPAI,"[SYNTHETIC] HPAI, animal - Serbia",True,suspected,synthetic
PROMED-000097,2024000097.0097,2020-12-30,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",True,confirmed,synthetic
PROMED-000098,2024000098.0098,2021-01-05,MAR,Morocco,HPAI,"[SYNTHETIC] HPAI, animal - Morocco",True,confirmed,synthetic
PROMED-000099,2024000099.0099,2021-01-14,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,unverified,synthetic
PROMED-000100,2024000100.0100,2021-01-09,ITA,Italy,HPAI,"[SYNTHETIC] HPAI, animal - Italy",False,confirmed,synthetic
PROMED-000101,2024000101.0101,2021-01-15,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",True,suspected,synthetic
PROMED-000102,2024000102.0102,2021-01-07,SRB,Serbia,HPAI,"[SYNTHETIC] HPAI, animal - Serbia",True,suspected,synthetic
PROMED-000103,2024000103.0103,2021-01-13,MDA,Moldova,HPAI,"[SYNTHETIC] HPAI, animal - Moldova",False,suspected,synthetic
PROMED-000104,2024000104.0104,2021-01-13,TUR,Türkiye,HPAI,"[SYNTHETIC] HPAI, animal - Türkiye",True,suspected,synthetic
PROMED-000105,2024000105.0105,2021-01-13,TUN,Tunisia,HPAI,"[SYNTHETIC] HPAI, animal - Tunisia",True,unverified,synthetic
PROMED-000106,2024000106.0106,2021-01-19,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,confirmed,synthetic
PROMED-000107,2024000107.0107,2021-01-19,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",True,confirmed,synthetic
PROMED-000108,2024000108.0108,2021-01-18,SRB,Serbia,HPAI,"[SYNTHETIC] HPAI, animal - Serbia",False,unverified,synthetic
PROMED-000109,2024000109.0109,2021-01-21,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",True,unverified,synthetic
PROMED-000110,2024000110.0110,2021-01-17,ISR,Israel,HPAI,"[SYNTHETIC] HPAI, animal - Israel",False,suspected,synthetic
PROMED-000111,2024000111.0111,2021-01-15,EGY,Egypt,HPAI,"[SYNTHETIC] HPAI, animal - Egypt",False,suspected,synthetic
PROMED-000112,2024000112.0112,2021-01-22,TUN,Tunisia,HPAI,"[SYNTHETIC] HPAI, animal - Tunisia",False,unverified,synthetic
PROMED-000113,2024000113.0113,2021-01-26,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",False,confirmed,synthetic
PROMED-000114,2024000114.0114,2021-01-22,MAR,Morocco,HPAI,"[SYNTHETIC] HPAI, animal - Morocco",True,suspected,synthetic
PROMED-000115,2024000115.0115,2021-02-05,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",False,unverified,synthetic
PROMED-000116,2024000116.0116,2021-02-04,RUS,Russian Federation,HPAI,"[SYNTHETIC] HPAI, animal - Russian Federation",False,suspected,synthetic
PROMED-000117,2024000117.0117,2021-02-02,TUR,Türkiye,HPAI,"[SYNTHETIC] HPAI, animal - Türkiye",True,suspected,synthetic
PROMED-000118,2024000118.0118,2021-02-07,TUR,Türkiye,HPAI,"[SYNTHETIC] HPAI, animal - Türkiye",False,suspected,synthetic
PROMED-000119,2024000119.0119,2021-02-07,MAR,Morocco,HPAI,"[SYNTHETIC] HPAI, animal - Morocco",True,unverified,synthetic
PROMED-000120,2024000120.0120,2021-02-14,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",False,confirmed,synthetic
PROMED-000121,2024000121.0121,2021-02-16,TUN,Tunisia,HPAI,"[SYNTHETIC] HPAI, animal - Tunisia",True,suspected,synthetic
PROMED-000122,2024000122.0122,2021-02-23,RUS,Russian Federation,HPAI,"[SYNTHETIC] HPAI, animal - Russian Federation",True,unverified,synthetic
PROMED-000123,2024000123.0123,2021-03-03,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",False,unverified,synthetic
PROMED-000124,2024000124.0124,2021-04-16,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,suspected,synthetic
PROMED-000125,2024000125.0125,2021-04-14,TUR,Türkiye,HPAI,"[SYNTHETIC] HPAI, animal - Türkiye",False,confirmed,synthetic
PROMED-000126,2024000126.0126,2021-05-09,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",True,confirmed,synthetic
PROMED-000127,2024000127.0127,2021-06-02,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",True,suspected,synthetic
PROMED-000128,2024000128.0128,2021-10-11,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",True,confirmed,synthetic
PROMED-000129,2024000129.0129,2021-10-13,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",True,suspected,synthetic
PROMED-000130,2024000130.0130,2021-10-25,RUS,Russian Federation,HPAI,"[SYNTHETIC] HPAI, animal - Russian Federation",False,confirmed,synthetic
PROMED-000131,2024000131.0131,2021-11-05,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,suspected,synthetic
PROMED-000132,2024000132.0132,2021-10-30,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",True,confirmed,synthetic
PROMED-000133,2024000133.0133,2021-11-14,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",True,confirmed,synthetic
PROMED-000134,2024000134.0134,2021-11-14,POL,Poland,HPAI,"[SYNTHETIC] HPAI, animal - Poland",True,suspected,synthetic
PROMED-000135,2024000135.0135,2021-11-19,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",True,confirmed,synthetic
PROMED-000136,2024000136.0136,2021-11-18,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",False,suspected,synthetic
PROMED-000137,2024000137.0137,2021-11-12,RUS,Russian Federation,HPAI,"[SYNTHETIC] HPAI, animal - Russian Federation",True,confirmed,synthetic
PROMED-000138,2024000138.0138,2021-11-17,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",True,confirmed,synthetic
PROMED-000139,2024000139.0139,2021-11-19,HUN,Hungary,HPAI,"[SYNTHETIC] HPAI, animal - Hungary",False,confirmed,synthetic
PROMED-000140,2024000140.0140,2021-11-17,MDA,Moldova,HPAI,"[SYNTHETIC] HPAI, animal - Moldova",True,confirmed,synthetic
PROMED-000141,2024000141.0141,2021-11-17,RUS,Russian Federation,HPAI,"[SYNTHETIC] HPAI, animal - Russian Federation",True,suspected,synthetic
PROMED-000142,2024000142.0142,2021-11-19,TUR,Türkiye,HPAI,"[SYNTHETIC] HPAI, animal - Türkiye",False,confirmed,synthetic
PROMED-000143,2024000143.0143,2021-12-02,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,confirmed,synthetic
PROMED-000144,2024000144.0144,2021-11-26,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",True,suspected,synthetic
PROMED-000145,2024000145.0145,2021-11-27,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",False,confirmed,synthetic
PROMED-000146,2024000146.0146,2021-11-27,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",False,suspected,synthetic
PROMED-000147,2024000147.0147,2021-11-30,RUS,Russian Federation,HPAI,"[SYNTHETIC] HPAI, animal - Russian Federation",True,suspected,synthetic
PROMED-000148,2024000148.0148,2021-12-10,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,suspected,synthetic
PROMED-000149,2024000149.0149,2021-12-01,DEU,Germany,HPAI,"[SYNTHETIC] HPAI, animal - Germany",False,suspected,synthetic
PROMED-000150,2024000150.0150,2021-12-09,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",False,suspected,synthetic
PROMED-000151,2024000151.0151,2021-12-05,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",False,suspected,synthetic
PROMED-000152,2024000152.0152,2021-12-06,BGR,Bulgaria,HPAI,"[SYNTHETIC] HPAI, animal - Bulgaria",True,confirmed,synthetic
PROMED-000153,2024000153.0153,2021-12-01,RUS,Russian Federation,HPAI,"[SYNTHETIC] HPAI, animal - Russian Federation",True,suspected,synthetic
PROMED-000154,2024000154.0154,2021-12-15,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",False,suspected,synthetic
PROMED-000155,2024000155.0155,2021-12-17,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",True,confirmed,synthetic
PROMED-000156,2024000156.0156,2021-12-09,ITA,Italy,HPAI,"[SYNTHETIC] HPAI, animal - Italy",True,unverified,synthetic
PROMED-000157,2024000157.0157,2021-12-17,HUN,Hungary,HPAI,"[SYNTHETIC] HPAI, animal - Hungary",True,suspected,synthetic
PROMED-000158,2024000158.0158,2021-12-22,DEU,Germany,HPAI,"[SYNTHETIC] HPAI, animal - Germany",True,unverified,synthetic
PROMED-000159,2024000159.0159,2021-12-19,NLD,Netherlands,HPAI,"[SYNTHETIC] HPAI, animal - Netherlands",True,unverified,synthetic
PROMED-000160,2024000160.0160,2021-12-23,BEL,Belgium,HPAI,"[SYNTHETIC] HPAI, animal - Belgium",False,suspected,synthetic
PROMED-000161,2024000161.0161,2021-12-21,ITA,Italy,HPAI,"[SYNTHETIC] HPAI, animal - Italy",True,suspected,synthetic
PROMED-000162,2024000162.0162,2021-12-18,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",True,confirmed,synthetic
PROMED-000163,2024000163.0163,2021-12-20,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",False,confirmed,synthetic
PROMED-000164,2024000164.0164,2021-12-17,BGR,Bulgaria,HPAI,"[SYNTHETIC] HPAI, animal - Bulgaria",False,confirmed,synthetic
PROMED-000165,2024000165.0165,2021-12-24,SRB,Serbia,HPAI,"[SYNTHETIC] HPAI, animal - Serbia",True,confirmed,synthetic
PROMED-000166,2024000166.0166,2021-12-24,RUS,Russian Federation,HPAI,"[SYNTHETIC] HPAI, animal - Russian Federation",True,suspected,synthetic
PROMED-000167,2024000167.0167,2021-12-15,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",True,suspected,synthetic
PROMED-000168,2024000168.0168,2021-12-22,DEU,Germany,HPAI,"[SYNTHETIC] HPAI, animal - Germany",True,unverified,synthetic
PROMED-000169,2024000169.0169,2021-12-30,POL,Poland,HPAI,"[SYNTHETIC] HPAI, animal - Poland",False,unverified,synthetic
PROMED-000170,2024000170.0170,2021-12-27,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",False,unverified,synthetic
PROMED-000171,2024000171.0171,2021-12-27,BGR,Bulgaria,HPAI,"[SYNTHETIC] HPAI, animal - Bulgaria",True,confirmed,synthetic
PROMED-000172,2024000172.0172,2021-12-29,DEU,Germany,HPAI,"[SYNTHETIC] HPAI, animal - Germany",True,confirmed,synthetic
PROMED-000173,2024000173.0173,2022-01-07,ITA,Italy,HPAI,"[SYNTHETIC] HPAI, animal - Italy",True,suspected,synthetic
PROMED-000174,2024000174.0174,2022-01-05,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",True,confirmed,synthetic
PROMED-000175,2024000175.0175,2021-12-30,MDA,Moldova,HPAI,"[SYNTHETIC] HPAI, animal - Moldova",False,unverified,synthetic
PROMED-000176,2024000176.0176,2021-12-29,TUR,Türkiye,HPAI,"[SYNTHETIC] HPAI, animal - Türkiye",True,confirmed,synthetic
PROMED-000177,2024000177.0177,2022-01-14,ESP,Spain,HPAI,"[SYNTHETIC] HPAI, animal - Spain",True,confirmed,synthetic
PROMED-000178,2024000178.0178,2022-01-12,ROU,Romania,HPAI,"[SYNTHETIC] HPAI, animal - Romania",True,suspected,synthetic
PROMED-000179,2024000179.0179,2022-01-11,BGR,Bulgaria,HPAI,"[SYNTHETIC] HPAI, animal - Bulgaria",True,suspected,synthetic
PROMED-000180,2024000180.0180,2022-01-11,TUR,Türkiye,HPAI,"[SYNTHETIC] HPAI, animal - Türkiye",True,confirmed,synthetic
PROMED-000181,2024000181.0181,2022-01-12,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",False,confirmed,synthetic
PROMED-000182,2024000182.0182,2022-01-15,ITA,Italy,HPAI,"[SYNTHETIC] HPAI, animal - Italy",False,suspected,synthetic
PROMED-000183,2024000183.0183,2022-01-19,SRB,Serbia,HPAI,"[SYNTHETIC] HPAI, animal - Serbia",False,suspected,synthetic
PROMED-000184,2024000184.0184,2022-01-13,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",True,confirmed,synthetic
PROMED-000185,2024000185.0185,2022-01-18,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",False,confirmed,synthetic
PROMED-000186,2024000186.0186,2022-01-26,TUR,Türkiye,HPAI,"[SYNTHETIC] HPAI, animal - Türkiye",True,suspected,synthetic
PROMED-000187,2024000187.0187,2022-01-24,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",False,suspected,synthetic
PROMED-000188,2024000188.0188,2022-01-20,TUN,Tunisia,HPAI,"[SYNTHETIC] HPAI, animal - Tunisia",True,unverified,synthetic
PROMED-000189,2024000189.0189,2022-01-29,SRB,Serbia,HPAI,"[SYNTHETIC] HPAI, animal - Serbia",True,suspected,synthetic
PROMED-000190,2024000190.0190,2022-01-31,GEO,Georgia,HPAI,"[SYNTHETIC] HPAI, animal - Georgia",True,unverified,synthetic
PROMED-000191,2024000191.0191,2022-02-03,FRA,France,HPAI,"[SYNTHETIC] HPAI, animal - France",True,suspected,synthetic
PROMED-000192,2024000192.0192,2022-02-07,UKR,Ukraine,HPAI,"[SYNTHETIC] HPAI, animal - Ukraine",False,unverified,synthetic
PROMED-000193,2024000193.0193,2022-02-16,MDA,Moldova,HPAI,"[SYNTHETIC] HPAI, animal - Moldova",False,confirmed,synthetic
