event_id,outbreak_id,report_type,report_number,disease,disease_code,serotype,country,iso3,admin1,locality,latitude,longitude,location_precision,start_date,date_of_suspicion,date_of_confirmation,date_of_notification,date_of_publication,event_status,diagnosis,species,host_category,is_wild,outbreaks,susceptible,cases,deaths,killed_and_disposed,is_first_occurrence,control_measures,data_realism
WAHIS-HPAI-ISR-2020-02-03,WAHIS-HPAI-ISR-2020-02-03-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Israel,ISR,ISR-R8,Israel locality 16,32.004,34.7936,point,2020-02-08,2020-02-14,2020-02-19,2020-02-21,2020-02-26,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,9549,1430,779,1971,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-01-20,WAHIS-HPAI-ITA-2020-01-20-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R9,Italy locality 8,43.96,15.3786,point,2020-01-24,2020-02-04,2020-02-09,2020-02-24,2020-02-26,resolved,laboratory_confirmed,Gallus gallus (domestic),domestic,False,1,11548,2823,1512,3795,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ISR-2020-01-13,WAHIS-HPAI-ISR-2020-01-13-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Israel,ISR,ISR-R7,Israel locality 6,31.0349,34.3162,point,2020-01-17,2020-01-31,2020-02-17,2020-02-23,2020-02-29,resolved,laboratory_confirmed,Gallus gallus (domestic),domestic,False,1,17833,2447,1354,3302,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ISR-2020-02-10,WAHIS-HPAI-ISR-2020-02-10-01,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Israel,ISR,ISR-R2,Israel locality 19,31.3368,35.0688,point,2020-02-15,2020-02-26,2020-02-27,2020-02-28,2020-03-02,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,1973,677,381,908,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ESP-2020-02-17,WAHIS-HPAI-ESP-2020-02-17-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Spain,ESP,ESP-R3,Spain locality 20,38.4351,-6.2993,point,2020-02-20,2020-02-28,2020-02-29,2020-03-02,2020-03-03,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,39887,9202,5005,12366,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-02-24,WAHIS-HPAI-ITA-2020-02-24-01,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R5,Italy locality 22,43.4971,10.7626,point,2020-02-25,2020-03-03,2020-03-04,2020-03-06,2020-03-10,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,39266,5139,2807,6919,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-BEL-2020-03-02,WAHIS-HPAI-BEL-2020-03-02-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Belgium,BEL,BEL-R9,Belgium locality 26,50.2101,5.2761,point,2020-03-04,2020-03-06,2020-03-07,2020-03-08,2020-03-12,resolved,laboratory_confirmed,Gallus gallus (domestic),domestic,False,1,7743,1123,581,1558,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-HUN-2020-03-02,WAHIS-HPAI-HUN-2020-03-02-01,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Hungary,HUN,HUN-R4,Hungary locality 30,47.2365,17.4886,point,2020-03-05,2020-03-07,2020-03-10,2020-03-11,2020-03-13,resolved,laboratory_confirmed,Meleagris gallopavo (domestic),domestic,False,1,5412,2571,1416,3453,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-02-24,WAHIS-HPAI-ITA-2020-02-24-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R4,Italy locality 21,44.736,14.3164,point,2020-02-27,2020-03-04,2020-03-07,2020-03-12,2020-03-13,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,3840,943,518,1291,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-BGR-2020-02-24,WAHIS-HPAI-BGR-2020-02-24-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Bulgaria,BGR,BGR-R7,Bulgaria locality 24,42.9446,23.9093,point,2020-02-28,2020-03-06,2020-03-08,2020-03-11,2020-03-14,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,7976,2901,1649,3881,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-03-02,WAHIS-HPAI-ITA-2020-03-02-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R1,Italy locality 27,42.9725,14.4552,point,2020-03-03,2020-03-06,2020-03-09,2020-03-10,2020-03-14,resolved,laboratory_confirmed,Meleagris gallopavo (domestic),domestic,False,1,6149,2408,1302,3236,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-SRB-2020-02-24,WAHIS-HPAI-SRB-2020-02-24-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Serbia,SRB,SRB-R8,Serbia locality 25,45.2282,21.7843,point,2020-02-29,2020-03-08,2020-03-11,2020-03-17,2020-03-20,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,19530,2350,1303,3154,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-FRA-2020-03-09,WAHIS-HPAI-FRA-2020-03-09-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,France,FRA,FRA-R6,France locality 32,47.7521,2.529,point,2020-03-10,2020-03-12,2020-03-13,2020-03-20,2020-03-23,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,9175,1497,827,1991,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-03-16,WAHIS-HPAI-ITA-2020-03-16-01,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R4,Italy locality 39,44.9956,14.0426,point,2020-03-16,2020-03-18,2020-03-20,2020-03-22,2020-03-23,resolved,laboratory_confirmed,Meleagris gallopavo (domestic),domestic,False,1,45812,5398,2997,7264,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-DEU-2020-03-09,WAHIS-HPAI-DEU-2020-03-09-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Germany,DEU,DEU-R7,Germany locality 33,48.8797,13.0702,point,2020-03-13,2020-03-18,2020-03-22,2020-03-23,2020-03-24,resolved,laboratory_confirmed,Meleagris gallopavo (domestic),domestic,False,1,16914,4595,2504,6125,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-03-09,WAHIS-HPAI-ITA-2020-03-09-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R8,Italy locality 34,42.4572,15.2509,point,2020-03-12,2020-03-16,2020-03-19,2020-03-22,2020-03-24,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,5357,887,503,1201,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-TUR-2020-03-02,WAHIS-HPAI-TUR-2020-03-02-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Türkiye,TUR,TUR-R5,Türkiye locality 31,41.3334,30.3145,point,2020-03-08,2020-03-15,2020-03-18,2020-03-21,2020-03-24,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,698,413,251,554,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ESP-2020-03-16,WAHIS-HPAI-ESP-2020-03-16-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Spain,ESP,ESP-R6,Spain locality 41,42.905,-5.4641,point,2020-03-19,2020-03-21,2020-03-22,2020-03-24,2020-03-27,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,27048,3569,1958,4773,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-HUN-2020-02-24,WAHIS-HPAI-HUN-2020-02-24-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Hungary,HUN,HUN-R6,Hungary locality 23,47.0487,18.9099,point,2020-03-01,2020-03-08,2020-03-15,2020-03-21,2020-03-28,resolved,laboratory_confirmed,Gallus gallus (domestic),domestic,False,1,20436,9406,5176,12733,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-HUN-2020-03-23,WAHIS-HPAI-HUN-2020-03-23-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Hungary,HUN,HUN-R5,Hungary locality 49,45.7968,19.2996,point,2020-03-23,2020-03-24,2020-03-26,2020-03-29,2020-03-30,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,24965,3847,2102,5222,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-03-16,WAHIS-HPAI-ITA-2020-03-16-02,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R5,Italy locality 40,41.8867,10.2016,point,2020-03-16,2020-03-23,2020-03-26,2020-03-27,2020-03-30,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,61994,7244,3914,9840,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-DEU-2020-03-16,WAHIS-HPAI-DEU-2020-03-16-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Germany,DEU,DEU-R2,Germany locality 37,52.4565,12.6432,point,2020-03-18,2020-03-24,2020-03-26,2020-03-27,2020-04-01,resolved,laboratory_confirmed,Gallus gallus (domestic),domestic,False,1,24381,3862,2138,5214,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-03-02,WAHIS-HPAI-ITA-2020-03-02-01,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R2,Italy locality 28,43.6779,10.9569,point,2020-03-08,2020-03-20,2020-03-23,2020-03-30,2020-04-01,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,18904,2312,1257,3140,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-MAR-2020-03-09,WAHIS-HPAI-MAR-2020-03-09-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Morocco,MAR,MAR-R1,Morocco locality 36,29.3103,-7.1412,point,2020-03-13,2020-03-21,2020-03-26,2020-03-28,2020-04-01,resolved,laboratory_confirmed,Gallus gallus (domestic),domestic,False,1,27400,3718,2028,4974,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ITA-2020-03-16,WAHIS-HPAI-ITA-2020-03-16-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Italy,ITA,ITA-R3,Italy locality 38,42.5967,11.0024,point,2020-03-22,2020-03-28,2020-03-28,2020-04-01,2020-04-03,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,12171,3054,1690,4160,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-SRB-2020-03-23,WAHIS-HPAI-SRB-2020-03-23-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Serbia,SRB,SRB-R7,Serbia locality 51,43.2168,21.5125,point,2020-03-24,2020-03-25,2020-03-26,2020-03-29,2020-04-03,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,8289,2662,1417,3606,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-HUN-2020-03-02,WAHIS-HPAI-HUN-2020-03-02-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Hungary,HUN,HUN-R3,Hungary locality 29,46.9304,18.0301,point,2020-03-02,2020-03-21,2020-03-27,2020-04-01,2020-04-04,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,20462,4492,2461,6132,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-SRB-2020-03-16,WAHIS-HPAI-SRB-2020-03-16-02,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Serbia,SRB,SRB-R9,Serbia locality 44,44.6014,19.7305,point,2020-03-19,2020-03-27,2020-03-30,2020-04-03,2020-04-04,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,2995,862,480,1164,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-POL-2020-03-30,WAHIS-HPAI-POL-2020-03-30-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Poland,POL,POL-R3,Poland locality 56,50.3091,20.5231,point,2020-03-30,2020-04-06,2020-04-07,2020-04-08,2020-04-09,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,1622,1103,633,1515,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-TUN-2020-03-16,WAHIS-HPAI-TUN-2020-03-16-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Tunisia,TUN,TUN-R1,Tunisia locality 45,34.1636,11.5217,point,2020-03-19,2020-03-25,2020-03-30,2020-04-08,2020-04-09,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,5632,924,514,1255,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-BEL-2020-03-23,WAHIS-HPAI-BEL-2020-03-23-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Belgium,BEL,BEL-R4,Belgium locality 48,50.0961,4.5479,point,2020-03-25,2020-04-03,2020-04-04,2020-04-07,2020-04-10,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,15445,2644,1493,3527,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-DEU-2020-03-23,WAHIS-HPAI-DEU-2020-03-23-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Germany,DEU,DEU-R3,Germany locality 47,50.6577,11.9572,point,2020-03-25,2020-03-29,2020-04-04,2020-04-09,2020-04-10,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,14706,3553,1914,4829,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-FRA-2020-03-23,WAHIS-HPAI-FRA-2020-03-23-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,France,FRA,FRA-R2,France locality 46,50.2521,2.8872,point,2020-03-27,2020-04-05,2020-04-06,2020-04-08,2020-04-11,resolved,laboratory_confirmed,Meleagris gallopavo (domestic),domestic,False,1,30735,3514,1922,4763,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-NLD-2020-04-06,WAHIS-HPAI-NLD-2020-04-06-01,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Netherlands,NLD,NLD-R6,Netherlands locality 68,52.866,5.1653,point,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-12,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,15458,2661,1504,3611,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-ROU-2020-03-23,WAHIS-HPAI-ROU-2020-03-23-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Romania,ROU,ROU-R6,Romania locality 50,46.2394,24.7457,point,2020-03-25,2020-03-29,2020-04-07,2020-04-09,2020-04-12,resolved,laboratory_confirmed,Anas platyrhynchos (domestic),domestic,False,1,61166,12356,6816,16708,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-SRB-2020-03-23,WAHIS-HPAI-SRB-2020-03-23-01,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Serbia,SRB,SRB-R8,Serbia locality 52,44.7814,22.5878,point,2020-03-27,2020-03-29,2020-04-01,2020-04-12,2020-04-13,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,43378,8081,4480,10863,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-SRB-2020-03-16,WAHIS-HPAI-SRB-2020-03-16-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Serbia,SRB,SRB-R7,Serbia locality 42,44.8344,21.0398,point,2020-03-17,2020-03-29,2020-03-31,2020-04-11,2020-04-14,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,22202,2870,1578,3876,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-POL-2020-04-06,WAHIS-ASF-POL-2020-04-06-00,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Poland,POL,POL-R2,Poland locality 1,51.1425,23.4386,point,2020-04-06,2020-04-07,2020-04-08,2020-04-12,2020-04-17,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,4,3,3,4,True,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-BEL-2020-04-06,WAHIS-HPAI-BEL-2020-04-06-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Belgium,BEL,BEL-R7,Belgium locality 69,50.2184,5.4732,point,2020-04-08,2020-04-11,2020-04-12,2020-04-15,2020-04-17,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,44810,7609,4209,10314,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-BEL-2020-04-06,WAHIS-HPAI-BEL-2020-04-06-01,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Belgium,BEL,BEL-R8,Belgium locality 70,50.0798,5.3353,point,2020-04-11,2020-04-12,2020-04-14,2020-04-15,2020-04-17,resolved,laboratory_confirmed,Gallus gallus (domestic),domestic,False,1,15678,2637,1394,3506,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-MAR-2020-03-30,WAHIS-HPAI-MAR-2020-03-30-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Morocco,MAR,MAR-R1,Morocco locality 63,29.8382,-7.9016,point,2020-04-03,2020-04-07,2020-04-12,2020-04-15,2020-04-17,resolved,laboratory_confirmed,Larus spp. (wild),wild,True,1,39114,6771,3757,9245,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-HPAI-TUR-2020-03-09,WAHIS-HPAI-TUR-2020-03-09-00,immediate_notification,1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds),HPAI,H5N1,Türkiye,TUR,TUR-R9,Türkiye locality 35,35.4912,37.6497,point,2020-03-11,2020-03-19,2020-04-11,2020-04-13,2020-04-17,resolved,laboratory_confirmed,Cygnus olor (wild),wild,True,1,12671,2008,1116,2726,False,stamping_out;movement_control;disinfection,synthetic
