iso3,country,species,reference_year,dataset_version,release_date,total_head,density_head_per_km2,area_km2,layer,aggregation,data_realism
NLD,Netherlands,pigs,2020,GLW4,2022-06-01,11000000,264.7859,41543.0,pigs_density,country_sum_of_grid_cells,synthetic
NLD,Netherlands,cattle,2020,GLW4,2022-06-01,3800000,91.4715,41543.0,cattle_density,country_sum_of_grid_cells,synthetic
BEL,Belgium,chickens,2010,GLW3,2014-03-01,36960000,1210.6918,30528.0,chickens_density,country_sum_of_grid_cells,synthetic
BEL,Belgium,pigs,2010,GLW3,2014-03-01,5456000,178.7212,30528.0,pigs_density,country_sum_of_grid_cells,synthetic
BEL,Belgium,cattle,2010,GLW3,2014-03-01,2112000,69.1824,30528.0,cattle_density,country_sum_of_grid_cells,synthetic
BEL,Belgium,chickens,2020,GLW4,2022-06-01,42000000,1375.7862,30528.0,chickens_density,country_sum_of_grid_cells,synthetic
BEL,Belgium,pigs,2020,GLW4,2022-06-01,6200000,203.0922,30528.0,pigs_density,country_sum_of_grid_cells,synthetic
BEL,Belgium,cattle,2020,GLW4,2022-06-01,2400000,78.6164,30528.0,cattle_density,country_sum_of_grid_cells,synthetic
ITA,Italy,chickens,2010,GLW3,2014-03-01,120560000,400.0796,301340.0,chickens_density,country_sum_of_grid_cells,synthetic
ITA,Italy,pigs,2010,GLW3,2014-03-01,7568000,25.1145,301340.0,pigs_density,country_sum_of_grid_cells,synthetic
ITA,Italy,cattle,2010,GLW3,2014-03-01,5456000,18.1058,301340.0,cattle_density,country_sum_of_grid_cells,synthetic
ITA,Italy,chickens,2020,GLW4,2022-06-01,137000000,454.636,301340.0,chickens_density,country_sum_of_grid_cells,synthetic
ITA,Italy,pigs,2020,GLW4,2022-06-01,8600000,28.5392,301340.0,pigs_density,country_sum_of_grid_cells,synthetic
ITA,Italy,cattle,2020,GLW4,2022-06-01,6200000,20.5748,301340.0,cattle_density,country_sum_of_grid_cells,synthetic
ESP,Spain,chickens,2010,GLW3,2014-03-01,158400000,313.0497,505990.0,chickens_density,country_sum_of_grid_cells,synthetic
ESP,Spain,pigs,2010,GLW3,2014-03-01,30360000,60.0012,505990.0,pigs_density,country_sum_of_grid_cells,synthetic
ESP,Spain,cattle,2010,GLW3,2014-03-01,5808000,11.4785,505990.0,cattle_density,country_sum_of_grid_cells,synthetic
ESP,Spain,chickens,2020,GLW4,2022-06-01,180000000,355.7383,505990.0,chickens_density,country_sum_of_grid_cells,synthetic
ESP,Spain,pigs,2020,GLW4,2022-06-01,34500000,68.1832,505990.0,pigs_density,country_sum_of_grid_cells,synthetic
ESP,Spain,cattle,2020,GLW4,2022-06-01,6600000,13.0437,505990.0,cattle_density,country_sum_of_grid_cells,synthetic
POL,Poland,chickens,2010,GLW3,2014-03-01,187440000,599.432,312696.0,chickens_density,country_sum_of_grid_cells,synthetic
POL,Poland,pigs,2010,GLW3,2014-03-01,8536000,27.2981,312696.0,pigs_density,country_sum_of_grid_cells,synthetic
POL,Poland,cattle,2010,GLW3,2014-03-01,5544000,17.7297,312696.0,cattle_density,country_sum_of_grid_cells,synthetic
POL,Poland,chickens,2020,GLW4,2022-06-01,213000000,681.1728,312696.0,chickens_density,country_sum_of_grid_cells,synthetic
POL,Poland,pigs,2020,GLW4,2022-06-01,9700000,31.0205,312696.0,pigs_density,country_sum_of_grid_cells,synthetic
POL,Poland,cattle,2020,GLW4,2022-06-01,6300000,20.1474,312696.0,cattle_density,country_sum_of_grid_cells,synthetic
HUN,Hungary,chickens,2010,GLW3,2014-03-01,28160000,302.7046,93028.0,chickens_density,country_sum_of_grid_cells,synthetic
HUN,Hungary,pigs,2010,GLW3,2014-03-01,2376000,25.5407,93028.0,pigs_density,country_sum_of_grid_cells,synthetic
HUN,Hungary,cattle,2010,GLW3,2014-03-01,765600,8.2298,93028.0,cattle_density,country_sum_of_grid_cells,synthetic
HUN,Hungary,chickens,2020,GLW4,2022-06-01,32000000,343.9825,93028.0,chickens_density,country_sum_of_grid_cells,synthetic
HUN,Hungary,pigs,2020,GLW4,2022-06-01,2700000,29.0235,93028.0,pigs_density,country_sum_of_grid_cells,synthetic
HUN,Hungary,cattle,2020,GLW4,2022-06-01,870000,9.352,93028.0,cattle_density,country_sum_of_grid_cells,synthetic
ROU,Romania,chickens,2010,GLW3,2014-03-01,60720000,254.7012,238397.0,chickens_density,country_sum_of_grid_cells,synthetic
ROU,Romania,pigs,2010,GLW3,2014-03-01,3432000,14.3962,238397.0,pigs_density,country_sum_of_grid_cells,synthetic
ROU,Romania,cattle,2010,GLW3,2014-03-01,1672000,7.0135,238397.0,cattle_density,country_sum_of_grid_cells,synthetic
ROU,Romania,chickens,2020,GLW4,2022-06-01,69000000,289.4332,238397.0,chickens_density,country_sum_of_grid_cells,synthetic
ROU,Romania,pigs,2020,GLW4,2022-06-01,3900000,16.3593,238397.0,pigs_density,country_sum_of_grid_cells,synthetic
ROU,Romania,cattle,2020,GLW4,2022-06-01,1900000,7.9699,238397.0,cattle_density,country_sum_of_grid_cells,synthetic
BGR,Bulgaria,chickens,2010,GLW3,2014-03-01,13200000,119.0487,110879.0,chickens_density,country_sum_of_grid_cells,synthetic
BGR,Bulgaria,pigs,2010,GLW3,2014-03-01,616000,5.5556,110879.0,pigs_density,country_sum_of_grid_cells,synthetic
BGR,Bulgaria,cattle,2010,GLW3,2014-03-01,484000,4.3651,110879.0,cattle_density,country_sum_of_grid_cells,synthetic
BGR,Bulgaria,chickens,2020,GLW4,2022-06-01,15000000,135.2826,110879.0,chickens_density,country_sum_of_grid_cells,synthetic
BGR,Bulgaria,pigs,2020,GLW4,2022-06-01,700000,6.3132,110879.0,pigs_density,country_sum_of_grid_cells,synthetic
BGR,Bulgaria,cattle,2020,GLW4,2022-06-01,550000,4.9604,110879.0,cattle_density,country_sum_of_grid_cells,synthetic
SRB,Serbia,chickens,2010,GLW3,2014-03-01,14960000,169.3055,88361.0,chickens_density,country_sum_of_grid_cells,synthetic
SRB,Serbia,pigs,2010,GLW3,2014-03-01,2552000,28.8815,88361.0,pigs_density,country_sum_of_grid_cells,synthetic
SRB,Serbia,cattle,2010,GLW3,2014-03-01,765600,8.6645,88361.0,cattle_density,country_sum_of_grid_cells,synthetic
SRB,Serbia,chickens,2020,GLW4,2022-06-01,17000000,192.3926,88361.0,chickens_density,country_sum_of_grid_cells,synthetic
SRB,Serbia,pigs,2020,GLW4,2022-06-01,2900000,32.8199,88361.0,pigs_density,country_sum_of_grid_cells,synthetic
SRB,Serbia,cattle,2020,GLW4,2022-06-01,870000,9.846,88361.0,cattle_density,country_sum_of_grid_cells,synthetic
UKR,Ukraine,chickens,2010,GLW3,2014-03-01,180400000,298.8982,603550.0,chickens_density,country_sum_of_grid_cells,synthetic
UKR,Ukraine,pigs,2010,GLW3,2014-03-01,5016000,8.3108,603550.0,pigs_density,country_sum_of_grid_cells,synthetic
UKR,Ukraine,cattle,2010,GLW3,2014-03-01,2552000,4.2283,603550.0,cattle_density,country_sum_of_grid_cells,synthetic
UKR,Ukraine,chickens,2020,GLW4,2022-06-01,205000000,339.657,603550.0,chickens_density,country_sum_of_grid_cells,synthetic
UKR,Ukraine,pigs,2020,GLW4,2022-06-01,5700000,9.4441,603550.0,pigs_density,country_sum_of_grid_cells,synthetic
UKR,Ukraine,cattle,2020,GLW4,2022-06-01,2900000,4.8049,603550.0,cattle_density,country_sum_of_grid_cells,synthetic
MDA,Moldova,chickens,2010,GLW3,2014-03-01,3696000,109.2005,33846.0,chickens_density,country_sum_of_grid_cells,synthetic
MDA,Moldova,pigs,2010,GLW3,2014-03-01,352000,10.4,33846.0,pigs_density,country_sum_of_grid_cells,synthetic
MDA,Moldova,cattle,2010,GLW3,2014-03-01,105600,3.12,33846.0,cattle_density,country_sum_of_grid_cells,synthetic
MDA,Moldova,chickens,2020,GLW4,2022-06-01,4200000,124.0915,33846.0,chickens_density,country_sum_of_grid_cells,synthetic
MDA,Moldova,pigs,2020,GLW4,2022-06-01,400000,11.8182,33846.0,pigs_density,country_sum_of_grid_cells,synthetic
MDA,Moldova,cattle,2020,GLW4,2022-06-01,120000,3.5455,33846.0,cattle_density,country_sum_of_grid_cells,synthetic
RUS,Russian Federation,chickens,2010,GLW3,2014-03-01,479600000,28.0497,17098246.0,chickens_density,country_sum_of_grid_cells,synthetic
RUS,Russian Federation,pigs,2010,GLW3,2014-03-01,22880000,1.3381,17098246.0,pigs_density,country_sum_of_grid_cells,synthetic
RUS,Russian Federation,cattle,2010,GLW3,2014-03-01,15664000,0.9161,17098246.0,cattle_density,country_sum_of_grid_cells,synthetic
RUS,Russian Federation,chickens,2020,GLW4,2022-06-01,545000000,31.8746,17098246.0,chickens_density,country_sum_of_grid_cells,synthetic
RUS,Russian Federation,pigs,2020,GLW4,2022-06-01,26000000,1.5206,17098246.0,pigs_density,country_sum_of_grid_cells,synthetic
RUS,Russian Federation,cattle,2020,GLW4,2022-06-01,17800000,1.041,17098246.0,cattle_density,country_sum_of_grid_cells,synthetic
TUR,Türkiye,chickens,2010,GLW3,2014-03-01,334400000,426.769,783562.0,chickens_density,country_sum_of_grid_cells,synthetic
TUR,Türkiye,pigs,2010,GLW3,2014-03-01,1760,0.0022,783562.0,pigs_density,country_sum_of_grid_cells,synthetic
TUR,Türkiye,cattle,2010,GLW3,2014-03-01,14960000,19.0923,783562.0,cattle_density,country_sum_of_grid_cells,synthetic
TUR,Türkiye,chickens,2020,GLW4,2022-06-01,380000000,484.9648,783562.0,chickens_density,country_sum_of_grid_cells,synthetic
TUR,Türkiye,pigs,2020,GLW4,2022-06-01,2000,0.0026,783562.0,pigs_density,country_sum_of_grid_cells,synthetic
TUR,Türkiye,cattle,2020,GLW4,2022-06-01,17000000,21.6958,783562.0,cattle_density,country_sum_of_grid_cells,synthetic
GEO,Georgia,chickens,2010,GLW3,2014-03-01,7920000,113.6298,69700.0,chickens_density,country_sum_of_grid_cells,synthetic
GEO,Georgia,pigs,2010,GLW3,2014-03-01,149600,2.1463,69700.0,pigs_density,country_sum_of_grid_cells,synthetic
GEO,Georgia,cattle,2010,GLW3,2014-03-01,774400,11.1105,69700.0,cattle_density,country_sum_of_grid_cells,synthetic
GEO,Georgia,chickens,2020,GLW4,2022-06-01,9000000,129.1248,69700.0,chickens_density,country_sum_of_grid_cells,synthetic
GEO,Georgia,pigs,2020,GLW4,2022-06-01,170000,2.439,69700.0,pigs_density,country_sum_of_grid_cells,synthetic
GEO,Georgia,cattle,2020,GLW4,2022-06-01,880000,12.6255,69700.0,cattle_density,country_sum_of_grid_cells,synthetic
ISR,Israel,chickens,2010,GLW3,2014-03-01,41360000,1873.8673,22072.0,chickens_density,country_sum_of_grid_cells,synthetic
ISR,Israel,pigs,2010,GLW3,2014-03-01,158400,7.1765,22072.0,pigs_density,country_sum_of_grid_cells,synthetic
ISR,Israel,cattle,2010,GLW3,2014-03-01,413600,18.7387,22072.0,cattle_density,country_sum_of_grid_cells,synthetic
ISR,Israel,chickens,2020,GLW4,2022-06-01,47000000,2129.3947,22072.0,chickens_density,country_sum_of_grid_cells,synthetic
ISR,Israel,pigs,2020,GLW4,2022-06-01,180000,8.1551,22072.0,pigs_density,country_sum_of_grid_cells,synthetic
ISR,Israel,cattle,2020,GLW4,2022-06-01,470000,21.2939,22072.0,cattle_density,country_sum_of_grid_cells,synthetic
EGY,Egypt,chickens,2010,GLW3,2014-03-01,127600000,127.2881,1002450.0,chickens_density,country_sum_of_grid_cells,synthetic
EGY,Egypt,pigs,2010,GLW3,2014-03-01,26400,0.0263,1002450.0,pigs_density,country_sum_of_grid_cells,synthetic
EGY,Egypt,cattle,2010,GLW3,2014-03-01,3696000,3.687,1002450.0,cattle_density,country_sum_of_grid_cells,synthetic
EGY,Egypt,chickens,2020,GLW4,2022-06-01,145000000,144.6456,1002450.0,chickens_density,country_sum_of_grid_cells,synthetic
EGY,Egypt,pigs,2020,GLW4,2022-06-01,30000,0.0299,1002450.0,pigs_density,country_sum_of_grid_cells,synthetic
EGY,Egypt,cattle,2020,GLW4,2022-06-01,4200000,4.1897,1002450.0,cattle_density,country_sum_of_grid_cells,synthetic
TUN,Tunisia,chickens,2010,GLW3,2014-03-01,31680000,193.6312,163610.0,chickens_density,country_sum_of_grid_cells,synthetic
TUN,Tunisia,pigs,2010,GLW3,2014-03-01,5280,0.0323,163610.0,pigs_density,country_sum_of_grid_cells,synthetic
TUN,Tunisia,cattle,2010,GLW3,2014-03-01,563200,3.4423,163610.0,cattle_density,country_sum_of_grid_cells,synthetic
TUN,Tunisia,chickens,2020,GLW4,2022-06-01,36000000,220.0355,163610.0,chickens_density,country_sum_of_grid_cells,synthetic
TUN,Tunisia,pigs,2020,GLW4,2022-06-01,6000,0.0367,163610.0,pigs_density,country_sum_of_grid_cells,synthetic
TUN,Tunisia,cattle,2020,GLW4,2022-06-01,640000,3.9117,163610.0,cattle_density,country_sum_of_grid_cells,synthetic
MAR,Morocco,chickens,2010,GLW3,2014-03-01,167200000,374.4262,446550.0,chickens_density,country_sum_of_grid_cells,synthetic
MAR,Morocco,pigs,2010,GLW3,2014-03-01,7920,0.0177,446550.0,pigs_density,country_sum_of_grid_cells,synthetic
MAR,Morocco,cattle,2010,GLW3,2014-03-01,2816000,6.3061,446550.0,cattle_density,country_sum_of_grid_cells,synthetic
MAR,Morocco,chickens,2020,GLW4,2022-06-01,190000000,425.4843,446550.0,chickens_density,country_sum_of_grid_cells,synthetic
MAR,Morocco,pigs,2020,GLW4,2022-06-01,9000,0.0202,446550.0,pigs_density,country_sum_of_grid_cells,synthetic
MAR,Morocco,cattle,2020,GLW4,2022-06-01,3200000,7.1661,446550.0,cattle_density,country_sum_of_grid_cells,synthetic
