date,iso3,country,theme,disease_code,n_articles,n_distinct_sources,n_languages,avg_tone,query,data_realism
2020-01-10,ESP,Spain,ANIMAL_DISEASE_HPAI,HPAI,0,0,3,-6.543,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ESP,synthetic
2020-01-11,ESP,Spain,ANIMAL_DISEASE_HPAI,HPAI,2,2,2,-3.891,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ESP,synthetic
2020-01-12,ESP,Spain,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-2.158,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ESP,synthetic
2020-01-06,POL,Poland,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-2.558,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=POL,synthetic
2020-01-07,POL,Poland,ANIMAL_DISEASE_HPAI,HPAI,2,2,3,-0.023,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=POL,synthetic
2020-01-08,POL,Poland,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-2.576,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=POL,synthetic
2020-01-09,POL,Poland,ANIMAL_DISEASE_HPAI,HPAI,0,0,3,-5.32,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=POL,synthetic
2020-01-10,POL,Poland,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-3.548,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=POL,synthetic
2020-01-12,POL,Poland,ANIMAL_DISEASE_HPAI,HPAI,2,2,1,-2.143,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=POL,synthetic
2020-01-07,HUN,Hungary,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-6.886,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=HUN,synthetic
2020-01-08,HUN,Hungary,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-3.049,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=HUN,synthetic
2020-01-11,HUN,Hungary,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,0.078,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=HUN,synthetic
2020-01-08,ROU,Romania,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-3.31,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ROU,synthetic
2020-01-09,ROU,Romania,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-6.203,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ROU,synthetic
2020-01-10,ROU,Romania,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-3.253,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ROU,synthetic
2020-01-11,ROU,Romania,ANIMAL_DISEASE_HPAI,HPAI,0,0,1,-2.973,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ROU,synthetic
2020-01-12,ROU,Romania,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-3.062,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ROU,synthetic
2020-01-06,BGR,Bulgaria,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-3.031,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BGR,synthetic
2020-01-08,BGR,Bulgaria,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-4.504,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BGR,synthetic
2020-01-06,SRB,Serbia,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-1.289,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=SRB,synthetic
2020-01-07,SRB,Serbia,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-0.52,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=SRB,synthetic
2020-01-12,SRB,Serbia,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-6.387,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=SRB,synthetic
2020-01-06,UKR,Ukraine,ANIMAL_DISEASE_HPAI,HPAI,2,2,2,-4.173,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=UKR,synthetic
2020-01-07,UKR,Ukraine,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-5.653,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=UKR,synthetic
2020-01-08,UKR,Ukraine,ANIMAL_DISEASE_HPAI,HPAI,3,3,1,-3.261,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=UKR,synthetic
2020-01-09,UKR,Ukraine,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-2.69,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=UKR,synthetic
2020-01-10,UKR,Ukraine,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-4.714,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=UKR,synthetic
2020-01-11,UKR,Ukraine,ANIMAL_DISEASE_HPAI,HPAI,0,0,3,-2.746,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=UKR,synthetic
2020-01-06,MDA,Moldova,ANIMAL_DISEASE_HPAI,HPAI,0,0,1,-2.653,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=MDA,synthetic
2020-01-07,MDA,Moldova,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-4.55,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=MDA,synthetic
2020-01-06,RUS,Russian Federation,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-4.022,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=RUS,synthetic
2020-01-07,RUS,Russian Federation,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-4.718,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=RUS,synthetic
2020-01-08,RUS,Russian Federation,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-1.726,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=RUS,synthetic
2020-01-09,RUS,Russian Federation,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-3.019,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=RUS,synthetic
2020-01-10,RUS,Russian Federation,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-2.839,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=RUS,synthetic
2020-01-12,RUS,Russian Federation,ANIMAL_DISEASE_HPAI,HPAI,2,2,2,-0.988,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=RUS,synthetic
2020-01-09,TUR,Türkiye,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-3.312,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=TUR,synthetic
2020-01-06,GEO,Georgia,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-5.809,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=GEO,synthetic
2020-01-07,GEO,Georgia,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-2.804,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=GEO,synthetic
2020-01-08,GEO,Georgia,ANIMAL_DISEASE_HPAI,HPAI,3,1,3,-4.53,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=GEO,synthetic
2020-01-11,GEO,Georgia,ANIMAL_DISEASE_HPAI,HPAI,2,2,1,1.527,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=GEO,synthetic
2020-01-06,ISR,Israel,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-5.46,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ISR,synthetic
2020-01-07,ISR,Israel,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-2.46,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ISR,synthetic
2020-01-08,ISR,Israel,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-3.469,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ISR,synthetic
2020-01-10,ISR,Israel,ANIMAL_DISEASE_HPAI,HPAI,2,2,2,-4.106,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ISR,synthetic
2020-01-12,ISR,Israel,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-3.402,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ISR,synthetic
2020-01-06,EGY,Egypt,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-7.555,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=EGY,synthetic
2020-01-07,EGY,Egypt,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-5.355,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=EGY,synthetic
2020-01-09,EGY,Egypt,ANIMAL_DISEASE_HPAI,HPAI,2,2,3,-2.635,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=EGY,synthetic
2020-01-10,EGY,Egypt,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-2.603,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=EGY,synthetic
2020-01-11,EGY,Egypt,ANIMAL_DISEASE_HPAI,HPAI,0,0,3,-2.857,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=EGY,synthetic
2020-01-07,TUN,Tunisia,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-4.099,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=TUN,synthetic
2020-01-08,TUN,Tunisia,ANIMAL_DISEASE_HPAI,HPAI,2,2,3,-1.74,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=TUN,synthetic
2020-01-09,TUN,Tunisia,ANIMAL_DISEASE_HPAI,HPAI,2,1,4,-5.534,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=TUN,synthetic
2020-01-07,MAR,Morocco,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-6.007,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=MAR,synthetic
2020-01-08,MAR,Morocco,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-4.376,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=MAR,synthetic
2020-01-10,MAR,Morocco,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-4.253,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=MAR,synthetic
2020-01-11,MAR,Morocco,ANIMAL_DISEASE_HPAI,HPAI,0,0,4,-3.437,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=MAR,synthetic
2020-01-12,MAR,Morocco,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-4.721,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=MAR,synthetic
2020-01-13,FRA,France,ANIMAL_DISEASE_HPAI,HPAI,2,2,3,-0.921,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=FRA,synthetic
2020-01-14,FRA,France,ANIMAL_DISEASE_HPAI,HPAI,1,1,4,-1.924,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=FRA,synthetic
2020-01-16,FRA,France,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-6.353,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=FRA,synthetic
2020-01-17,FRA,France,ANIMAL_DISEASE_HPAI,HPAI,6,3,3,-3.411,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=FRA,synthetic
2020-01-18,FRA,France,ANIMAL_DISEASE_HPAI,HPAI,0,0,1,-2.625,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=FRA,synthetic
2020-01-19,FRA,France,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-5.896,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=FRA,synthetic
2020-01-13,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,3,1,2,-3.281,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-14,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,0,0,3,-6.354,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-15,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,0.393,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-16,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-4.545,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-17,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-0.308,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-18,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-4.093,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-19,DEU,Germany,ANIMAL_DISEASE_HPAI,HPAI,2,2,3,-3.384,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=DEU,synthetic
2020-01-13,NLD,Netherlands,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-3.712,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=NLD,synthetic
2020-01-14,NLD,Netherlands,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-6.656,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=NLD,synthetic
2020-01-15,NLD,Netherlands,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-4.347,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=NLD,synthetic
2020-01-16,NLD,Netherlands,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-4.703,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=NLD,synthetic
2020-01-17,NLD,Netherlands,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-3.072,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=NLD,synthetic
2020-01-13,BEL,Belgium,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-3.11,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BEL,synthetic
2020-01-14,BEL,Belgium,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,0.424,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BEL,synthetic
2020-01-15,BEL,Belgium,ANIMAL_DISEASE_HPAI,HPAI,4,4,3,-3.424,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BEL,synthetic
2020-01-16,BEL,Belgium,ANIMAL_DISEASE_HPAI,HPAI,3,2,1,-4.201,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BEL,synthetic
2020-01-17,BEL,Belgium,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-5.292,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BEL,synthetic
2020-01-18,BEL,Belgium,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,1.194,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BEL,synthetic
2020-01-19,BEL,Belgium,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-0.501,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BEL,synthetic
2020-01-13,ITA,Italy,ANIMAL_DISEASE_HPAI,HPAI,2,2,4,-3.063,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ITA,synthetic
2020-01-14,ITA,Italy,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-3.123,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ITA,synthetic
2020-01-16,ITA,Italy,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-1.163,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ITA,synthetic
2020-01-18,ITA,Italy,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-6.819,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ITA,synthetic
2020-01-13,ESP,Spain,ANIMAL_DISEASE_HPAI,HPAI,3,2,1,-5.571,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ESP,synthetic
2020-01-14,ESP,Spain,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-0.751,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ESP,synthetic
2020-01-16,ESP,Spain,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-3.641,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ESP,synthetic
2020-01-19,ESP,Spain,ANIMAL_DISEASE_HPAI,HPAI,3,2,2,-6.483,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ESP,synthetic
2020-01-13,POL,Poland,ANIMAL_DISEASE_HPAI,HPAI,0,0,1,-5.322,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=POL,synthetic
2020-01-14,POL,Poland,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-0.952,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=POL,synthetic
2020-01-16,POL,Poland,ANIMAL_DISEASE_HPAI,HPAI,2,2,1,-5.023,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=POL,synthetic
2020-01-17,POL,Poland,ANIMAL_DISEASE_HPAI,HPAI,2,2,2,-0.791,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=POL,synthetic
2020-01-19,POL,Poland,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-3.945,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=POL,synthetic
2020-01-13,HUN,Hungary,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-2.856,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=HUN,synthetic
2020-01-15,HUN,Hungary,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-5.814,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=HUN,synthetic
2020-01-17,HUN,Hungary,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-1.045,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=HUN,synthetic
2020-01-19,HUN,Hungary,ANIMAL_DISEASE_HPAI,HPAI,0,0,3,-3.096,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=HUN,synthetic
2020-01-13,ROU,Romania,ANIMAL_DISEASE_HPAI,HPAI,2,2,1,-1.608,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ROU,synthetic
2020-01-14,ROU,Romania,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-6.661,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ROU,synthetic
2020-01-15,ROU,Romania,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-0.108,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ROU,synthetic
2020-01-16,ROU,Romania,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-3.364,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ROU,synthetic
2020-01-17,ROU,Romania,ANIMAL_DISEASE_HPAI,HPAI,1,1,3,-2.649,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ROU,synthetic
2020-01-19,ROU,Romania,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-5.372,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=ROU,synthetic
2020-01-13,BGR,Bulgaria,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-1.234,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BGR,synthetic
2020-01-15,BGR,Bulgaria,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-2.109,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=BGR,synthetic
2020-01-13,SRB,Serbia,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-6.033,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=SRB,synthetic
2020-01-14,SRB,Serbia,ANIMAL_DISEASE_HPAI,HPAI,0,0,1,-1.748,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=SRB,synthetic
2020-01-16,SRB,Serbia,ANIMAL_DISEASE_HPAI,HPAI,2,2,1,-2.389,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=SRB,synthetic
2020-01-19,SRB,Serbia,ANIMAL_DISEASE_HPAI,HPAI,0,0,2,-4.282,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=SRB,synthetic
2020-01-13,UKR,Ukraine,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-1.257,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=UKR,synthetic
2020-01-14,UKR,Ukraine,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-4.77,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=UKR,synthetic
2020-01-15,UKR,Ukraine,ANIMAL_DISEASE_HPAI,HPAI,2,1,2,-2.915,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=UKR,synthetic
2020-01-16,UKR,Ukraine,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-3.666,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=UKR,synthetic
2020-01-13,MDA,Moldova,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-2.604,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=MDA,synthetic
2020-01-14,MDA,Moldova,ANIMAL_DISEASE_HPAI,HPAI,1,1,1,-2.681,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=MDA,synthetic
2020-01-16,MDA,Moldova,ANIMAL_DISEASE_HPAI,HPAI,2,1,3,-6.215,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=MDA,synthetic
2020-01-17,MDA,Moldova,ANIMAL_DISEASE_HPAI,HPAI,0,0,1,-3.59,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=MDA,synthetic
2020-01-13,RUS,Russian Federation,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-4.258,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=RUS,synthetic
2020-01-15,RUS,Russian Federation,ANIMAL_DISEASE_HPAI,HPAI,3,2,1,-4.066,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=RUS,synthetic
2020-01-16,RUS,Russian Federation,ANIMAL_DISEASE_HPAI,HPAI,2,2,2,-0.716,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=RUS,synthetic
2020-01-17,RUS,Russian Federation,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-1.186,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=RUS,synthetic
2020-01-18,RUS,Russian Federation,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-1.913,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=RUS,synthetic
2020-01-13,TUR,Türkiye,ANIMAL_DISEASE_HPAI,HPAI,2,2,1,-2.443,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=TUR,synthetic
2020-01-14,TUR,Türkiye,ANIMAL_DISEASE_HPAI,HPAI,4,2,3,-2.578,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=TUR,synthetic
2020-01-15,TUR,Türkiye,ANIMAL_DISEASE_HPAI,HPAI,0,0,3,-2.317,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=TUR,synthetic
2020-01-16,TUR,Türkiye,ANIMAL_DISEASE_HPAI,HPAI,1,1,2,-1.638,gdelt:doc:theme=ANIMAL_DISEASE_HPAI&country=TUR,synthetic
