signal_id,detected_date,screened_date,iso3,country,disease_code,signal_strength,verification_status,signal_type,underlying_sources,data_realism
BEACON-0000029,2020-01-22,2020-01-23,RUS,Russian Federation,HPAI,0.305,verified,syndromic,media,synthetic
BEACON-0000030,2020-01-20,2020-01-21,TUR,Türkiye,HPAI,0.473,unverified,media_cluster,media;official,synthetic
BEACON-0000031,2020-01-22,2020-01-24,TUR,Türkiye,HPAI,0.028,verified,unusual_mortality,media,synthetic
BEACON-0000032,2020-01-25,2020-01-27,ISR,Israel,HPAI,0.491,unverified,media_cluster,media;official,synthetic
BEACON-0000033,2020-01-21,2020-01-21,EGY,Egypt,HPAI,0.026,unverified,syndromic,field,synthetic
BEACON-0000034,2020-01-29,2020-01-30,DEU,Germany,HPAI,0.425,verified,media_cluster,media,synthetic
BEACON-0000035,2020-02-01,2020-02-01,DEU,Germany,HPAI,0.319,unverified,media_cluster,media,synthetic
BEACON-0000036,2020-01-28,2020-01-29,POL,Poland,HPAI,0.346,unverified,media_cluster,official,synthetic
BEACON-0000037,2020-01-30,2020-01-31,POL,Poland,HPAI,0.423,unverified,syndromic,official,synthetic
BEACON-0000038,2020-01-29,2020-01-30,ROU,Romania,HPAI,0.741,unverified,unusual_mortality,field,synthetic
BEACON-0000039,2020-02-01,2020-02-02,RUS,Russian Federation,HPAI,0.189,unverified,unusual_mortality,official,synthetic
BEACON-0000040,2020-01-27,2020-01-28,EGY,Egypt,HPAI,0.384,unverified,unusual_mortality,media,synthetic
BEACON-0000041,2020-02-03,2020-02-03,DEU,Germany,HPAI,0.326,verified,unusual_mortality,media,synthetic
BEACON-0000042,2020-02-05,2020-02-05,BEL,Belgium,HPAI,0.15,unverified,syndromic,media,synthetic
BEACON-0000043,2020-02-03,2020-02-05,ITA,Italy,HPAI,0.348,verified,media_cluster,official,synthetic
BEACON-0000044,2020-02-07,2020-02-09,ESP,Spain,HPAI,0.143,unverified,trade_alert,media;official,synthetic
BEACON-0000045,2020-02-03,2020-02-03,POL,Poland,HPAI,0.116,unverified,media_cluster,media,synthetic
BEACON-0000046,2020-02-06,2020-02-07,ROU,Romania,HPAI,0.128,verified,media_cluster,media,synthetic
BEACON-0000047,2020-02-03,2020-02-03,SRB,Serbia,HPAI,0.313,unverified,trade_alert,field,synthetic
BEACON-0000048,2020-02-08,2020-02-08,MDA,Moldova,HPAI,0.509,unverified,media_cluster,media;official,synthetic
BEACON-0000049,2020-02-07,2020-02-08,RUS,Russian Federation,HPAI,0.302,unverified,syndromic,field,synthetic
BEACON-0000050,2020-02-08,2020-02-09,ISR,Israel,HPAI,0.735,unverified,unusual_mortality,media,synthetic
BEACON-0000051,2020-02-03,2020-02-03,MAR,Morocco,HPAI,0.602,unverified,media_cluster,media;official,synthetic
BEACON-0000052,2020-02-11,2020-02-12,FRA,France,HPAI,0.868,verified,media_cluster,media;official,synthetic
BEACON-0000053,2020-02-11,2020-02-13,BEL,Belgium,HPAI,0.813,verified,media_cluster,official,synthetic
BEACON-0000054,2020-02-14,2020-02-14,ESP,Spain,HPAI,0.286,verified,media_cluster,official,synthetic
BEACON-0000055,2020-02-12,2020-02-14,BGR,Bulgaria,HPAI,0.518,unverified,media_cluster,media;official,synthetic
BEACON-0000056,2020-02-14,2020-02-16,TUR,Türkiye,HPAI,0.088,unverified,unusual_mortality,field,synthetic
BEACON-0000057,2020-02-11,2020-02-12,ISR,Israel,HPAI,0.68,unverified,media_cluster,media;official,synthetic
BEACON-0000058,2020-02-13,2020-02-13,ISR,Israel,HPAI,0.772,verified,syndromic,media;official,synthetic
BEACON-0000059,2020-02-18,2020-02-19,UKR,Ukraine,HPAI,0.321,unverified,syndromic,media,synthetic
BEACON-0000060,2020-02-17,2020-02-19,UKR,Ukraine,HPAI,0.375,unverified,syndromic,media;official,synthetic
BEACON-0000061,2020-02-20,2020-02-20,RUS,Russian Federation,HPAI,0.844,unverified,media_cluster,media,synthetic
BEACON-0000062,2020-02-26,2020-02-27,BEL,Belgium,HPAI,0.493,verified,media_cluster,media,synthetic
BEACON-0000063,2020-02-28,2020-02-29,BGR,Bulgaria,HPAI,0.202,unverified,syndromic,official,synthetic
BEACON-0000064,2020-02-29,2020-03-01,BGR,Bulgaria,HPAI,0.236,unverified,unusual_mortality,media;official,synthetic
BEACON-0000065,2020-02-28,2020-03-01,UKR,Ukraine,HPAI,0.486,verified,media_cluster,media;official,synthetic
BEACON-0000066,2020-02-26,2020-02-28,RUS,Russian Federation,HPAI,0.608,unverified,unusual_mortality,media;official,synthetic
BEACON-0000067,2020-02-24,2020-02-26,EGY,Egypt,HPAI,0.536,unverified,unusual_mortality,media,synthetic
BEACON-0000068,2020-03-06,2020-03-06,BEL,Belgium,HPAI,0.742,unverified,unusual_mortality,field,synthetic
BEACON-0000069,2020-03-02,2020-03-03,ESP,Spain,HPAI,0.6,unverified,unusual_mortality,media,synthetic
BEACON-0000070,2020-03-04,2020-03-06,HUN,Hungary,HPAI,0.19,unverified,unusual_mortality,media,synthetic
BEACON-0000071,2020-03-05,2020-03-05,ROU,Romania,HPAI,0.173,unverified,unusual_mortality,field,synthetic
BEACON-0000072,2020-03-04,2020-03-06,ROU,Romania,HPAI,0.394,verified,syndromic,media,synthetic
BEACON-0000073,2020-03-04,2020-03-05,ROU,Romania,HPAI,0.61,verified,media_cluster,official,synthetic
BEACON-0000074,2020-03-07,2020-03-08,BGR,Bulgaria,HPAI,0.412,verified,unusual_mortality,media,synthetic
BEACON-0000075,2020-03-05,2020-03-05,UKR,Ukraine,HPAI,0.594,unverified,media_cluster,official,synthetic
BEACON-0000076,2020-03-03,2020-03-04,UKR,Ukraine,HPAI,0.327,unverified,media_cluster,official,synthetic
BEACON-0000077,2020-03-04,2020-03-05,UKR,Ukraine,HPAI,0.415,verified,media_cluster,media,synthetic
BEACON-0000078,2020-03-04,2020-03-06,MDA,Moldova,HPAI,0.567,verified,media_cluster,media;official,synthetic
BEACON-0000079,2020-03-07,2020-03-08,TUR,Türkiye,HPAI,0.684,unverified,media_cluster,media,synthetic
BEACON-0000080,2020-03-06,2020-03-06,TUR,Türkiye,HPAI,0.527,verified,syndromic,media,synthetic
BEACON-0000081,2020-03-05,2020-03-05,TUR,Türkiye,HPAI,0.641,verified,syndromic,media,synthetic
BEACON-0000082,2020-03-06,2020-03-06,GEO,Georgia,HPAI,0.207,unverified,media_cluster,media,synthetic
BEACON-0000083,2020-03-09,2020-03-11,FRA,France,HPAI,0.251,verified,media_cluster,media,synthetic
BEACON-0000084,2020-03-11,2020-03-12,FRA,France,HPAI,0.662,unverified,unusual_mortality,field,synthetic
BEACON-0000085,2020-03-13,2020-03-14,DEU,Germany,HPAI,0.612,verified,syndromic,official,synthetic
BEACON-0000086,2020-03-10,2020-03-11,NLD,Netherlands,HPAI,0.595,verified,trade_alert,media;official,synthetic
BEACON-0000087,2020-03-09,2020-03-09,ITA,Italy,HPAI,0.194,verified,unusual_mortality,media;official,synthetic
BEACON-0000088,2020-03-14,2020-03-15,ESP,Spain,HPAI,0.094,verified,unusual_mortality,media,synthetic
BEACON-0000089,2020-03-13,2020-03-14,POL,Poland,HPAI,0.548,unverified,unusual_mortality,official,synthetic
BEACON-0000090,2020-03-09,2020-03-11,POL,Poland,HPAI,0.173,unverified,syndromic,media,synthetic
BEACON-0000091,2020-03-13,2020-03-15,HUN,Hungary,HPAI,0.457,verified,trade_alert,field,synthetic
BEACON-0000092,2020-03-10,2020-03-10,HUN,Hungary,HPAI,0.202,verified,unusual_mortality,media,synthetic
BEACON-0000093,2020-03-14,2020-03-15,HUN,Hungary,HPAI,0.562,verified,unusual_mortality,media;official,synthetic
BEACON-0000094,2020-03-12,2020-03-12,MDA,Moldova,HPAI,0.483,unverified,unusual_mortality,media;official,synthetic
BEACON-0000095,2020-03-10,2020-03-12,RUS,Russian Federation,HPAI,0.507,unverified,media_cluster,media;official,synthetic
BEACON-0000096,2020-03-12,2020-03-13,TUR,Türkiye,HPAI,0.259,unverified,unusual_mortality,official,synthetic
BEACON-0000097,2020-03-14,2020-03-15,TUR,Türkiye,HPAI,0.248,unverified,syndromic,media,synthetic
BEACON-0000098,2020-03-13,2020-03-14,GEO,Georgia,HPAI,0.362,unverified,media_cluster,media,synthetic
BEACON-0000099,2020-03-21,2020-03-21,DEU,Germany,HPAI,0.355,unverified,media_cluster,media,synthetic
BEACON-0000100,2020-03-21,2020-03-21,ITA,Italy,HPAI,0.721,unverified,unusual_mortality,media;official,synthetic
BEACON-0000101,2020-03-16,2020-03-17,ITA,Italy,HPAI,0.529,unverified,unusual_mortality,official,synthetic
BEACON-0000102,2020-03-19,2020-03-19,ITA,Italy,HPAI,0.491,verified,media_cluster,media;official,synthetic
BEACON-0000103,2020-03-20,2020-03-22,ITA,Italy,HPAI,0.506,verified,unusual_mortality,field,synthetic
BEACON-0000104,2020-03-17,2020-03-17,ITA,Italy,HPAI,0.557,verified,unusual_mortality,official,synthetic
BEACON-0000105,2020-03-16,2020-03-18,ROU,Romania,HPAI,0.089,unverified,unusual_mortality,media,synthetic
BEACON-0000106,2020-03-19,2020-03-19,ROU,Romania,HPAI,0.662,unverified,unusual_mortality,media;official,synthetic
BEACON-0000107,2020-03-16,2020-03-16,BGR,Bulgaria,HPAI,0.37,unverified,trade_alert,media,synthetic
BEACON-0000108,2020-03-18,2020-03-19,SRB,Serbia,HPAI,0.835,verified,media_cluster,media,synthetic
BEACON-0000109,2020-03-16,2020-03-16,SRB,Serbia,HPAI,0.499,unverified,syndromic,media,synthetic
BEACON-0000110,2020-03-21,2020-03-23,SRB,Serbia,HPAI,0.445,unverified,unusual_mortality,field,synthetic
BEACON-0000111,2020-03-16,2020-03-17,SRB,Serbia,HPAI,1.0,unverified,unusual_mortality,media,synthetic
BEACON-0000112,2020-03-18,2020-03-19,UKR,Ukraine,HPAI,0.12,verified,media_cluster,official,synthetic
BEACON-0000113,2020-03-18,2020-03-20,GEO,Georgia,HPAI,0.583,unverified,syndromic,media,synthetic
BEACON-0000114,2020-03-21,2020-03-22,TUN,Tunisia,HPAI,0.18,unverified,syndromic,media,synthetic
BEACON-0000115,2020-03-28,2020-03-28,DEU,Germany,HPAI,0.072,unverified,unusual_mortality,media,synthetic
BEACON-0000116,2020-03-26,2020-03-28,POL,Poland,HPAI,0.237,unverified,media_cluster,media,synthetic
BEACON-0000117,2020-03-23,2020-03-24,POL,Poland,HPAI,0.671,unverified,unusual_mortality,media,synthetic
BEACON-0000118,2020-03-23,2020-03-23,BGR,Bulgaria,HPAI,0.293,unverified,media_cluster,media,synthetic
BEACON-0000119,2020-03-26,2020-03-27,UKR,Ukraine,HPAI,0.422,unverified,media_cluster,media,synthetic
BEACON-0000120,2020-03-24,2020-03-25,UKR,Ukraine,HPAI,0.124,unverified,syndromic,media;official,synthetic
BEACON-0000121,2020-03-25,2020-03-27,UKR,Ukraine,HPAI,0.147,verified,unusual_mortality,media;official,synthetic
BEACON-0000122,2020-04-04,2020-04-05,FRA,France,HPAI,0.503,unverified,unusual_mortality,media,synthetic
BEACON-0000123,2020-04-01,2020-04-01,DEU,Germany,HPAI,0.392,unverified,syndromic,field,synthetic
BEACON-0000124,2020-03-31,2020-04-01,ITA,Italy,HPAI,0.577,verified,media_cluster,field,synthetic
BEACON-0000125,2020-04-04,2020-04-05,ESP,Spain,HPAI,0.431,verified,syndromic,media,synthetic
BEACON-0000126,2020-04-02,2020-04-04,HUN,Hungary,HPAI,0.911,unverified,unusual_mortality,media,synthetic
BEACON-0000127,2020-04-04,2020-04-05,BGR,Bulgaria,HPAI,0.654,unverified,unusual_mortality,media,synthetic
BEACON-0000128,2020-03-30,2020-03-30,BGR,Bulgaria,HPAI,0.574,unverified,unusual_mortality,media;official,synthetic
BEACON-0000129,2020-04-02,2020-04-04,UKR,Ukraine,HPAI,0.397,unverified,media_cluster,media;official,synthetic
BEACON-0000130,2020-04-04,2020-04-06,RUS,Russian Federation,HPAI,0.257,verified,media_cluster,media;official,synthetic
BEACON-0000131,2020-04-04,2020-04-06,TUR,Türkiye,HPAI,0.152,unverified,media_cluster,media,synthetic
BEACON-0000132,2020-04-02,2020-04-04,EGY,Egypt,HPAI,0.521,unverified,unusual_mortality,media;official,synthetic
BEACON-0000133,2020-04-02,2020-04-03,MAR,Morocco,HPAI,0.736,verified,media_cluster,media;official,synthetic
BEACON-0000134,2020-04-10,2020-04-10,FRA,France,HPAI,0.724,unverified,media_cluster,media,synthetic
BEACON-0000135,2020-04-11,2020-04-13,DEU,Germany,HPAI,0.096,unverified,unusual_mortality,media;official,synthetic
BEACON-0000136,2020-04-06,2020-04-07,HUN,Hungary,HPAI,0.437,unverified,trade_alert,official,synthetic
BEACON-0000137,2020-04-10,2020-04-10,HUN,Hungary,HPAI,0.56,unverified,media_cluster,official,synthetic
BEACON-0000138,2020-04-06,2020-04-07,ROU,Romania,HPAI,0.469,unverified,media_cluster,media,synthetic
BEACON-0000139,2020-04-07,2020-04-08,BGR,Bulgaria,HPAI,0.451,unverified,unusual_mortality,official,synthetic
BEACON-0000140,2020-04-06,2020-04-08,BGR,Bulgaria,HPAI,0.903,verified,syndromic,media,synthetic
BEACON-0000141,2020-04-11,2020-04-12,SRB,Serbia,HPAI,0.733,unverified,media_cluster,official,synthetic
BEACON-0000142,2020-04-08,2020-04-10,ISR,Israel,HPAI,0.403,verified,media_cluster,media,synthetic
BEACON-0000143,2020-04-06,2020-04-08,TUN,Tunisia,HPAI,0.537,verified,media_cluster,media;official,synthetic
BEACON-0000144,2020-04-18,2020-04-19,FRA,France,HPAI,0.79,verified,unusual_mortality,media,synthetic
BEACON-0000145,2020-04-16,2020-04-17,NLD,Netherlands,HPAI,0.616,unverified,unusual_mortality,media,synthetic
BEACON-0000146,2020-04-14,2020-04-15,ITA,Italy,HPAI,0.92,unverified,syndromic,media,synthetic
BEACON-0000147,2020-04-13,2020-04-15,ITA,Italy,HPAI,0.442,verified,trade_alert,official,synthetic
BEACON-0000148,2020-04-14,2020-04-16,ESP,Spain,HPAI,0.157,verified,syndromic,media,synthetic
BEACON-0000149,2020-04-13,2020-04-13,POL,Poland,HPAI,0.507,unverified,media_cluster,field,synthetic
BEACON-0000150,2020-04-18,2020-04-18,POL,Poland,HPAI,0.775,unverified,media_cluster,media,synthetic
BEACON-0000151,2020-04-15,2020-04-17,POL,Poland,HPAI,0.494,unverified,media_cluster,official,synthetic
BEACON-0000152,2020-04-18,2020-04-20,HUN,Hungary,HPAI,0.361,verified,unusual_mortality,media,synthetic
BEACON-0000153,2020-04-18,2020-04-19,MDA,Moldova,HPAI,0.357,verified,media_cluster,official,synthetic
BEACON-0000154,2020-04-16,2020-04-16,ISR,Israel,HPAI,0.687,verified,unusual_mortality,media;official,synthetic
BEACON-0000155,2020-04-17,2020-04-18,MAR,Morocco,HPAI,0.463,verified,trade_alert,field,synthetic
BEACON-0000156,2020-04-22,2020-04-24,DEU,Germany,HPAI,0.449,verified,unusual_mortality,media,synthetic
BEACON-0000157,2020-04-25,2020-04-25,ITA,Italy,HPAI,0.235,unverified,media_cluster,media,synthetic
BEACON-0000158,2020-04-24,2020-04-24,POL,Poland,HPAI,0.331,verified,syndromic,official,synthetic
BEACON-0000159,2020-04-22,2020-04-24,POL,Poland,HPAI,0.923,verified,unusual_mortality,official,synthetic
BEACON-0000160,2020-04-23,2020-04-23,POL,Poland,HPAI,0.764,verified,trade_alert,official,synthetic
BEACON-0000161,2020-04-23,2020-04-23,UKR,Ukraine,HPAI,0.671,verified,syndromic,media;official,synthetic
BEACON-0000162,2020-04-20,2020-04-22,MDA,Moldova,HPAI,0.827,verified,media_cluster,media,synthetic
BEACON-0000163,2020-04-25,2020-04-27,MDA,Moldova,HPAI,0.304,unverified,unusual_mortality,media;official,synthetic
BEACON-0000164,2020-04-20,2020-04-21,RUS,Russian Federation,HPAI,0.629,unverified,unusual_mortality,official,synthetic
BEACON-0000165,2020-04-25,2020-04-27,TUR,Türkiye,HPAI,0.919,unverified,unusual_mortality,media;official,synthetic
BEACON-0000166,2020-04-23,2020-04-24,TUR,Türkiye,HPAI,0.449,verified,syndromic,media,synthetic
BEACON-0000167,2020-04-22,2020-04-22,TUR,Türkiye,HPAI,0.87,unverified,media_cluster,media,synthetic
BEACON-0000168,2020-04-21,2020-04-21,TUR,Türkiye,HPAI,0.553,verified,media_cluster,media;official,synthetic
BEACON-0000169,2020-04-21,2020-04-21,ISR,Israel,HPAI,0.367,verified,unusual_mortality,media,synthetic
BEACON-0000170,2020-04-25,2020-04-27,MAR,Morocco,HPAI,0.609,unverified,unusual_mortality,media,synthetic
BEACON-0000171,2020-04-28,2020-04-28,FRA,France,HPAI,0.485,unverified,trade_alert,media,synthetic
BEACON-0000172,2020-04-28,2020-04-29,BEL,Belgium,HPAI,0.538,unverified,media_cluster,media,synthetic
BEACON-0000173,2020-04-28,2020-04-30,BEL,Belgium,HPAI,0.667,unverified,unusual_mortality,official,synthetic
BEACON-0000174,2020-04-27,2020-04-28,ITA,Italy,HPAI,0.267,verified,unusual_mortality,media,synthetic
BEACON-0000175,2020-05-02,2020-05-03,ESP,Spain,HPAI,0.226,verified,unusual_mortality,media;official,synthetic
BEACON-0000176,2020-04-27,2020-04-27,ESP,Spain,HPAI,0.712,unverified,unusual_mortality,media;official,synthetic
BEACON-0000177,2020-04-28,2020-04-30,POL,Poland,HPAI,0.785,verified,media_cluster,media,synthetic
BEACON-0000178,2020-04-29,2020-05-01,POL,Poland,HPAI,0.728,unverified,media_cluster,official,synthetic
BEACON-0000179,2020-04-27,2020-04-28,SRB,Serbia,HPAI,0.56,unverified,media_cluster,media,synthetic
BEACON-0000180,2020-05-02,2020-05-03,UKR,Ukraine,HPAI,0.617,unverified,media_cluster,media,synthetic
BEACON-0000181,2020-05-02,2020-05-03,MDA,Moldova,HPAI,1.0,unverified,trade_alert,media;official,synthetic
BEACON-0000182,2020-05-01,2020-05-02,MDA,Moldova,HPAI,0.761,unverified,unusual_mortality,media,synthetic
BEACON-0000183,2020-05-02,2020-05-03,MDA,Moldova,HPAI,0.584,unverified,unusual_mortality,media,synthetic
BEACON-0000184,2020-04-29,2020-05-01,GEO,Georgia,HPAI,0.256,unverified,media_cluster,media,synthetic
BEACON-0000185,2020-04-28,2020-04-29,TUN,Tunisia,HPAI,0.432,unverified,media_cluster,field,synthetic
BEACON-0000186,2020-05-09,2020-05-10,FRA,France,HPAI,0.248,verified,unusual_mortality,official,synthetic
BEACON-0000187,2020-05-08,2020-05-08,FRA,France,HPAI,0.902,unverified,unusual_mortality,media,synthetic
BEACON-0000188,2020-05-07,2020-05-07,DEU,Germany,HPAI,0.721,verified,media_cluster,media,synthetic
BEACON-0000189,2020-05-09,2020-05-10,DEU,Germany,HPAI,0.49,unverified,unusual_mortality,media,synthetic
BEACON-0000190,2020-05-05,2020-05-07,DEU,Germany,HPAI,0.68,unverified,media_cluster,field,synthetic
BEACON-0000191,2020-05-08,2020-05-09,NLD,Netherlands,HPAI,0.856,verified,unusual_mortality,media;official,synthetic
BEACON-0000192,2020-05-08,2020-05-08,BEL,Belgium,HPAI,0.679,unverified,media_cluster,media;official,synthetic
BEACON-0000193,2020-05-05,2020-05-06,BEL,Belgium,HPAI,0.756,unverified,media_cluster,media,synthetic
BEACON-0000194,2020-05-07,2020-05-09,BEL,Belgium,HPAI,1.0,unverified,media_cluster,media;official,synthetic
BEACON-0000195,2020-05-07,2020-05-08,BEL,Belgium,HPAI,0.401,unverified,syndromic,official,synthetic
BEACON-0000196,2020-05-07,2020-05-08,ITA,Italy,HPAI,0.411,unverified,media_cluster,media,synthetic
BEACON-0000197,2020-05-09,2020-05-09,ESP,Spain,HPAI,0.378,verified,unusual_mortality,media,synthetic
BEACON-0000198,2020-05-06,2020-05-07,ESP,Spain,HPAI,0.595,unverified,media_cluster,media,synthetic
BEACON-0000199,2020-05-07,2020-05-09,HUN,Hungary,HPAI,0.559,unverified,trade_alert,official,synthetic
BEACON-0000200,2020-05-07,2020-05-07,SRB,Serbia,HPAI,0.708,unverified,syndromic,media,synthetic
BEACON-0000201,2020-05-07,2020-05-07,UKR,Ukraine,HPAI,0.368,unverified,unusual_mortality,media,synthetic
BEACON-0000202,2020-05-05,2020-05-05,MDA,Moldova,HPAI,0.342,unverified,unusual_mortality,media,synthetic
BEACON-0000203,2020-05-05,2020-05-05,RUS,Russian Federation,HPAI,0.88,verified,media_cluster,media;official,synthetic
BEACON-0000204,2020-05-06,2020-05-08,RUS,Russian Federation,HPAI,0.707,verified,unusual_mortality,media;official,synthetic
BEACON-0000205,2020-05-06,2020-05-06,RUS,Russian Federation,HPAI,0.68,unverified,unusual_mortality,media,synthetic
BEACON-0000206,2020-05-06,2020-05-06,TUR,Türkiye,HPAI,0.58,unverified,media_cluster,media;official,synthetic
BEACON-0000207,2020-05-05,2020-05-06,GEO,Georgia,HPAI,0.768,unverified,unusual_mortality,media,synthetic
BEACON-0000208,2020-05-06,2020-05-08,GEO,Georgia,HPAI,0.528,verified,media_cluster,official,synthetic
BEACON-0000209,2020-05-04,2020-05-06,ISR,Israel,HPAI,0.229,unverified,trade_alert,media,synthetic
BEACON-0000210,2020-05-15,2020-05-15,FRA,France,HPAI,0.681,unverified,unusual_mortality,field,synthetic
BEACON-0000211,2020-05-14,2020-05-15,NLD,Netherlands,HPAI,0.641,unverified,syndromic,media,synthetic
BEACON-0000212,2020-05-12,2020-05-14,NLD,Netherlands,HPAI,0.844,unverified,unusual_mortality,media,synthetic
BEACON-0000213,2020-05-12,2020-05-12,NLD,Netherlands,HPAI,0.652,verified,media_cluster,official,synthetic
BEACON-0000214,2020-05-14,2020-05-16,BEL,Belgium,HPAI,0.581,unverified,trade_alert,media,synthetic
BEACON-0000215,2020-05-12,2020-05-12,ESP,Spain,HPAI,0.495,verified,unusual_mortality,field,synthetic
BEACON-0000216,2020-05-11,2020-05-12,POL,Poland,HPAI,0.247,unverified,trade_alert,media,synthetic
BEACON-0000217,2020-05-14,2020-05-15,ROU,Romania,HPAI,0.697,verified,media_cluster,media,synthetic
BEACON-0000218,2020-05-14,2020-05-16,BGR,Bulgaria,HPAI,0.389,verified,unusual_mortality,media;official,synthetic
BEACON-0000219,2020-05-14,2020-05-14,SRB,Serbia,HPAI,0.329,unverified,unusual_mortality,media,synthetic
BEACON-0000220,2020-05-15,2020-05-15,SRB,Serbia,HPAI,0.676,verified,unusual_mortality,media,synthetic
BEACON-0000221,2020-05-14,2020-05-14,UKR,Ukraine,HPAI,0.59,verified,unusual_mortality,field,synthetic
BEACON-0000222,2020-05-14,2020-05-14,MDA,Moldova,HPAI,0.702,verified,media_cluster,media,synthetic
BEACON-0000223,2020-05-13,2020-05-15,TUR,Türkiye,HPAI,0.445,unverified,trade_alert,media,synthetic
BEACON-0000224,2020-05-16,2020-05-16,TUR,Türkiye,HPAI,0.342,unverified,syndromic,media,synthetic
BEACON-0000225,2020-05-16,2020-05-18,TUR,Türkiye,HPAI,0.433,unverified,media_cluster,media,synthetic
BEACON-0000226,2020-05-12,2020-05-13,GEO,Georgia,HPAI,0.26,unverified,unusual_mortality,media,synthetic
BEACON-0000227,2020-05-13,2020-05-14,GEO,Georgia,HPAI,0.581,unverified,unusual_mortality,media;official,synthetic
BEACON-0000228,2020-05-15,2020-05-16,EGY,Egypt,HPAI,0.62,verified,unusual_mortality,media,synthetic
BEACON-0000229,2020-05-18,2020-05-20,DEU,Germany,HPAI,0.531,unverified,media_cluster,media,synthetic
BEACON-0000230,2020-05-18,2020-05-20,NLD,Netherlands,HPAI,0.239,unverified,media_cluster,media,synthetic
BEACON-0000231,2020-05-23,2020-05-25,ITA,Italy,HPAI,0.709,verified,unusual_mortality,official,synthetic
BEACON-0000232,2020-05-19,2020-05-19,HUN,Hungary,HPAI,0.412,unverified,media_cluster,media,synthetic
BEACON-0000233,2020-05-23,2020-05-24,HUN,Hungary,HPAI,0.099,unverified,unusual_mortality,media;official,synthetic
BEACON-0000234,2020-05-18,2020-05-19,HUN,Hungary,HPAI,0.476,unverified,media_cluster,media,synthetic
BEACON-0000235,2020-05-18,2020-05-19,ROU,Romania,HPAI,0.253,unverified,syndromic,field,synthetic
BEACON-0000236,2020-05-18,2020-05-20,BGR,Bulgaria,HPAI,0.424,unverified,unusual_mortality,field,synthetic
BEACON-0000237,2020-05-21,2020-05-23,SRB,Serbia,HPAI,0.233,unverified,unusual_mortality,field,synthetic
