alert_id,published_date,iso3,country,disease_code,latitude,longitude,feed,duplicate_of_feed_item,headline,data_realism
HM-0000026,2020-01-21,ITA,Italy,HPAI,44.505,12.389,social,True,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000027,2020-01-25,UKR,Ukraine,HPAI,49.963,28.658,news,False,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000028,2020-01-25,UKR,Ukraine,HPAI,52.09,32.352,official,True,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000029,2020-01-20,MDA,Moldova,HPAI,46.997,28.732,news,True,[SYNTHETIC] HPAI signal near Moldova,synthetic
HM-0000030,2020-01-24,MDA,Moldova,HPAI,47.309,28.414,news,True,[SYNTHETIC] HPAI signal near Moldova,synthetic
HM-0000031,2020-01-26,RUS,Russian Federation,HPAI,52.555,34.724,official,True,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000032,2020-01-25,ISR,Israel,HPAI,31.723,34.62,official,True,[SYNTHETIC] HPAI signal near Israel,synthetic
HM-0000033,2020-01-21,EGY,Egypt,HPAI,22.885,30.869,news,True,[SYNTHETIC] HPAI signal near Egypt,synthetic
HM-0000034,2020-01-24,MAR,Morocco,HPAI,31.108,-9.46,news,False,[SYNTHETIC] HPAI signal near Morocco,synthetic
HM-0000035,2020-01-23,MAR,Morocco,HPAI,31.238,-4.448,news,False,[SYNTHETIC] HPAI signal near Morocco,synthetic
HM-0000036,2020-01-29,BEL,Belgium,HPAI,50.828,5.729,official,False,[SYNTHETIC] HPAI signal near Belgium,synthetic
HM-0000037,2020-02-02,ESP,Spain,HPAI,39.194,-5.689,news,True,[SYNTHETIC] HPAI signal near Spain,synthetic
HM-0000038,2020-01-31,ROU,Romania,HPAI,46.199,26.439,news,True,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000039,2020-01-28,ROU,Romania,HPAI,45.243,23.549,news,False,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000040,2020-01-31,BGR,Bulgaria,HPAI,43.693,26.662,news,False,[SYNTHETIC] HPAI signal near Bulgaria,synthetic
HM-0000041,2020-01-31,SRB,Serbia,HPAI,45.149,21.472,news,False,[SYNTHETIC] HPAI signal near Serbia,synthetic
HM-0000042,2020-01-30,UKR,Ukraine,HPAI,45.761,31.213,news,False,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000043,2020-01-29,UKR,Ukraine,HPAI,50.99,35.003,news,False,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000044,2020-01-27,MDA,Moldova,HPAI,47.459,27.653,news,True,[SYNTHETIC] HPAI signal near Moldova,synthetic
HM-0000045,2020-01-27,RUS,Russian Federation,HPAI,52.269,46.756,news,False,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000046,2020-02-02,RUS,Russian Federation,HPAI,50.968,37.603,news,False,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000047,2020-02-01,GEO,Georgia,HPAI,40.973,44.312,social,False,[SYNTHETIC] HPAI signal near Georgia,synthetic
HM-0000048,2020-01-30,ISR,Israel,HPAI,32.105,34.792,news,True,[SYNTHETIC] HPAI signal near Israel,synthetic
HM-0000049,2020-01-30,MAR,Morocco,HPAI,34.132,-9.135,news,False,[SYNTHETIC] HPAI signal near Morocco,synthetic
HM-0000050,2020-02-01,MAR,Morocco,HPAI,33.972,-8.612,news,True,[SYNTHETIC] HPAI signal near Morocco,synthetic
HM-0000051,2020-02-06,FRA,France,HPAI,47.934,3.911,news,False,[SYNTHETIC] HPAI signal near France,synthetic
HM-0000052,2020-02-08,ITA,Italy,HPAI,44.622,12.187,news,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000053,2020-02-04,ESP,Spain,HPAI,42.57,-3.259,news,False,[SYNTHETIC] HPAI signal near Spain,synthetic
HM-0000054,2020-02-08,ROU,Romania,HPAI,46.052,24.85,news,False,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000055,2020-02-03,BGR,Bulgaria,HPAI,41.422,25.188,news,False,[SYNTHETIC] HPAI signal near Bulgaria,synthetic
HM-0000056,2020-02-08,SRB,Serbia,HPAI,45.237,22.056,social,False,[SYNTHETIC] HPAI signal near Serbia,synthetic
HM-0000057,2020-02-04,RUS,Russian Federation,HPAI,56.347,47.984,news,True,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000058,2020-02-03,TUR,Türkiye,HPAI,41.091,32.88,official,True,[SYNTHETIC] HPAI signal near Türkiye,synthetic
HM-0000059,2020-02-09,ISR,Israel,HPAI,31.003,35.203,official,False,[SYNTHETIC] HPAI signal near Israel,synthetic
HM-0000060,2020-02-03,MAR,Morocco,HPAI,31.579,-4.549,news,False,[SYNTHETIC] HPAI signal near Morocco,synthetic
HM-0000061,2020-02-12,NLD,Netherlands,HPAI,52.175,6.966,news,False,[SYNTHETIC] HPAI signal near Netherlands,synthetic
HM-0000062,2020-02-13,NLD,Netherlands,HPAI,52.861,6.231,news,False,[SYNTHETIC] HPAI signal near Netherlands,synthetic
HM-0000063,2020-02-13,ITA,Italy,HPAI,40.521,12.133,news,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000064,2020-02-16,ITA,Italy,HPAI,41.406,15.014,news,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000065,2020-02-11,ITA,Italy,HPAI,42.07,11.941,news,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000066,2020-02-11,POL,Poland,HPAI,51.804,17.991,official,True,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000067,2020-02-10,ROU,Romania,HPAI,48.113,23.887,news,True,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000068,2020-02-13,BGR,Bulgaria,HPAI,42.186,25.764,official,False,[SYNTHETIC] HPAI signal near Bulgaria,synthetic
HM-0000069,2020-02-11,BGR,Bulgaria,HPAI,42.884,25.811,news,True,[SYNTHETIC] HPAI signal near Bulgaria,synthetic
HM-0000070,2020-02-16,UKR,Ukraine,HPAI,46.654,28.507,news,False,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000071,2020-02-11,RUS,Russian Federation,HPAI,58.809,47.303,news,False,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000072,2020-02-14,RUS,Russian Federation,HPAI,61.248,48.974,news,True,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000073,2020-02-13,TUR,Türkiye,HPAI,40.428,34.686,news,True,[SYNTHETIC] HPAI signal near Türkiye,synthetic
HM-0000074,2020-02-13,TUR,Türkiye,HPAI,36.58,33.446,news,False,[SYNTHETIC] HPAI signal near Türkiye,synthetic
HM-0000075,2020-02-14,TUR,Türkiye,HPAI,39.768,37.208,news,True,[SYNTHETIC] HPAI signal near Türkiye,synthetic
HM-0000076,2020-02-10,GEO,Georgia,HPAI,41.231,44.384,news,False,[SYNTHETIC] HPAI signal near Georgia,synthetic
HM-0000077,2020-02-12,GEO,Georgia,HPAI,43.158,43.158,news,True,[SYNTHETIC] HPAI signal near Georgia,synthetic
HM-0000078,2020-02-11,ISR,Israel,HPAI,32.079,34.945,news,False,[SYNTHETIC] HPAI signal near Israel,synthetic
HM-0000079,2020-02-13,MAR,Morocco,HPAI,30.313,-5.092,social,False,[SYNTHETIC] HPAI signal near Morocco,synthetic
HM-0000080,2020-02-20,FRA,France,HPAI,50.021,1.755,news,True,[SYNTHETIC] HPAI signal near France,synthetic
HM-0000081,2020-02-23,FRA,France,HPAI,47.183,3.704,official,False,[SYNTHETIC] HPAI signal near France,synthetic
HM-0000082,2020-02-21,DEU,Germany,HPAI,48.646,11.939,official,False,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000083,2020-02-22,NLD,Netherlands,HPAI,51.621,5.922,social,False,[SYNTHETIC] HPAI signal near Netherlands,synthetic
HM-0000084,2020-02-20,POL,Poland,HPAI,52.193,17.404,news,False,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000085,2020-02-17,ROU,Romania,HPAI,46.274,27.036,social,False,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000086,2020-02-20,ROU,Romania,HPAI,46.401,23.631,official,True,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000087,2020-02-20,ROU,Romania,HPAI,45.683,26.379,news,False,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000088,2020-02-19,ROU,Romania,HPAI,48.006,24.242,news,True,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000089,2020-02-17,BGR,Bulgaria,HPAI,43.347,26.701,news,False,[SYNTHETIC] HPAI signal near Bulgaria,synthetic
HM-0000090,2020-02-17,UKR,Ukraine,HPAI,49.129,30.75,news,True,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000091,2020-02-20,UKR,Ukraine,HPAI,49.954,35.115,news,True,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000092,2020-02-22,UKR,Ukraine,HPAI,51.189,32.151,official,True,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000093,2020-02-18,UKR,Ukraine,HPAI,47.956,32.85,news,False,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000094,2020-02-17,MDA,Moldova,HPAI,47.172,28.432,news,True,[SYNTHETIC] HPAI signal near Moldova,synthetic
HM-0000095,2020-02-21,RUS,Russian Federation,HPAI,58.243,52.18,social,False,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000096,2020-02-22,RUS,Russian Federation,HPAI,54.203,48.593,news,True,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000097,2020-02-19,TUR,Türkiye,HPAI,40.559,34.387,news,True,[SYNTHETIC] HPAI signal near Türkiye,synthetic
HM-0000098,2020-02-23,ISR,Israel,HPAI,31.707,34.783,news,False,[SYNTHETIC] HPAI signal near Israel,synthetic
HM-0000099,2020-02-21,ISR,Israel,HPAI,31.673,34.402,news,False,[SYNTHETIC] HPAI signal near Israel,synthetic
HM-0000100,2020-02-23,ISR,Israel,HPAI,30.78,34.996,news,True,[SYNTHETIC] HPAI signal near Israel,synthetic
HM-0000101,2020-02-21,EGY,Egypt,HPAI,29.932,26.999,news,False,[SYNTHETIC] HPAI signal near Egypt,synthetic
HM-0000102,2020-02-23,EGY,Egypt,HPAI,25.295,30.451,news,False,[SYNTHETIC] HPAI signal near Egypt,synthetic
HM-0000103,2020-02-20,EGY,Egypt,HPAI,25.101,32.025,news,False,[SYNTHETIC] HPAI signal near Egypt,synthetic
HM-0000104,2020-02-21,TUN,Tunisia,HPAI,34.141,8.441,social,True,[SYNTHETIC] HPAI signal near Tunisia,synthetic
HM-0000105,2020-02-25,FRA,France,HPAI,45.016,3.305,news,True,[SYNTHETIC] HPAI signal near France,synthetic
HM-0000106,2020-02-24,FRA,France,HPAI,48.604,4.697,news,True,[SYNTHETIC] HPAI signal near France,synthetic
HM-0000107,2020-02-25,BEL,Belgium,HPAI,50.61,5.885,news,False,[SYNTHETIC] HPAI signal near Belgium,synthetic
HM-0000108,2020-02-25,BEL,Belgium,HPAI,51.16,5.541,news,True,[SYNTHETIC] HPAI signal near Belgium,synthetic
HM-0000109,2020-02-26,ITA,Italy,HPAI,44.24,13.878,news,True,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000110,2020-02-29,SRB,Serbia,HPAI,44.612,20.148,social,True,[SYNTHETIC] HPAI signal near Serbia,synthetic
HM-0000111,2020-02-29,ISR,Israel,HPAI,31.273,34.659,news,False,[SYNTHETIC] HPAI signal near Israel,synthetic
HM-0000112,2020-03-01,ISR,Israel,HPAI,31.479,35.422,news,True,[SYNTHETIC] HPAI signal near Israel,synthetic
HM-0000113,2020-02-29,EGY,Egypt,HPAI,24.739,35.989,news,False,[SYNTHETIC] HPAI signal near Egypt,synthetic
HM-0000114,2020-02-25,MAR,Morocco,HPAI,29.467,-6.414,social,True,[SYNTHETIC] HPAI signal near Morocco,synthetic
HM-0000115,2020-03-06,DEU,Germany,HPAI,51.413,14.243,official,False,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000116,2020-03-05,DEU,Germany,HPAI,52.753,9.368,news,False,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000117,2020-03-05,NLD,Netherlands,HPAI,52.868,4.902,news,False,[SYNTHETIC] HPAI signal near Netherlands,synthetic
HM-0000118,2020-03-02,BEL,Belgium,HPAI,49.81,4.901,news,False,[SYNTHETIC] HPAI signal near Belgium,synthetic
HM-0000119,2020-03-07,ESP,Spain,HPAI,43.415,-3.938,official,False,[SYNTHETIC] HPAI signal near Spain,synthetic
HM-0000120,2020-03-06,ESP,Spain,HPAI,41.582,-5.469,news,True,[SYNTHETIC] HPAI signal near Spain,synthetic
HM-0000121,2020-03-03,HUN,Hungary,HPAI,47.217,19.268,official,True,[SYNTHETIC] HPAI signal near Hungary,synthetic
HM-0000122,2020-03-08,HUN,Hungary,HPAI,48.496,19.356,news,False,[SYNTHETIC] HPAI signal near Hungary,synthetic
HM-0000123,2020-03-08,TUR,Türkiye,HPAI,37.584,32.913,official,False,[SYNTHETIC] HPAI signal near Türkiye,synthetic
HM-0000124,2020-03-08,GEO,Georgia,HPAI,41.942,41.657,news,True,[SYNTHETIC] HPAI signal near Georgia,synthetic
HM-0000125,2020-03-06,ISR,Israel,HPAI,31.495,35.238,news,False,[SYNTHETIC] HPAI signal near Israel,synthetic
HM-0000126,2020-03-06,EGY,Egypt,HPAI,24.618,34.737,news,True,[SYNTHETIC] HPAI signal near Egypt,synthetic
HM-0000127,2020-03-09,FRA,France,HPAI,44.058,2.175,official,True,[SYNTHETIC] HPAI signal near France,synthetic
HM-0000128,2020-03-11,DEU,Germany,HPAI,50.04,14.549,official,False,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000129,2020-03-15,DEU,Germany,HPAI,51.882,8.082,news,True,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000130,2020-03-13,DEU,Germany,HPAI,48.902,10.019,news,False,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000131,2020-03-11,BEL,Belgium,HPAI,50.862,3.945,news,True,[SYNTHETIC] HPAI signal near Belgium,synthetic
HM-0000132,2020-03-13,BEL,Belgium,HPAI,50.664,5.853,official,False,[SYNTHETIC] HPAI signal near Belgium,synthetic
HM-0000133,2020-03-15,BEL,Belgium,HPAI,51.336,5.241,news,False,[SYNTHETIC] HPAI signal near Belgium,synthetic
HM-0000134,2020-03-12,ITA,Italy,HPAI,43.03,11.558,news,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000135,2020-03-10,ITA,Italy,HPAI,44.102,9.854,news,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000136,2020-03-12,HUN,Hungary,HPAI,47.558,21.597,news,False,[SYNTHETIC] HPAI signal near Hungary,synthetic
HM-0000137,2020-03-15,ROU,Romania,HPAI,44.004,24.617,official,True,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000138,2020-03-10,BGR,Bulgaria,HPAI,41.806,24.756,news,False,[SYNTHETIC] HPAI signal near Bulgaria,synthetic
HM-0000139,2020-03-14,BGR,Bulgaria,HPAI,43.349,24.08,news,True,[SYNTHETIC] HPAI signal near Bulgaria,synthetic
HM-0000140,2020-03-12,SRB,Serbia,HPAI,43.901,21.666,official,True,[SYNTHETIC] HPAI signal near Serbia,synthetic
HM-0000141,2020-03-12,UKR,Ukraine,HPAI,47.981,26.682,news,True,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000142,2020-03-13,UKR,Ukraine,HPAI,47.552,32.832,news,False,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000143,2020-03-12,TUR,Türkiye,HPAI,42.017,31.853,news,True,[SYNTHETIC] HPAI signal near Türkiye,synthetic
HM-0000144,2020-03-14,EGY,Egypt,HPAI,25.614,31.859,news,False,[SYNTHETIC] HPAI signal near Egypt,synthetic
HM-0000145,2020-03-15,EGY,Egypt,HPAI,28.164,35.665,news,False,[SYNTHETIC] HPAI signal near Egypt,synthetic
HM-0000146,2020-03-15,MAR,Morocco,HPAI,33.221,-7.347,news,True,[SYNTHETIC] HPAI signal near Morocco,synthetic
HM-0000147,2020-03-18,FRA,France,HPAI,47.991,3.942,news,True,[SYNTHETIC] HPAI signal near France,synthetic
HM-0000148,2020-03-18,FRA,France,HPAI,46.304,7.214,official,False,[SYNTHETIC] HPAI signal near France,synthetic
HM-0000149,2020-03-19,ITA,Italy,HPAI,44.56,13.785,news,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000150,2020-03-18,ESP,Spain,HPAI,38.87,-5.152,news,False,[SYNTHETIC] HPAI signal near Spain,synthetic
HM-0000151,2020-03-17,ESP,Spain,HPAI,43.323,-5.094,news,False,[SYNTHETIC] HPAI signal near Spain,synthetic
HM-0000152,2020-03-20,ESP,Spain,HPAI,40.264,-2.877,news,True,[SYNTHETIC] HPAI signal near Spain,synthetic
HM-0000153,2020-03-20,HUN,Hungary,HPAI,47.812,19.229,social,False,[SYNTHETIC] HPAI signal near Hungary,synthetic
HM-0000154,2020-03-16,HUN,Hungary,HPAI,47.099,21.251,news,False,[SYNTHETIC] HPAI signal near Hungary,synthetic
HM-0000155,2020-03-20,SRB,Serbia,HPAI,44.876,19.515,official,True,[SYNTHETIC] HPAI signal near Serbia,synthetic
HM-0000156,2020-03-20,SRB,Serbia,HPAI,43.744,19.134,news,False,[SYNTHETIC] HPAI signal near Serbia,synthetic
HM-0000157,2020-03-17,SRB,Serbia,HPAI,42.744,20.465,news,True,[SYNTHETIC] HPAI signal near Serbia,synthetic
HM-0000158,2020-03-18,UKR,Ukraine,HPAI,50.858,30.731,official,False,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000159,2020-03-17,UKR,Ukraine,HPAI,48.472,25.458,social,False,[SYNTHETIC] HPAI signal near Ukraine,synthetic
HM-0000160,2020-03-19,RUS,Russian Federation,HPAI,50.223,48.541,news,False,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000161,2020-03-21,GEO,Georgia,HPAI,41.545,42.834,news,False,[SYNTHETIC] HPAI signal near Georgia,synthetic
HM-0000162,2020-03-22,GEO,Georgia,HPAI,41.472,42.338,official,False,[SYNTHETIC] HPAI signal near Georgia,synthetic
HM-0000163,2020-03-16,GEO,Georgia,HPAI,42.282,43.621,news,False,[SYNTHETIC] HPAI signal near Georgia,synthetic
HM-0000164,2020-03-19,TUN,Tunisia,HPAI,33.013,11.371,news,True,[SYNTHETIC] HPAI signal near Tunisia,synthetic
HM-0000165,2020-03-21,MAR,Morocco,HPAI,31.651,-4.4,news,False,[SYNTHETIC] HPAI signal near Morocco,synthetic
HM-0000166,2020-03-29,FRA,France,HPAI,47.703,6.177,news,False,[SYNTHETIC] HPAI signal near France,synthetic
HM-0000167,2020-03-25,DEU,Germany,HPAI,49.469,8.908,official,True,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000168,2020-03-25,DEU,Germany,HPAI,53.499,8.258,news,True,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000169,2020-03-26,DEU,Germany,HPAI,50.849,14.686,news,True,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000170,2020-03-27,NLD,Netherlands,HPAI,52.807,6.832,news,False,[SYNTHETIC] HPAI signal near Netherlands,synthetic
HM-0000171,2020-03-26,ITA,Italy,HPAI,42.704,14.685,official,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000172,2020-03-29,ITA,Italy,HPAI,41.659,12.582,official,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000173,2020-03-27,ESP,Spain,HPAI,39.546,-2.017,news,False,[SYNTHETIC] HPAI signal near Spain,synthetic
HM-0000174,2020-03-27,POL,Poland,HPAI,51.305,18.27,social,False,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000175,2020-03-27,POL,Poland,HPAI,52.411,23.222,official,False,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000176,2020-03-29,ROU,Romania,HPAI,44.836,22.897,news,False,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000177,2020-03-24,BGR,Bulgaria,HPAI,42.82,26.035,news,False,[SYNTHETIC] HPAI signal near Bulgaria,synthetic
HM-0000178,2020-03-28,SRB,Serbia,HPAI,44.898,21.879,news,True,[SYNTHETIC] HPAI signal near Serbia,synthetic
HM-0000179,2020-03-26,TUR,Türkiye,HPAI,39.887,35.362,news,False,[SYNTHETIC] HPAI signal near Türkiye,synthetic
HM-0000180,2020-03-29,TUR,Türkiye,HPAI,41.056,34.891,news,False,[SYNTHETIC] HPAI signal near Türkiye,synthetic
HM-0000181,2020-03-23,TUR,Türkiye,HPAI,41.65,34.872,news,True,[SYNTHETIC] HPAI signal near Türkiye,synthetic
HM-0000182,2020-03-27,EGY,Egypt,HPAI,24.321,28.771,news,True,[SYNTHETIC] HPAI signal near Egypt,synthetic
HM-0000183,2020-03-24,MAR,Morocco,HPAI,30.818,-9.851,news,True,[SYNTHETIC] HPAI signal near Morocco,synthetic
HM-0000184,2020-04-01,DEU,Germany,HPAI,52.389,8.376,news,False,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000185,2020-03-31,DEU,Germany,HPAI,50.196,8.097,official,False,[SYNTHETIC] HPAI signal near Germany,synthetic
HM-0000186,2020-04-01,NLD,Netherlands,HPAI,52.389,6.993,news,False,[SYNTHETIC] HPAI signal near Netherlands,synthetic
HM-0000187,2020-03-31,BEL,Belgium,HPAI,50.962,3.948,news,False,[SYNTHETIC] HPAI signal near Belgium,synthetic
HM-0000188,2020-04-05,ITA,Italy,HPAI,44.478,14.863,news,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000189,2020-04-05,ITA,Italy,HPAI,40.357,11.219,social,False,[SYNTHETIC] HPAI signal near Italy,synthetic
HM-0000190,2020-04-03,ESP,Spain,HPAI,43.66,-5.2,official,False,[SYNTHETIC] HPAI signal near Spain,synthetic
HM-0000191,2020-04-05,ESP,Spain,HPAI,40.156,-7.538,social,True,[SYNTHETIC] HPAI signal near Spain,synthetic
HM-0000192,2020-04-05,POL,Poland,HPAI,53.774,18.019,social,False,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000193,2020-03-31,POL,Poland,HPAI,51.944,22.24,official,True,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000194,2020-04-03,POL,Poland,HPAI,54.053,17.511,news,False,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000195,2020-04-02,POL,Poland,HPAI,54.384,21.365,official,False,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000196,2020-04-05,POL,Poland,HPAI,54.247,16.384,social,True,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000197,2020-04-05,POL,Poland,HPAI,53.799,18.546,news,False,[SYNTHETIC] HPAI signal near Poland,synthetic
HM-0000198,2020-03-31,HUN,Hungary,HPAI,48.451,18.504,news,False,[SYNTHETIC] HPAI signal near Hungary,synthetic
HM-0000199,2020-04-02,HUN,Hungary,HPAI,45.874,20.459,news,False,[SYNTHETIC] HPAI signal near Hungary,synthetic
HM-0000200,2020-04-04,ROU,Romania,HPAI,46.215,26.443,official,True,[SYNTHETIC] HPAI signal near Romania,synthetic
HM-0000201,2020-04-04,BGR,Bulgaria,HPAI,43.773,25.68,social,True,[SYNTHETIC] HPAI signal near Bulgaria,synthetic
HM-0000202,2020-04-04,BGR,Bulgaria,HPAI,41.514,25.37,news,False,[SYNTHETIC] HPAI signal near Bulgaria,synthetic
HM-0000203,2020-04-02,SRB,Serbia,HPAI,44.975,21.234,official,False,[SYNTHETIC] HPAI signal near Serbia,synthetic
HM-0000204,2020-04-05,SRB,Serbia,HPAI,43.811,20.464,news,False,[SYNTHETIC] HPAI signal near Serbia,synthetic
HM-0000205,2020-04-02,MDA,Moldova,HPAI,46.466,28.941,news,False,[SYNTHETIC] HPAI signal near Moldova,synthetic
HM-0000206,2020-04-02,RUS,Russian Federation,HPAI,51.294,45.309,official,False,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
HM-0000207,2020-04-05,RUS,Russian Federation,HPAI,55.46,42.398,official,True,[SYNTHETIC] HPAI signal near Russian Federation,synthetic
